======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf23.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.03 12:39:13 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : 2
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 64
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 2
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_2_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_2_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_2_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 2
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x000001CD00615FD0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001CD31B15950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
gru_1 (GRU)                  (None, 82, 64)            24768     
_________________________________________________________________
gru_2 (GRU)                  (None, 32)                9312      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 104,364
Trainable params: 104,364
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:3.0020, Accuracy:0.0509, Validation Loss:2.9600, Validation Accuracy:0.0804
Epoch #2: Loss:2.9597, Accuracy:0.0830, Validation Loss:2.9648, Validation Accuracy:0.0980
Epoch #3: Loss:2.9148, Accuracy:0.0899, Validation Loss:2.8718, Validation Accuracy:0.0905
Epoch #4: Loss:2.8566, Accuracy:0.0987, Validation Loss:2.8189, Validation Accuracy:0.0930
Epoch #5: Loss:2.8237, Accuracy:0.0981, Validation Loss:2.8103, Validation Accuracy:0.0905
Epoch #6: Loss:2.8069, Accuracy:0.1062, Validation Loss:2.7816, Validation Accuracy:0.1005
Epoch #7: Loss:2.7961, Accuracy:0.1012, Validation Loss:2.7515, Validation Accuracy:0.0955
Epoch #8: Loss:2.7792, Accuracy:0.1125, Validation Loss:2.7630, Validation Accuracy:0.1307
Epoch #9: Loss:2.7832, Accuracy:0.1157, Validation Loss:2.7908, Validation Accuracy:0.1131
Epoch #10: Loss:2.7855, Accuracy:0.0943, Validation Loss:2.7615, Validation Accuracy:0.0955
Epoch #11: Loss:2.7733, Accuracy:0.1138, Validation Loss:2.7647, Validation Accuracy:0.1005
Epoch #12: Loss:2.7730, Accuracy:0.1087, Validation Loss:2.7608, Validation Accuracy:0.0930
Epoch #13: Loss:2.7680, Accuracy:0.1062, Validation Loss:2.7493, Validation Accuracy:0.1106
Epoch #14: Loss:2.7614, Accuracy:0.1075, Validation Loss:2.7493, Validation Accuracy:0.1231
Epoch #15: Loss:2.7610, Accuracy:0.1081, Validation Loss:2.7487, Validation Accuracy:0.0930
Epoch #16: Loss:2.7595, Accuracy:0.1131, Validation Loss:2.7450, Validation Accuracy:0.1156
Epoch #17: Loss:2.7555, Accuracy:0.1050, Validation Loss:2.7494, Validation Accuracy:0.0930
Epoch #18: Loss:2.7588, Accuracy:0.1144, Validation Loss:2.7624, Validation Accuracy:0.0980
Epoch #19: Loss:2.7581, Accuracy:0.1201, Validation Loss:2.7527, Validation Accuracy:0.1030
Epoch #20: Loss:2.7527, Accuracy:0.1182, Validation Loss:2.7519, Validation Accuracy:0.1055
Epoch #21: Loss:2.7473, Accuracy:0.1131, Validation Loss:2.7542, Validation Accuracy:0.1005
Epoch #22: Loss:2.7487, Accuracy:0.1157, Validation Loss:2.7507, Validation Accuracy:0.1080
Epoch #23: Loss:2.7526, Accuracy:0.1131, Validation Loss:2.7536, Validation Accuracy:0.0955
Epoch #24: Loss:2.7555, Accuracy:0.1125, Validation Loss:2.7499, Validation Accuracy:0.0955
Epoch #25: Loss:2.7516, Accuracy:0.1087, Validation Loss:2.7467, Validation Accuracy:0.1181
Epoch #26: Loss:2.7590, Accuracy:0.1144, Validation Loss:2.7650, Validation Accuracy:0.1156
Epoch #27: Loss:2.7535, Accuracy:0.1226, Validation Loss:2.7549, Validation Accuracy:0.0905
Epoch #28: Loss:2.7460, Accuracy:0.1194, Validation Loss:2.7518, Validation Accuracy:0.1131
Epoch #29: Loss:2.7416, Accuracy:0.1301, Validation Loss:2.7804, Validation Accuracy:0.1030
Epoch #30: Loss:2.7445, Accuracy:0.1182, Validation Loss:2.7509, Validation Accuracy:0.1181
Epoch #31: Loss:2.7397, Accuracy:0.1226, Validation Loss:2.7614, Validation Accuracy:0.1080
Epoch #32: Loss:2.7447, Accuracy:0.1119, Validation Loss:2.7561, Validation Accuracy:0.1307
Epoch #33: Loss:2.7439, Accuracy:0.1245, Validation Loss:2.7590, Validation Accuracy:0.0955
Epoch #34: Loss:2.7412, Accuracy:0.1182, Validation Loss:2.7580, Validation Accuracy:0.1055
Epoch #35: Loss:2.7403, Accuracy:0.1251, Validation Loss:2.7455, Validation Accuracy:0.1055
Epoch #36: Loss:2.7347, Accuracy:0.1163, Validation Loss:2.7566, Validation Accuracy:0.1080
Epoch #37: Loss:2.7291, Accuracy:0.1288, Validation Loss:2.7609, Validation Accuracy:0.1156
Epoch #38: Loss:2.7269, Accuracy:0.1157, Validation Loss:2.7575, Validation Accuracy:0.1005
Epoch #39: Loss:2.7211, Accuracy:0.1213, Validation Loss:2.7529, Validation Accuracy:0.1206
Epoch #40: Loss:2.7138, Accuracy:0.1282, Validation Loss:2.7574, Validation Accuracy:0.1080
Epoch #41: Loss:2.7110, Accuracy:0.1232, Validation Loss:2.7558, Validation Accuracy:0.1181
Epoch #42: Loss:2.7091, Accuracy:0.1257, Validation Loss:2.7616, Validation Accuracy:0.1156
Epoch #43: Loss:2.7077, Accuracy:0.1245, Validation Loss:2.7659, Validation Accuracy:0.0980
Epoch #44: Loss:2.7067, Accuracy:0.1201, Validation Loss:2.7683, Validation Accuracy:0.1106
