======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf26.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.03 14:57:06 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : 2
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 128
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 2
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_2_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_2_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_2_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 2
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x00000249962B5FD0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002498B605950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
gru_1 (GRU)                  (None, 82, 64)            24768     
_________________________________________________________________
gru_2 (GRU)                  (None, 32)                9312      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 104,364
Trainable params: 104,364
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:3.0220, Accuracy:0.0610, Validation Loss:2.9943, Validation Accuracy:0.0854
Epoch #2: Loss:2.9817, Accuracy:0.0842, Validation Loss:2.9721, Validation Accuracy:0.0804
Epoch #3: Loss:2.9688, Accuracy:0.0849, Validation Loss:2.9515, Validation Accuracy:0.0729
Epoch #4: Loss:2.9546, Accuracy:0.0905, Validation Loss:2.9332, Validation Accuracy:0.0854
Epoch #5: Loss:2.9369, Accuracy:0.0886, Validation Loss:2.9201, Validation Accuracy:0.0854
Epoch #6: Loss:2.9115, Accuracy:0.0893, Validation Loss:2.9077, Validation Accuracy:0.0779
Epoch #7: Loss:2.8843, Accuracy:0.0924, Validation Loss:2.8685, Validation Accuracy:0.0729
Epoch #8: Loss:2.8291, Accuracy:0.0955, Validation Loss:2.8368, Validation Accuracy:0.0879
Epoch #9: Loss:2.7945, Accuracy:0.1043, Validation Loss:2.8234, Validation Accuracy:0.0779
Epoch #10: Loss:2.7823, Accuracy:0.0968, Validation Loss:2.8015, Validation Accuracy:0.0930
Epoch #11: Loss:2.7766, Accuracy:0.1037, Validation Loss:2.8207, Validation Accuracy:0.0829
Epoch #12: Loss:2.7824, Accuracy:0.0993, Validation Loss:2.8006, Validation Accuracy:0.1005
Epoch #13: Loss:2.7832, Accuracy:0.1025, Validation Loss:2.8012, Validation Accuracy:0.1030
Epoch #14: Loss:2.7694, Accuracy:0.1087, Validation Loss:2.7906, Validation Accuracy:0.0930
Epoch #15: Loss:2.7623, Accuracy:0.1050, Validation Loss:2.8022, Validation Accuracy:0.0854
Epoch #16: Loss:2.7663, Accuracy:0.1031, Validation Loss:2.8098, Validation Accuracy:0.0930
Epoch #17: Loss:2.7529, Accuracy:0.1031, Validation Loss:2.7880, Validation Accuracy:0.1131
Epoch #18: Loss:2.7533, Accuracy:0.1050, Validation Loss:2.7962, Validation Accuracy:0.0955
Epoch #19: Loss:2.7542, Accuracy:0.1169, Validation Loss:2.7871, Validation Accuracy:0.1055
Epoch #20: Loss:2.7468, Accuracy:0.1081, Validation Loss:2.7849, Validation Accuracy:0.1206
Epoch #21: Loss:2.7432, Accuracy:0.1175, Validation Loss:2.7869, Validation Accuracy:0.1030
Epoch #22: Loss:2.7401, Accuracy:0.1238, Validation Loss:2.7930, Validation Accuracy:0.1030
Epoch #23: Loss:2.7338, Accuracy:0.1194, Validation Loss:2.8116, Validation Accuracy:0.1181
Epoch #24: Loss:2.7333, Accuracy:0.1238, Validation Loss:2.7974, Validation Accuracy:0.1181
Epoch #25: Loss:2.7350, Accuracy:0.1138, Validation Loss:2.7874, Validation Accuracy:0.0980
Epoch #26: Loss:2.7158, Accuracy:0.1119, Validation Loss:2.8026, Validation Accuracy:0.0829
