======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf31.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.03 22:30:39 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : 3
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 64
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 1
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_3_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_3_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_3_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 1
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: lstm_1, Units: 64, Activation: tanh.
Name: lstm_2, Units: 32, Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x00000275A5707390>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000275BF495950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
lstm_1 (LSTM)                (None, 82, 64)            33024     
_________________________________________________________________
lstm_2 (LSTM)                (None, 32)                12416     
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 115,724
Trainable params: 115,724
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9884, Accuracy:0.0735, Validation Loss:2.9711, Validation Accuracy:0.0578
Epoch #2: Loss:2.9694, Accuracy:0.0660, Validation Loss:2.9549, Validation Accuracy:0.0528
Epoch #3: Loss:2.9349, Accuracy:0.0786, Validation Loss:2.9265, Validation Accuracy:0.0653
Epoch #4: Loss:2.8838, Accuracy:0.0962, Validation Loss:2.8704, Validation Accuracy:0.0980
Epoch #5: Loss:2.8275, Accuracy:0.0861, Validation Loss:2.8476, Validation Accuracy:0.1005
Epoch #6: Loss:2.8467, Accuracy:0.0955, Validation Loss:2.8567, Validation Accuracy:0.0854
Epoch #7: Loss:2.9469, Accuracy:0.1006, Validation Loss:2.8609, Validation Accuracy:0.0955
Epoch #8: Loss:2.8355, Accuracy:0.1050, Validation Loss:2.8273, Validation Accuracy:0.0930
Epoch #9: Loss:2.7998, Accuracy:0.1050, Validation Loss:2.8289, Validation Accuracy:0.0955
Epoch #10: Loss:2.7833, Accuracy:0.1081, Validation Loss:2.8010, Validation Accuracy:0.0930
Epoch #11: Loss:2.7762, Accuracy:0.0987, Validation Loss:2.8048, Validation Accuracy:0.0804
Epoch #12: Loss:2.7713, Accuracy:0.1125, Validation Loss:2.7968, Validation Accuracy:0.0955
Epoch #13: Loss:2.7712, Accuracy:0.1069, Validation Loss:2.7907, Validation Accuracy:0.1106
Epoch #14: Loss:2.7672, Accuracy:0.1106, Validation Loss:2.8005, Validation Accuracy:0.1030
Epoch #15: Loss:2.7547, Accuracy:0.1131, Validation Loss:2.7968, Validation Accuracy:0.1030
Epoch #16: Loss:2.7555, Accuracy:0.1188, Validation Loss:2.7870, Validation Accuracy:0.1080
Epoch #17: Loss:2.7508, Accuracy:0.1119, Validation Loss:2.7835, Validation Accuracy:0.0879
Epoch #18: Loss:2.7545, Accuracy:0.1100, Validation Loss:2.7922, Validation Accuracy:0.1030
Epoch #19: Loss:2.7584, Accuracy:0.1106, Validation Loss:2.8006, Validation Accuracy:0.1055
Epoch #20: Loss:2.7481, Accuracy:0.1106, Validation Loss:2.7900, Validation Accuracy:0.0955
Epoch #21: Loss:2.7502, Accuracy:0.1119, Validation Loss:2.7931, Validation Accuracy:0.0905
Epoch #22: Loss:2.7490, Accuracy:0.1194, Validation Loss:2.7992, Validation Accuracy:0.0854
Epoch #23: Loss:2.7451, Accuracy:0.1081, Validation Loss:2.7893, Validation Accuracy:0.1005
Epoch #24: Loss:2.7376, Accuracy:0.1201, Validation Loss:2.8002, Validation Accuracy:0.0754
Epoch #25: Loss:2.7448, Accuracy:0.1182, Validation Loss:2.7963, Validation Accuracy:0.0854
Epoch #26: Loss:2.7395, Accuracy:0.1144, Validation Loss:2.8033, Validation Accuracy:0.1055
Epoch #27: Loss:2.7412, Accuracy:0.1245, Validation Loss:2.7971, Validation Accuracy:0.0779
