======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf34.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.04 02:12:32 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : 3
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 128
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 1
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_3_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_3_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_3_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 1
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: lstm_1, Units: 64, Activation: tanh.
Name: lstm_2, Units: 32, Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x0000013C00CC7400>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000013C18795950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
lstm_1 (LSTM)                (None, 82, 64)            33024     
_________________________________________________________________
lstm_2 (LSTM)                (None, 32)                12416     
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 115,724
Trainable params: 115,724
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9818, Accuracy:0.0572, Validation Loss:2.9593, Validation Accuracy:0.0804
Epoch #2: Loss:2.9479, Accuracy:0.0805, Validation Loss:2.9207, Validation Accuracy:0.0905
Epoch #3: Loss:2.9133, Accuracy:0.1050, Validation Loss:2.9043, Validation Accuracy:0.1055
Epoch #4: Loss:2.8904, Accuracy:0.1069, Validation Loss:2.8873, Validation Accuracy:0.0829
Epoch #5: Loss:2.8597, Accuracy:0.1144, Validation Loss:2.8422, Validation Accuracy:0.0829
Epoch #6: Loss:2.8271, Accuracy:0.1163, Validation Loss:2.8291, Validation Accuracy:0.0955
Epoch #7: Loss:2.8063, Accuracy:0.1251, Validation Loss:2.8026, Validation Accuracy:0.0754
Epoch #8: Loss:2.7951, Accuracy:0.1081, Validation Loss:2.7923, Validation Accuracy:0.0829
Epoch #9: Loss:2.7771, Accuracy:0.1175, Validation Loss:2.7952, Validation Accuracy:0.0804
Epoch #10: Loss:2.7763, Accuracy:0.1163, Validation Loss:2.7882, Validation Accuracy:0.0879
Epoch #11: Loss:2.7671, Accuracy:0.1043, Validation Loss:2.7895, Validation Accuracy:0.0905
Epoch #12: Loss:2.7602, Accuracy:0.1175, Validation Loss:2.8031, Validation Accuracy:0.0905
Epoch #13: Loss:2.7591, Accuracy:0.1163, Validation Loss:2.7840, Validation Accuracy:0.0804
Epoch #14: Loss:2.7501, Accuracy:0.1207, Validation Loss:2.7844, Validation Accuracy:0.0854
Epoch #15: Loss:2.7519, Accuracy:0.1125, Validation Loss:2.7942, Validation Accuracy:0.0804
Epoch #16: Loss:2.7485, Accuracy:0.1194, Validation Loss:2.7968, Validation Accuracy:0.0980
Epoch #17: Loss:2.7464, Accuracy:0.1238, Validation Loss:2.7909, Validation Accuracy:0.0829
Epoch #18: Loss:2.7341, Accuracy:0.1150, Validation Loss:2.8007, Validation Accuracy:0.0930
Epoch #19: Loss:2.7276, Accuracy:0.1232, Validation Loss:2.8035, Validation Accuracy:0.0930
Epoch #20: Loss:2.7196, Accuracy:0.1301, Validation Loss:2.8322, Validation Accuracy:0.0854
Epoch #21: Loss:2.7329, Accuracy:0.1295, Validation Loss:2.7847, Validation Accuracy:0.0930
Epoch #22: Loss:2.7351, Accuracy:0.1182, Validation Loss:2.7775, Validation Accuracy:0.0980
Epoch #23: Loss:2.7280, Accuracy:0.1232, Validation Loss:2.7826, Validation Accuracy:0.1005
Epoch #24: Loss:2.7216, Accuracy:0.1201, Validation Loss:2.7882, Validation Accuracy:0.0980
Epoch #25: Loss:2.7228, Accuracy:0.1345, Validation Loss:2.8010, Validation Accuracy:0.1005
Epoch #26: Loss:2.7295, Accuracy:0.1219, Validation Loss:2.8022, Validation Accuracy:0.0930
Epoch #27: Loss:2.7086, Accuracy:0.1307, Validation Loss:2.8129, Validation Accuracy:0.0930
