======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf43.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.04 12:34:34 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : Front
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 128
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 1
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_Front_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_Front_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_Front_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 1
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: lstm_1, Units: 64, Activation: tanh.
Name: lstm_2, Units: 32, Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x000002778AEA8400>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000277A4945950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
lstm_1 (LSTM)                (None, 82, 64)            33024     
_________________________________________________________________
lstm_2 (LSTM)                (None, 32)                12416     
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 115,724
Trainable params: 115,724
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9787, Accuracy:0.0673, Validation Loss:2.9497, Validation Accuracy:0.0804
Epoch #2: Loss:3.1045, Accuracy:0.0874, Validation Loss:2.9374, Validation Accuracy:0.0879
Epoch #3: Loss:2.9486, Accuracy:0.0949, Validation Loss:2.9201, Validation Accuracy:0.1055
Epoch #4: Loss:2.9228, Accuracy:0.1006, Validation Loss:3.8872, Validation Accuracy:0.1156
Epoch #5: Loss:3.0088, Accuracy:0.0943, Validation Loss:2.9081, Validation Accuracy:0.1181
Epoch #6: Loss:2.8857, Accuracy:0.1012, Validation Loss:2.8472, Validation Accuracy:0.1005
Epoch #7: Loss:2.8429, Accuracy:0.1031, Validation Loss:2.8228, Validation Accuracy:0.1156
Epoch #8: Loss:2.8225, Accuracy:0.1150, Validation Loss:2.7926, Validation Accuracy:0.1307
Epoch #9: Loss:2.8105, Accuracy:0.1087, Validation Loss:2.7733, Validation Accuracy:0.1231
Epoch #10: Loss:2.7909, Accuracy:0.1043, Validation Loss:2.7817, Validation Accuracy:0.1357
Epoch #11: Loss:2.7953, Accuracy:0.1031, Validation Loss:2.7779, Validation Accuracy:0.1256
Epoch #12: Loss:2.7866, Accuracy:0.1163, Validation Loss:2.7637, Validation Accuracy:0.1382
Epoch #13: Loss:2.7709, Accuracy:0.1169, Validation Loss:2.7547, Validation Accuracy:0.1256
Epoch #14: Loss:2.7639, Accuracy:0.1157, Validation Loss:2.7727, Validation Accuracy:0.1181
Epoch #15: Loss:2.7586, Accuracy:0.1056, Validation Loss:2.7644, Validation Accuracy:0.1030
Epoch #16: Loss:2.7592, Accuracy:0.1219, Validation Loss:2.7569, Validation Accuracy:0.1156
Epoch #17: Loss:2.7469, Accuracy:0.1188, Validation Loss:2.7471, Validation Accuracy:0.1156
Epoch #18: Loss:2.7608, Accuracy:0.1232, Validation Loss:2.7613, Validation Accuracy:0.1256
Epoch #19: Loss:2.7572, Accuracy:0.1157, Validation Loss:2.7576, Validation Accuracy:0.1382
Epoch #20: Loss:2.7592, Accuracy:0.1175, Validation Loss:2.7560, Validation Accuracy:0.1080
Epoch #21: Loss:2.7595, Accuracy:0.1163, Validation Loss:2.7638, Validation Accuracy:0.1231
Epoch #22: Loss:2.7497, Accuracy:0.1138, Validation Loss:2.7438, Validation Accuracy:0.1080
Epoch #23: Loss:2.7429, Accuracy:0.1238, Validation Loss:2.7617, Validation Accuracy:0.1131
Epoch #24: Loss:2.7432, Accuracy:0.1263, Validation Loss:2.7535, Validation Accuracy:0.1131
Epoch #25: Loss:2.7313, Accuracy:0.1188, Validation Loss:2.7484, Validation Accuracy:0.1357
Epoch #26: Loss:2.7313, Accuracy:0.1257, Validation Loss:2.7499, Validation Accuracy:0.1256
Epoch #27: Loss:2.7303, Accuracy:0.1339, Validation Loss:2.8130, Validation Accuracy:0.0829
