======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf44.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.04 13:35:19 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : Front
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 128
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 2
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_Front_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_Front_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_Front_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 2
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x0000027D86EC6FD0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000027DCE016950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
gru_1 (GRU)                  (None, 82, 64)            24768     
_________________________________________________________________
gru_2 (GRU)                  (None, 32)                9312      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 104,364
Trainable params: 104,364
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9875, Accuracy:0.0641, Validation Loss:2.9547, Validation Accuracy:0.0879
Epoch #2: Loss:2.9346, Accuracy:0.0867, Validation Loss:2.9286, Validation Accuracy:0.0854
Epoch #3: Loss:2.9063, Accuracy:0.0899, Validation Loss:2.9274, Validation Accuracy:0.0779
Epoch #4: Loss:2.8930, Accuracy:0.0937, Validation Loss:2.9082, Validation Accuracy:0.0854
Epoch #5: Loss:2.8749, Accuracy:0.0949, Validation Loss:2.8959, Validation Accuracy:0.0829
Epoch #6: Loss:2.8448, Accuracy:0.1025, Validation Loss:2.8811, Validation Accuracy:0.0804
Epoch #7: Loss:2.8091, Accuracy:0.1113, Validation Loss:2.8765, Validation Accuracy:0.1181
Epoch #8: Loss:2.7947, Accuracy:0.1119, Validation Loss:2.8457, Validation Accuracy:0.0879
Epoch #9: Loss:2.7739, Accuracy:0.1194, Validation Loss:2.8408, Validation Accuracy:0.1030
Epoch #10: Loss:2.7702, Accuracy:0.1157, Validation Loss:2.8250, Validation Accuracy:0.1055
Epoch #11: Loss:2.7612, Accuracy:0.1175, Validation Loss:2.8247, Validation Accuracy:0.0980
Epoch #12: Loss:2.7548, Accuracy:0.1194, Validation Loss:2.8162, Validation Accuracy:0.1106
Epoch #13: Loss:2.7577, Accuracy:0.1113, Validation Loss:2.8123, Validation Accuracy:0.1055
Epoch #14: Loss:2.7549, Accuracy:0.1138, Validation Loss:2.8031, Validation Accuracy:0.1156
Epoch #15: Loss:2.7491, Accuracy:0.1125, Validation Loss:2.8201, Validation Accuracy:0.1206
Epoch #16: Loss:2.7539, Accuracy:0.1094, Validation Loss:2.8391, Validation Accuracy:0.1106
Epoch #17: Loss:2.7831, Accuracy:0.1106, Validation Loss:2.8265, Validation Accuracy:0.0879
Epoch #18: Loss:2.7663, Accuracy:0.1150, Validation Loss:2.8043, Validation Accuracy:0.1281
Epoch #19: Loss:2.7624, Accuracy:0.1150, Validation Loss:2.8139, Validation Accuracy:0.1055
Epoch #20: Loss:2.7540, Accuracy:0.1125, Validation Loss:2.8095, Validation Accuracy:0.1106
Epoch #21: Loss:2.7483, Accuracy:0.1201, Validation Loss:2.8162, Validation Accuracy:0.1080
Epoch #22: Loss:2.7428, Accuracy:0.1182, Validation Loss:2.8133, Validation Accuracy:0.1055
Epoch #23: Loss:2.7423, Accuracy:0.1175, Validation Loss:2.8062, Validation Accuracy:0.1055
Epoch #24: Loss:2.7376, Accuracy:0.1169, Validation Loss:2.8024, Validation Accuracy:0.1030
Epoch #25: Loss:2.7346, Accuracy:0.1238, Validation Loss:2.8093, Validation Accuracy:0.0980
Epoch #26: Loss:2.7330, Accuracy:0.1238, Validation Loss:2.8057, Validation Accuracy:0.1055
Epoch #27: Loss:2.7319, Accuracy:0.1201, Validation Loss:2.8051, Validation Accuracy:0.1080
Epoch #28: Loss:2.7329, Accuracy:0.1238, Validation Loss:2.8078, Validation Accuracy:0.0980
Epoch #29: Loss:2.7326, Accuracy:0.1194, Validation Loss:2.8083, Validation Accuracy:0.1156
Epoch #30: Loss:2.7309, Accuracy:0.1207, Validation Loss:2.8020, Validation Accuracy:0.1181
Epoch #31: Loss:2.7257, Accuracy:0.1282, Validation Loss:2.8049, Validation Accuracy:0.1080
Epoch #32: Loss:2.7302, Accuracy:0.1150, Validation Loss:2.8066, Validation Accuracy:0.1181
Epoch #33: Loss:2.7284, Accuracy:0.1169, Validation Loss:2.8066, Validation Accuracy:0.1106
Epoch #34: Loss:2.7319, Accuracy:0.1257, Validation Loss:2.8122, Validation Accuracy:0.1055
Epoch #35: Loss:2.7247, Accuracy:0.1270, Validation Loss:2.8031, Validation Accuracy:0.0980
Epoch #36: Loss:2.7182, Accuracy:0.1307, Validation Loss:2.8030, Validation Accuracy:0.1005
Epoch #37: Loss:2.7154, Accuracy:0.1207, Validation Loss:2.8056, Validation Accuracy:0.1030
Epoch #38: Loss:2.7146, Accuracy:0.1251, Validation Loss:2.8059, Validation Accuracy:0.1055
