======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf56.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.04 17:01:19 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 32
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 2
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 2
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x000001F480605FD0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001F4C6045950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
gru_1 (GRU)                  (None, 82, 64)            24768     
_________________________________________________________________
gru_2 (GRU)                  (None, 32)                9312      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 104,364
Trainable params: 104,364
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9963, Accuracy:0.0415, Validation Loss:2.9957, Validation Accuracy:0.0503
Epoch #2: Loss:2.9954, Accuracy:0.0515, Validation Loss:2.9956, Validation Accuracy:0.0427
Epoch #3: Loss:2.9905, Accuracy:0.0446, Validation Loss:2.9903, Validation Accuracy:0.0503
Epoch #4: Loss:2.9466, Accuracy:0.0717, Validation Loss:2.9302, Validation Accuracy:0.0829
Epoch #5: Loss:2.8875, Accuracy:0.0880, Validation Loss:2.8359, Validation Accuracy:0.0930
Epoch #6: Loss:2.8286, Accuracy:0.0886, Validation Loss:2.7901, Validation Accuracy:0.0905
Epoch #7: Loss:2.8017, Accuracy:0.0930, Validation Loss:2.8030, Validation Accuracy:0.0955
Epoch #8: Loss:2.7649, Accuracy:0.1075, Validation Loss:2.7022, Validation Accuracy:0.1357
Epoch #9: Loss:2.6563, Accuracy:0.1383, Validation Loss:2.6393, Validation Accuracy:0.1457
Epoch #10: Loss:2.5790, Accuracy:0.1647, Validation Loss:2.5846, Validation Accuracy:0.1633
Epoch #11: Loss:2.5269, Accuracy:0.1754, Validation Loss:2.5349, Validation Accuracy:0.1734
Epoch #12: Loss:2.4869, Accuracy:0.1860, Validation Loss:2.6128, Validation Accuracy:0.1533
Epoch #13: Loss:2.4625, Accuracy:0.1848, Validation Loss:2.4152, Validation Accuracy:0.1759
Epoch #14: Loss:2.4163, Accuracy:0.1974, Validation Loss:2.4190, Validation Accuracy:0.2010
Epoch #15: Loss:2.3706, Accuracy:0.2294, Validation Loss:2.4151, Validation Accuracy:0.1985
Epoch #16: Loss:2.3535, Accuracy:0.2206, Validation Loss:2.3476, Validation Accuracy:0.2161
Epoch #17: Loss:2.3354, Accuracy:0.2382, Validation Loss:2.3576, Validation Accuracy:0.2186
Epoch #18: Loss:2.2942, Accuracy:0.2464, Validation Loss:2.3190, Validation Accuracy:0.2286
Epoch #19: Loss:2.2910, Accuracy:0.2590, Validation Loss:2.3435, Validation Accuracy:0.2312
Epoch #20: Loss:2.2829, Accuracy:0.2627, Validation Loss:2.3346, Validation Accuracy:0.2412
Epoch #21: Loss:2.2416, Accuracy:0.2747, Validation Loss:2.2883, Validation Accuracy:0.2487
Epoch #22: Loss:2.2104, Accuracy:0.2898, Validation Loss:2.3371, Validation Accuracy:0.2261
Epoch #23: Loss:2.1977, Accuracy:0.2847, Validation Loss:2.2896, Validation Accuracy:0.2513
Epoch #24: Loss:2.1508, Accuracy:0.3023, Validation Loss:2.2871, Validation Accuracy:0.2588
Epoch #25: Loss:2.1595, Accuracy:0.2960, Validation Loss:2.2612, Validation Accuracy:0.2764
Epoch #26: Loss:2.1120, Accuracy:0.3042, Validation Loss:2.2284, Validation Accuracy:0.2663
Epoch #27: Loss:2.0845, Accuracy:0.3149, Validation Loss:2.2253, Validation Accuracy:0.2663
Epoch #28: Loss:2.0729, Accuracy:0.3061, Validation Loss:2.2262, Validation Accuracy:0.2789
Epoch #29: Loss:2.0503, Accuracy:0.3231, Validation Loss:2.2119, Validation Accuracy:0.2839
Epoch #30: Loss:2.0214, Accuracy:0.3363, Validation Loss:2.2660, Validation Accuracy:0.2864
Epoch #31: Loss:1.9995, Accuracy:0.3413, Validation Loss:2.2150, Validation Accuracy:0.2940
Epoch #32: Loss:1.9630, Accuracy:0.3520, Validation Loss:2.1851, Validation Accuracy:0.2965
Epoch #33: Loss:1.9494, Accuracy:0.3602, Validation Loss:2.1789, Validation Accuracy:0.2990
Epoch #34: Loss:1.9582, Accuracy:0.3558, Validation Loss:2.1925, Validation Accuracy:0.2915
Epoch #35: Loss:1.9036, Accuracy:0.3734, Validation Loss:2.1851, Validation Accuracy:0.3191
Epoch #36: Loss:1.8952, Accuracy:0.3809, Validation Loss:2.1965, Validation Accuracy:0.3065
Epoch #37: Loss:1.8484, Accuracy:0.3947, Validation Loss:2.2646, Validation Accuracy:0.2864
Epoch #38: Loss:1.8851, Accuracy:0.3708, Validation Loss:2.1953, Validation Accuracy:0.3191
