======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf13.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.05 03:14:20 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 32
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 4
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 4
Model Layer Parameters:
Name: conv1d_1, Filters: 16, Kernel Size: (96,), Strides: (12,), Activation: linear.
Name: dropout_1, Rate: 0.5.
Name: conv1d_2, Filters: 32, Kernel Size: (48,), Strides: (6,), Activation: linear.
Name: dropout_2, Rate: 0.5.
Name: conv1d_3, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: linear.
Name: dropout_3, Rate: 0.5.
Name: dropout_4, Rate: 0.5.
Name: dropout_5, Rate: 0.5.
Optimizer: <keras.optimizers.Adam object at 0x000002081C2504A8>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002073DE139D8>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2393, 16)          13840     
_________________________________________________________________
dropout_1 (Dropout)          (None, 2393, 16)          0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 391, 32)           24608     
_________________________________________________________________
dropout_2 (Dropout)          (None, 391, 32)           0         
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 184, 64)           49216     
_________________________________________________________________
dropout_3 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_1 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_4 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_2 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_5 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_3 (CuDNNGRU)       (None, 32)                9408      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 147,652
Trainable params: 147,652
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9638, Accuracy:0.0534, Validation Loss:2.9376, Validation Accuracy:0.0729
Epoch #2: Loss:2.9167, Accuracy:0.0729, Validation Loss:2.9149, Validation Accuracy:0.0754
Epoch #3: Loss:2.8967, Accuracy:0.0786, Validation Loss:2.9080, Validation Accuracy:0.0829
Epoch #4: Loss:2.8696, Accuracy:0.0849, Validation Loss:2.8947, Validation Accuracy:0.0804
Epoch #5: Loss:2.8351, Accuracy:0.0823, Validation Loss:2.8974, Validation Accuracy:0.0905
Epoch #6: Loss:2.8217, Accuracy:0.0899, Validation Loss:2.8285, Validation Accuracy:0.1106
Epoch #7: Loss:2.7883, Accuracy:0.0981, Validation Loss:2.8169, Validation Accuracy:0.1156
Epoch #8: Loss:2.7846, Accuracy:0.1131, Validation Loss:2.8478, Validation Accuracy:0.0930
Epoch #9: Loss:2.7760, Accuracy:0.1087, Validation Loss:2.8036, Validation Accuracy:0.1256
Epoch #10: Loss:2.7604, Accuracy:0.1175, Validation Loss:2.7875, Validation Accuracy:0.1231
Epoch #11: Loss:2.7554, Accuracy:0.1043, Validation Loss:2.7914, Validation Accuracy:0.1206
Epoch #12: Loss:2.7375, Accuracy:0.1207, Validation Loss:2.7631, Validation Accuracy:0.1508
Epoch #13: Loss:2.7396, Accuracy:0.1201, Validation Loss:2.7809, Validation Accuracy:0.1080
Epoch #14: Loss:2.7296, Accuracy:0.1175, Validation Loss:2.7581, Validation Accuracy:0.1256
Epoch #15: Loss:2.6991, Accuracy:0.1351, Validation Loss:2.7531, Validation Accuracy:0.1231
Epoch #16: Loss:2.6613, Accuracy:0.1527, Validation Loss:2.6632, Validation Accuracy:0.1734
Epoch #17: Loss:2.5865, Accuracy:0.1728, Validation Loss:2.6575, Validation Accuracy:0.1658
Epoch #18: Loss:2.5629, Accuracy:0.1678, Validation Loss:2.7150, Validation Accuracy:0.1382
Epoch #19: Loss:2.5238, Accuracy:0.1798, Validation Loss:2.5201, Validation Accuracy:0.1759
Epoch #20: Loss:2.4319, Accuracy:0.2074, Validation Loss:2.5273, Validation Accuracy:0.1834
Epoch #21: Loss:2.3971, Accuracy:0.1999, Validation Loss:2.5585, Validation Accuracy:0.1834
Epoch #22: Loss:2.3307, Accuracy:0.2175, Validation Loss:2.4401, Validation Accuracy:0.2060
Epoch #23: Loss:2.2703, Accuracy:0.2464, Validation Loss:2.2808, Validation Accuracy:0.2362
Epoch #24: Loss:2.2399, Accuracy:0.2451, Validation Loss:2.3967, Validation Accuracy:0.2161
Epoch #25: Loss:2.1749, Accuracy:0.2740, Validation Loss:2.3687, Validation Accuracy:0.2513
Epoch #26: Loss:2.1450, Accuracy:0.2935, Validation Loss:2.2762, Validation Accuracy:0.2739
Epoch #27: Loss:2.0775, Accuracy:0.3074, Validation Loss:2.2909, Validation Accuracy:0.2437
Epoch #28: Loss:2.0917, Accuracy:0.3017, Validation Loss:2.1512, Validation Accuracy:0.3090
Epoch #29: Loss:2.0153, Accuracy:0.3262, Validation Loss:2.2380, Validation Accuracy:0.2739
Epoch #30: Loss:2.0193, Accuracy:0.3325, Validation Loss:2.1454, Validation Accuracy:0.3241
Epoch #31: Loss:2.0040, Accuracy:0.3149, Validation Loss:2.1113, Validation Accuracy:0.3116
