======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf14.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.05 03:26:54 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 32
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 5
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 5
Model Layer Parameters:
Name: conv1d_1, Filters: 16, Kernel Size: (96,), Strides: (12,), Activation: linear.
Name: dropout_1, Rate: 0.5.
Name: conv1d_2, Filters: 32, Kernel Size: (48,), Strides: (6,), Activation: linear.
Name: dropout_2, Rate: 0.5.
Name: conv1d_3, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: linear.
Name: dropout_3, Rate: 0.5.
Name: dropout_4, Rate: 0.5.
Optimizer: <keras.optimizers.Adam object at 0x0000023B9C3955C0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000023AED7639D8>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2393, 16)          13840     
_________________________________________________________________
dropout_1 (Dropout)          (None, 2393, 16)          0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 391, 32)           24608     
_________________________________________________________________
dropout_2 (Dropout)          (None, 391, 32)           0         
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 184, 64)           49216     
_________________________________________________________________
dropout_3 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_1 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_4 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_2 (CuDNNGRU)       (None, 32)                9408      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 122,692
Trainable params: 122,692
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9867, Accuracy:0.0559, Validation Loss:2.9652, Validation Accuracy:0.0503
Epoch #2: Loss:2.9470, Accuracy:0.0710, Validation Loss:2.9182, Validation Accuracy:0.0678
Epoch #3: Loss:2.9232, Accuracy:0.0761, Validation Loss:2.9049, Validation Accuracy:0.0729
Epoch #4: Loss:2.9059, Accuracy:0.0673, Validation Loss:2.8958, Validation Accuracy:0.0754
Epoch #5: Loss:2.8877, Accuracy:0.0805, Validation Loss:2.8820, Validation Accuracy:0.0729
Epoch #6: Loss:2.8795, Accuracy:0.0748, Validation Loss:2.8249, Validation Accuracy:0.0754
Epoch #7: Loss:2.8691, Accuracy:0.0867, Validation Loss:2.8644, Validation Accuracy:0.0804
Epoch #8: Loss:2.8655, Accuracy:0.0911, Validation Loss:2.8029, Validation Accuracy:0.0980
Epoch #9: Loss:2.8248, Accuracy:0.1025, Validation Loss:2.7993, Validation Accuracy:0.0905
Epoch #10: Loss:2.8114, Accuracy:0.1006, Validation Loss:2.7649, Validation Accuracy:0.1055
Epoch #11: Loss:2.7796, Accuracy:0.1062, Validation Loss:2.7624, Validation Accuracy:0.1005
Epoch #12: Loss:2.7616, Accuracy:0.1081, Validation Loss:2.7557, Validation Accuracy:0.1106
Epoch #13: Loss:2.7431, Accuracy:0.1314, Validation Loss:2.7218, Validation Accuracy:0.1307
Epoch #14: Loss:2.7013, Accuracy:0.1332, Validation Loss:2.7067, Validation Accuracy:0.1432
Epoch #15: Loss:2.6723, Accuracy:0.1596, Validation Loss:2.6842, Validation Accuracy:0.1256
Epoch #16: Loss:2.6103, Accuracy:0.1640, Validation Loss:2.6321, Validation Accuracy:0.1332
Epoch #17: Loss:2.5676, Accuracy:0.1615, Validation Loss:2.6050, Validation Accuracy:0.1658
Epoch #18: Loss:2.4627, Accuracy:0.1829, Validation Loss:2.4220, Validation Accuracy:0.2111
Epoch #19: Loss:2.4218, Accuracy:0.2194, Validation Loss:2.5356, Validation Accuracy:0.1482
Epoch #20: Loss:2.3626, Accuracy:0.2162, Validation Loss:2.3721, Validation Accuracy:0.2286
Epoch #21: Loss:2.2938, Accuracy:0.2288, Validation Loss:2.3914, Validation Accuracy:0.2487
Epoch #22: Loss:2.2755, Accuracy:0.2432, Validation Loss:2.3286, Validation Accuracy:0.2487
Epoch #23: Loss:2.2207, Accuracy:0.2728, Validation Loss:2.2630, Validation Accuracy:0.2638
Epoch #24: Loss:2.1731, Accuracy:0.2784, Validation Loss:2.4764, Validation Accuracy:0.2186
Epoch #25: Loss:2.1721, Accuracy:0.2948, Validation Loss:2.2906, Validation Accuracy:0.2588
Epoch #26: Loss:2.1160, Accuracy:0.3099, Validation Loss:2.2801, Validation Accuracy:0.2513
Epoch #27: Loss:2.0822, Accuracy:0.3155, Validation Loss:2.2080, Validation Accuracy:0.2839
Epoch #28: Loss:2.0519, Accuracy:0.3325, Validation Loss:2.1217, Validation Accuracy:0.2915
Epoch #29: Loss:2.0123, Accuracy:0.3350, Validation Loss:2.1083, Validation Accuracy:0.3216
Epoch #30: Loss:1.9767, Accuracy:0.3576, Validation Loss:2.1380, Validation Accuracy:0.3216
Epoch #31: Loss:1.9726, Accuracy:0.3388, Validation Loss:2.1292, Validation Accuracy:0.3116
Epoch #32: Loss:1.9260, Accuracy:0.3583, Validation Loss:2.0621, Validation Accuracy:0.3141
Epoch #33: Loss:1.9189, Accuracy:0.3614, Validation Loss:2.0610, Validation Accuracy:0.3216
Epoch #34: Loss:1.8968, Accuracy:0.3777, Validation Loss:1.9471, Validation Accuracy:0.3693
Epoch #35: Loss:1.8824, Accuracy:0.3803, Validation Loss:2.1387, Validation Accuracy:0.2990
Epoch #36: Loss:1.8882, Accuracy:0.3664, Validation Loss:2.0475, Validation Accuracy:0.3216
Epoch #37: Loss:1.8484, Accuracy:0.3859, Validation Loss:2.0109, Validation Accuracy:0.3467
Epoch #38: Loss:1.7991, Accuracy:0.4123, Validation Loss:1.9581, Validation Accuracy:0.3618
Epoch #39: Loss:1.8023, Accuracy:0.4111, Validation Loss:2.0174, Validation Accuracy:0.2990
