======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf15.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.05 03:40:38 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 64
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 4
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 4
Model Layer Parameters:
Name: conv1d_1, Filters: 16, Kernel Size: (96,), Strides: (12,), Activation: linear.
Name: dropout_1, Rate: 0.5.
Name: conv1d_2, Filters: 32, Kernel Size: (48,), Strides: (6,), Activation: linear.
Name: dropout_2, Rate: 0.5.
Name: conv1d_3, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: linear.
Name: dropout_3, Rate: 0.5.
Name: dropout_4, Rate: 0.5.
Name: dropout_5, Rate: 0.5.
Optimizer: <keras.optimizers.Adam object at 0x0000022B9D2D04A8>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000022AA35C39D8>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2393, 16)          13840     
_________________________________________________________________
dropout_1 (Dropout)          (None, 2393, 16)          0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 391, 32)           24608     
_________________________________________________________________
dropout_2 (Dropout)          (None, 391, 32)           0         
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 184, 64)           49216     
_________________________________________________________________
dropout_3 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_1 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_4 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_2 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_5 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_3 (CuDNNGRU)       (None, 32)                9408      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 147,652
Trainable params: 147,652
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9907, Accuracy:0.0484, Validation Loss:2.9542, Validation Accuracy:0.0704
Epoch #2: Loss:2.9537, Accuracy:0.0654, Validation Loss:2.9144, Validation Accuracy:0.0729
Epoch #3: Loss:2.9328, Accuracy:0.0704, Validation Loss:2.8738, Validation Accuracy:0.0829
Epoch #4: Loss:2.9111, Accuracy:0.0698, Validation Loss:2.8624, Validation Accuracy:0.0804
Epoch #5: Loss:2.9051, Accuracy:0.0748, Validation Loss:2.8726, Validation Accuracy:0.0779
Epoch #6: Loss:2.8959, Accuracy:0.0729, Validation Loss:2.8714, Validation Accuracy:0.0779
Epoch #7: Loss:2.8614, Accuracy:0.0974, Validation Loss:2.8336, Validation Accuracy:0.1005
Epoch #8: Loss:2.9063, Accuracy:0.0893, Validation Loss:2.8779, Validation Accuracy:0.0779
Epoch #9: Loss:2.8903, Accuracy:0.0792, Validation Loss:2.8407, Validation Accuracy:0.0930
Epoch #10: Loss:2.8593, Accuracy:0.0823, Validation Loss:2.8456, Validation Accuracy:0.0955
Epoch #11: Loss:2.8530, Accuracy:0.0930, Validation Loss:2.8111, Validation Accuracy:0.0905
Epoch #12: Loss:2.8208, Accuracy:0.1069, Validation Loss:2.8162, Validation Accuracy:0.1005
Epoch #13: Loss:2.7996, Accuracy:0.1018, Validation Loss:2.7816, Validation Accuracy:0.1106
Epoch #14: Loss:2.7674, Accuracy:0.1295, Validation Loss:2.7696, Validation Accuracy:0.1307
Epoch #15: Loss:2.7493, Accuracy:0.1226, Validation Loss:2.7578, Validation Accuracy:0.1281
Epoch #16: Loss:2.7373, Accuracy:0.1314, Validation Loss:2.8060, Validation Accuracy:0.1181
Epoch #17: Loss:2.6676, Accuracy:0.1358, Validation Loss:2.8422, Validation Accuracy:0.0905
Epoch #18: Loss:2.6009, Accuracy:0.1747, Validation Loss:2.6691, Validation Accuracy:0.1734
Epoch #19: Loss:2.5479, Accuracy:0.1785, Validation Loss:2.7566, Validation Accuracy:0.1281
Epoch #20: Loss:2.5129, Accuracy:0.1735, Validation Loss:2.7010, Validation Accuracy:0.1256
Epoch #21: Loss:2.5234, Accuracy:0.1873, Validation Loss:2.7545, Validation Accuracy:0.1307
Epoch #22: Loss:2.4944, Accuracy:0.1942, Validation Loss:2.7556, Validation Accuracy:0.1156
Epoch #23: Loss:2.4482, Accuracy:0.2055, Validation Loss:2.6708, Validation Accuracy:0.1206
Epoch #24: Loss:2.4409, Accuracy:0.2062, Validation Loss:2.6598, Validation Accuracy:0.1231
Epoch #25: Loss:2.4195, Accuracy:0.2099, Validation Loss:2.5771, Validation Accuracy:0.1608
Epoch #26: Loss:2.3897, Accuracy:0.2150, Validation Loss:2.4709, Validation Accuracy:0.2136
Epoch #27: Loss:2.3662, Accuracy:0.2388, Validation Loss:2.4812, Validation Accuracy:0.2161
Epoch #28: Loss:2.3480, Accuracy:0.2376, Validation Loss:2.5967, Validation Accuracy:0.1533
Epoch #29: Loss:2.3160, Accuracy:0.2552, Validation Loss:2.5759, Validation Accuracy:0.1734
Epoch #30: Loss:2.3130, Accuracy:0.2464, Validation Loss:2.4640, Validation Accuracy:0.2035
Epoch #31: Loss:2.2784, Accuracy:0.2759, Validation Loss:2.4011, Validation Accuracy:0.2136
