======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf16.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.05 03:53:46 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 64
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 5
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 5
Model Layer Parameters:
Name: conv1d_1, Filters: 16, Kernel Size: (96,), Strides: (12,), Activation: linear.
Name: dropout_1, Rate: 0.5.
Name: conv1d_2, Filters: 32, Kernel Size: (48,), Strides: (6,), Activation: linear.
Name: dropout_2, Rate: 0.5.
Name: conv1d_3, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: linear.
Name: dropout_3, Rate: 0.5.
Name: dropout_4, Rate: 0.5.
Optimizer: <keras.optimizers.Adam object at 0x000001EA1C0355C0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001E90E5D49D8>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2393, 16)          13840     
_________________________________________________________________
dropout_1 (Dropout)          (None, 2393, 16)          0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 391, 32)           24608     
_________________________________________________________________
dropout_2 (Dropout)          (None, 391, 32)           0         
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 184, 64)           49216     
_________________________________________________________________
dropout_3 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_1 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_4 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_2 (CuDNNGRU)       (None, 32)                9408      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 122,692
Trainable params: 122,692
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9757, Accuracy:0.0622, Validation Loss:2.9656, Validation Accuracy:0.0653
Epoch #2: Loss:2.9324, Accuracy:0.0679, Validation Loss:2.9461, Validation Accuracy:0.0477
Epoch #3: Loss:2.9179, Accuracy:0.0691, Validation Loss:2.9288, Validation Accuracy:0.0754
Epoch #4: Loss:2.9006, Accuracy:0.0805, Validation Loss:2.9081, Validation Accuracy:0.0829
Epoch #5: Loss:2.8591, Accuracy:0.0717, Validation Loss:2.8379, Validation Accuracy:0.1131
Epoch #6: Loss:2.9057, Accuracy:0.0717, Validation Loss:2.9126, Validation Accuracy:0.0678
Epoch #7: Loss:2.8684, Accuracy:0.0924, Validation Loss:2.9055, Validation Accuracy:0.1055
Epoch #8: Loss:2.8560, Accuracy:0.0943, Validation Loss:2.8679, Validation Accuracy:0.0980
Epoch #9: Loss:2.8110, Accuracy:0.0930, Validation Loss:2.8323, Validation Accuracy:0.1206
Epoch #10: Loss:2.8170, Accuracy:0.0974, Validation Loss:2.8403, Validation Accuracy:0.0980
Epoch #11: Loss:2.8126, Accuracy:0.0987, Validation Loss:2.8065, Validation Accuracy:0.1181
Epoch #12: Loss:2.7819, Accuracy:0.1050, Validation Loss:2.7842, Validation Accuracy:0.1332
Epoch #13: Loss:2.7615, Accuracy:0.1232, Validation Loss:2.7718, Validation Accuracy:0.1256
Epoch #14: Loss:2.7368, Accuracy:0.1339, Validation Loss:2.7409, Validation Accuracy:0.1583
Epoch #15: Loss:2.7109, Accuracy:0.1395, Validation Loss:2.7454, Validation Accuracy:0.1432
Epoch #16: Loss:2.6975, Accuracy:0.1508, Validation Loss:2.7625, Validation Accuracy:0.1231
Epoch #17: Loss:2.6679, Accuracy:0.1515, Validation Loss:2.7116, Validation Accuracy:0.1307
Epoch #18: Loss:2.6351, Accuracy:0.1552, Validation Loss:2.6423, Validation Accuracy:0.1633
Epoch #19: Loss:2.5814, Accuracy:0.1672, Validation Loss:2.6627, Validation Accuracy:0.1558
Epoch #20: Loss:2.5414, Accuracy:0.1760, Validation Loss:2.6027, Validation Accuracy:0.1734
Epoch #21: Loss:2.4949, Accuracy:0.1766, Validation Loss:2.6742, Validation Accuracy:0.1508
Epoch #22: Loss:2.4391, Accuracy:0.1986, Validation Loss:2.5112, Validation Accuracy:0.1884
Epoch #23: Loss:2.4185, Accuracy:0.1942, Validation Loss:2.4570, Validation Accuracy:0.2236
Epoch #24: Loss:2.3642, Accuracy:0.2238, Validation Loss:2.4971, Validation Accuracy:0.1935
Epoch #25: Loss:2.3204, Accuracy:0.2263, Validation Loss:2.4680, Validation Accuracy:0.1935
Epoch #26: Loss:2.2792, Accuracy:0.2420, Validation Loss:2.4914, Validation Accuracy:0.2136
Epoch #27: Loss:2.2771, Accuracy:0.2539, Validation Loss:2.4064, Validation Accuracy:0.2186
Epoch #28: Loss:2.2498, Accuracy:0.2539, Validation Loss:2.3502, Validation Accuracy:0.2362
Epoch #29: Loss:2.2037, Accuracy:0.2546, Validation Loss:2.3263, Validation Accuracy:0.2337
Epoch #30: Loss:2.1861, Accuracy:0.2835, Validation Loss:2.3472, Validation Accuracy:0.2387
Epoch #31: Loss:2.1487, Accuracy:0.2872, Validation Loss:2.2434, Validation Accuracy:0.2789
Epoch #32: Loss:2.1802, Accuracy:0.2841, Validation Loss:2.3677, Validation Accuracy:0.2387
Epoch #33: Loss:2.1165, Accuracy:0.2998, Validation Loss:2.3791, Validation Accuracy:0.2437
Epoch #34: Loss:2.0861, Accuracy:0.3256, Validation Loss:2.2718, Validation Accuracy:0.2814
Epoch #35: Loss:2.0923, Accuracy:0.3092, Validation Loss:2.1986, Validation Accuracy:0.3015
Epoch #36: Loss:2.0716, Accuracy:0.3099, Validation Loss:2.1751, Validation Accuracy:0.2764
Epoch #37: Loss:2.0283, Accuracy:0.3325, Validation Loss:2.1835, Validation Accuracy:0.2990
Epoch #38: Loss:2.0206, Accuracy:0.3444, Validation Loss:2.3312, Validation Accuracy:0.2387
Epoch #39: Loss:1.9883, Accuracy:0.3495, Validation Loss:2.2717, Validation Accuracy:0.2563
Epoch #40: Loss:1.9611, Accuracy:0.3664, Validation Loss:2.2085, Validation Accuracy:0.2864
Epoch #41: Loss:1.9530, Accuracy:0.3488, Validation Loss:2.2409, Validation Accuracy:0.2839
Epoch #42: Loss:1.9387, Accuracy:0.3821, Validation Loss:2.1103, Validation Accuracy:0.3015
Epoch #43: Loss:1.9054, Accuracy:0.3765, Validation Loss:2.2133, Validation Accuracy:0.2764
Epoch #44: Loss:1.9114, Accuracy:0.3796, Validation Loss:2.0805, Validation Accuracy:0.3141
Epoch #45: Loss:1.8964, Accuracy:0.3734, Validation Loss:2.1867, Validation Accuracy:0.2915
Epoch #46: Loss:1.8960, Accuracy:0.3872, Validation Loss:2.1265, Validation Accuracy:0.3241
Epoch #47: Loss:1.8630, Accuracy:0.3834, Validation Loss:2.1815, Validation Accuracy:0.3090
Epoch #48: Loss:1.8494, Accuracy:0.4085, Validation Loss:2.0857, Validation Accuracy:0.3417
Epoch #49: Loss:1.8433, Accuracy:0.3953, Validation Loss:2.0203, Validation Accuracy:0.3518
Epoch #50: Loss:1.8121, Accuracy:0.4111, Validation Loss:1.9758, Validation Accuracy:0.3618
Epoch #51: Loss:1.8247, Accuracy:0.4054, Validation Loss:2.0351, Validation Accuracy:0.3417
Epoch #52: Loss:1.8028, Accuracy:0.4129, Validation Loss:2.0694, Validation Accuracy:0.3467
Epoch #53: Loss:1.7883, Accuracy:0.4186, Validation Loss:1.9326, Validation Accuracy:0.3693
Epoch #54: Loss:1.7642, Accuracy:0.4230, Validation Loss:1.9759, Validation Accuracy:0.3794
Epoch #55: Loss:1.7457, Accuracy:0.4368, Validation Loss:2.0854, Validation Accuracy:0.3367
Epoch #56: Loss:1.7572, Accuracy:0.4192, Validation Loss:2.0200, Validation Accuracy:0.3568
Epoch #57: Loss:1.7202, Accuracy:0.4488, Validation Loss:1.9602, Validation Accuracy:0.3643
