======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf17.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.05 04:08:08 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 128
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 4
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 4
Model Layer Parameters:
Name: conv1d_1, Filters: 16, Kernel Size: (96,), Strides: (12,), Activation: linear.
Name: dropout_1, Rate: 0.5.
Name: conv1d_2, Filters: 32, Kernel Size: (48,), Strides: (6,), Activation: linear.
Name: dropout_2, Rate: 0.5.
Name: conv1d_3, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: linear.
Name: dropout_3, Rate: 0.5.
Name: dropout_4, Rate: 0.5.
Name: dropout_5, Rate: 0.5.
Optimizer: <keras.optimizers.Adam object at 0x000001789D3904A8>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000177C9DC39D8>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2393, 16)          13840     
_________________________________________________________________
dropout_1 (Dropout)          (None, 2393, 16)          0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 391, 32)           24608     
_________________________________________________________________
dropout_2 (Dropout)          (None, 391, 32)           0         
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 184, 64)           49216     
_________________________________________________________________
dropout_3 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_1 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_4 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_2 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_5 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_3 (CuDNNGRU)       (None, 32)                9408      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 147,652
Trainable params: 147,652
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9934, Accuracy:0.0566, Validation Loss:2.9689, Validation Accuracy:0.0678
Epoch #2: Loss:2.9560, Accuracy:0.0710, Validation Loss:2.9369, Validation Accuracy:0.0704
Epoch #3: Loss:2.9325, Accuracy:0.0754, Validation Loss:2.9120, Validation Accuracy:0.0704
Epoch #4: Loss:2.9233, Accuracy:0.0767, Validation Loss:2.9084, Validation Accuracy:0.0704
Epoch #5: Loss:2.9172, Accuracy:0.0748, Validation Loss:2.8885, Validation Accuracy:0.0704
Epoch #6: Loss:2.9088, Accuracy:0.0761, Validation Loss:2.8818, Validation Accuracy:0.0704
Epoch #7: Loss:2.9055, Accuracy:0.0761, Validation Loss:2.8706, Validation Accuracy:0.0930
Epoch #8: Loss:2.8890, Accuracy:0.0773, Validation Loss:2.8533, Validation Accuracy:0.0704
Epoch #9: Loss:2.8802, Accuracy:0.0729, Validation Loss:2.8413, Validation Accuracy:0.0879
Epoch #10: Loss:2.9313, Accuracy:0.0792, Validation Loss:2.8658, Validation Accuracy:0.0905
Epoch #11: Loss:2.8909, Accuracy:0.0817, Validation Loss:2.8371, Validation Accuracy:0.1005
Epoch #12: Loss:2.8406, Accuracy:0.0855, Validation Loss:2.8022, Validation Accuracy:0.0754
Epoch #13: Loss:2.8873, Accuracy:0.0930, Validation Loss:2.9275, Validation Accuracy:0.0905
Epoch #14: Loss:2.9333, Accuracy:0.0735, Validation Loss:2.8542, Validation Accuracy:0.0930
Epoch #15: Loss:2.8734, Accuracy:0.0911, Validation Loss:2.8387, Validation Accuracy:0.0754
Epoch #16: Loss:2.8555, Accuracy:0.1031, Validation Loss:2.8019, Validation Accuracy:0.1106
Epoch #17: Loss:2.8186, Accuracy:0.0905, Validation Loss:2.7884, Validation Accuracy:0.1281
Epoch #18: Loss:2.7972, Accuracy:0.1006, Validation Loss:2.7708, Validation Accuracy:0.1382
Epoch #19: Loss:2.7825, Accuracy:0.1056, Validation Loss:2.7662, Validation Accuracy:0.1432
Epoch #20: Loss:2.7759, Accuracy:0.0999, Validation Loss:2.7706, Validation Accuracy:0.1005
Epoch #21: Loss:2.7639, Accuracy:0.1087, Validation Loss:2.7489, Validation Accuracy:0.1482
Epoch #22: Loss:2.7592, Accuracy:0.1157, Validation Loss:2.7465, Validation Accuracy:0.1558
Epoch #23: Loss:2.7427, Accuracy:0.1219, Validation Loss:2.7510, Validation Accuracy:0.1558
Epoch #24: Loss:2.7372, Accuracy:0.1125, Validation Loss:2.7537, Validation Accuracy:0.1357
Epoch #25: Loss:2.7260, Accuracy:0.1232, Validation Loss:2.7611, Validation Accuracy:0.1256
Epoch #26: Loss:2.7345, Accuracy:0.1144, Validation Loss:2.7410, Validation Accuracy:0.1508
Epoch #27: Loss:2.7155, Accuracy:0.1364, Validation Loss:2.7205, Validation Accuracy:0.1482
Epoch #28: Loss:2.7157, Accuracy:0.1307, Validation Loss:2.7355, Validation Accuracy:0.1357
Epoch #29: Loss:2.6907, Accuracy:0.1314, Validation Loss:2.6953, Validation Accuracy:0.1407
Epoch #30: Loss:2.6678, Accuracy:0.1370, Validation Loss:2.6662, Validation Accuracy:0.1759
Epoch #31: Loss:2.6466, Accuracy:0.1508, Validation Loss:2.6465, Validation Accuracy:0.1533
