======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf18.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.05 04:29:18 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Mags
channelMode : 0
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 128
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 5
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Mags_0_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Mags_0_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 5
Model Layer Parameters:
Name: conv1d_1, Filters: 16, Kernel Size: (96,), Strides: (12,), Activation: linear.
Name: dropout_1, Rate: 0.5.
Name: conv1d_2, Filters: 32, Kernel Size: (48,), Strides: (6,), Activation: linear.
Name: dropout_2, Rate: 0.5.
Name: conv1d_3, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: linear.
Name: dropout_3, Rate: 0.5.
Name: dropout_4, Rate: 0.5.
Optimizer: <keras.optimizers.Adam object at 0x000001B21C2055C0>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001B141F539D8>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2393, 16)          13840     
_________________________________________________________________
dropout_1 (Dropout)          (None, 2393, 16)          0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 391, 32)           24608     
_________________________________________________________________
dropout_2 (Dropout)          (None, 391, 32)           0         
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 184, 64)           49216     
_________________________________________________________________
dropout_3 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_1 (CuDNNGRU)       (None, 184, 64)           24960     
_________________________________________________________________
dropout_4 (Dropout)          (None, 184, 64)           0         
_________________________________________________________________
cu_dnngru_2 (CuDNNGRU)       (None, 32)                9408      
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 122,692
Trainable params: 122,692
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9906, Accuracy:0.0465, Validation Loss:2.9583, Validation Accuracy:0.0729
Epoch #2: Loss:2.9454, Accuracy:0.0710, Validation Loss:2.9321, Validation Accuracy:0.0754
Epoch #3: Loss:2.9239, Accuracy:0.0679, Validation Loss:2.9222, Validation Accuracy:0.0704
Epoch #4: Loss:2.9161, Accuracy:0.0754, Validation Loss:2.9250, Validation Accuracy:0.0779
Epoch #5: Loss:2.9237, Accuracy:0.0767, Validation Loss:2.9207, Validation Accuracy:0.0653
Epoch #6: Loss:2.9052, Accuracy:0.0761, Validation Loss:2.9084, Validation Accuracy:0.0804
Epoch #7: Loss:2.8890, Accuracy:0.0830, Validation Loss:2.9005, Validation Accuracy:0.0829
Epoch #8: Loss:2.8713, Accuracy:0.0899, Validation Loss:2.8713, Validation Accuracy:0.1030
Epoch #9: Loss:2.8417, Accuracy:0.0999, Validation Loss:2.8522, Validation Accuracy:0.0879
Epoch #10: Loss:2.8585, Accuracy:0.0962, Validation Loss:2.8779, Validation Accuracy:0.0829
Epoch #11: Loss:2.8544, Accuracy:0.0893, Validation Loss:2.8553, Validation Accuracy:0.0955
Epoch #12: Loss:2.8224, Accuracy:0.1062, Validation Loss:2.8293, Validation Accuracy:0.1030
Epoch #13: Loss:2.8005, Accuracy:0.1037, Validation Loss:2.8203, Validation Accuracy:0.1005
Epoch #14: Loss:2.7979, Accuracy:0.0987, Validation Loss:2.8228, Validation Accuracy:0.1005
Epoch #15: Loss:2.7964, Accuracy:0.1138, Validation Loss:2.8037, Validation Accuracy:0.1131
Epoch #16: Loss:2.7754, Accuracy:0.1062, Validation Loss:2.7932, Validation Accuracy:0.1206
Epoch #17: Loss:2.7713, Accuracy:0.1113, Validation Loss:2.7980, Validation Accuracy:0.1055
Epoch #18: Loss:2.7612, Accuracy:0.1144, Validation Loss:2.7826, Validation Accuracy:0.1131
Epoch #19: Loss:2.7529, Accuracy:0.1245, Validation Loss:2.7909, Validation Accuracy:0.1030
Epoch #20: Loss:2.7496, Accuracy:0.1238, Validation Loss:2.7700, Validation Accuracy:0.1106
Epoch #21: Loss:2.7456, Accuracy:0.1207, Validation Loss:2.7729, Validation Accuracy:0.1206
Epoch #22: Loss:2.7364, Accuracy:0.1245, Validation Loss:2.7894, Validation Accuracy:0.1106
Epoch #23: Loss:2.7241, Accuracy:0.1395, Validation Loss:2.7705, Validation Accuracy:0.1332
Epoch #24: Loss:2.7226, Accuracy:0.1395, Validation Loss:2.7483, Validation Accuracy:0.1307
Epoch #25: Loss:2.7112, Accuracy:0.1358, Validation Loss:2.7316, Validation Accuracy:0.1256
Epoch #26: Loss:2.6983, Accuracy:0.1389, Validation Loss:2.7484, Validation Accuracy:0.1131
Epoch #27: Loss:2.6707, Accuracy:0.1414, Validation Loss:2.7229, Validation Accuracy:0.1030
Epoch #28: Loss:2.6531, Accuracy:0.1427, Validation Loss:2.6835, Validation Accuracy:0.1407
Epoch #29: Loss:2.6137, Accuracy:0.1483, Validation Loss:2.6619, Validation Accuracy:0.1533
