======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf1.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.25 23:16:06 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': '0', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['my', 'by', 'ek', 'sg', 'eo', 'eb', 'ds', 'yd', 'eg', 'mb', 'ib', 'ce', 'sk', 'aa', 'ck'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000002E282173DD8>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002E2DB576EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7155, Accuracy:0.0727, Validation Loss:2.7086, Validation Accuracy:0.1117
Epoch #2: Loss:2.7069, Accuracy:0.1068, Validation Loss:2.7010, Validation Accuracy:0.1084
Epoch #3: Loss:2.6999, Accuracy:0.1097, Validation Loss:2.6956, Validation Accuracy:0.1117
Epoch #4: Loss:2.6941, Accuracy:0.1027, Validation Loss:2.6903, Validation Accuracy:0.1149
Epoch #5: Loss:2.6887, Accuracy:0.1055, Validation Loss:2.6853, Validation Accuracy:0.1117
Epoch #6: Loss:2.6834, Accuracy:0.1101, Validation Loss:2.6811, Validation Accuracy:0.1182
Epoch #7: Loss:2.6792, Accuracy:0.1072, Validation Loss:2.6771, Validation Accuracy:0.1084
Epoch #8: Loss:2.6757, Accuracy:0.1047, Validation Loss:2.6734, Validation Accuracy:0.1018
Epoch #9: Loss:2.6700, Accuracy:0.1027, Validation Loss:2.6690, Validation Accuracy:0.1018
Epoch #10: Loss:2.6661, Accuracy:0.1023, Validation Loss:2.6643, Validation Accuracy:0.1018
Epoch #11: Loss:2.6600, Accuracy:0.1039, Validation Loss:2.6601, Validation Accuracy:0.1002
Epoch #12: Loss:2.6540, Accuracy:0.1084, Validation Loss:2.6519, Validation Accuracy:0.1100
Epoch #13: Loss:2.6452, Accuracy:0.1109, Validation Loss:2.6437, Validation Accuracy:0.1149
Epoch #14: Loss:2.6343, Accuracy:0.1265, Validation Loss:2.6302, Validation Accuracy:0.1297
Epoch #15: Loss:2.6173, Accuracy:0.1265, Validation Loss:2.6110, Validation Accuracy:0.1248
Epoch #16: Loss:2.5958, Accuracy:0.1425, Validation Loss:2.6002, Validation Accuracy:0.1429
Epoch #17: Loss:2.5761, Accuracy:0.1507, Validation Loss:2.5815, Validation Accuracy:0.1445
Epoch #18: Loss:2.5510, Accuracy:0.1643, Validation Loss:2.5415, Validation Accuracy:0.1905
Epoch #19: Loss:2.5160, Accuracy:0.1877, Validation Loss:2.5376, Validation Accuracy:0.2200
Epoch #20: Loss:2.4970, Accuracy:0.2037, Validation Loss:2.4926, Validation Accuracy:0.2167
Epoch #21: Loss:2.4611, Accuracy:0.2119, Validation Loss:2.4836, Validation Accuracy:0.2053
Epoch #22: Loss:2.4505, Accuracy:0.2049, Validation Loss:2.4818, Validation Accuracy:0.1954
Epoch #23: Loss:2.4517, Accuracy:0.2021, Validation Loss:2.4995, Validation Accuracy:0.1888
Epoch #24: Loss:2.4474, Accuracy:0.1938, Validation Loss:2.4854, Validation Accuracy:0.1938
Epoch #25: Loss:2.4342, Accuracy:0.2053, Validation Loss:2.5148, Validation Accuracy:0.1905
Epoch #26: Loss:2.4455, Accuracy:0.1951, Validation Loss:2.4981, Validation Accuracy:0.1658
Epoch #27: Loss:2.4107, Accuracy:0.1975, Validation Loss:2.4355, Validation Accuracy:0.2020
Epoch #28: Loss:2.3682, Accuracy:0.2099, Validation Loss:2.4385, Validation Accuracy:0.1987
Epoch #29: Loss:2.3535, Accuracy:0.2127, Validation Loss:2.4106, Validation Accuracy:0.2135
Epoch #30: Loss:2.3415, Accuracy:0.2152, Validation Loss:2.3850, Validation Accuracy:0.2348
Epoch #31: Loss:2.3576, Accuracy:0.2119, Validation Loss:2.4651, Validation Accuracy:0.1905
Epoch #32: Loss:2.3713, Accuracy:0.1984, Validation Loss:2.4568, Validation Accuracy:0.2036
Epoch #33: Loss:2.3419, Accuracy:0.2131, Validation Loss:2.4129, Validation Accuracy:0.2036
Epoch #34: Loss:2.3326, Accuracy:0.2152, Validation Loss:2.4048, Validation Accuracy:0.2036
Epoch #35: Loss:2.3426, Accuracy:0.2119, Validation Loss:2.3836, Validation Accuracy:0.2118
Epoch #36: Loss:2.3045, Accuracy:0.2251, Validation Loss:2.3720, Validation Accuracy:0.2151
Epoch #37: Loss:2.2819, Accuracy:0.2292, Validation Loss:2.3585, Validation Accuracy:0.2250
Epoch #38: Loss:2.2669, Accuracy:0.2378, Validation Loss:2.3650, Validation Accuracy:0.2184
Epoch #39: Loss:2.2891, Accuracy:0.2251, Validation Loss:2.3516, Validation Accuracy:0.2151
Epoch #40: Loss:2.2662, Accuracy:0.2407, Validation Loss:2.3435, Validation Accuracy:0.2266
Epoch #41: Loss:2.2522, Accuracy:0.2456, Validation Loss:2.3499, Validation Accuracy:0.2217
Epoch #42: Loss:2.2610, Accuracy:0.2468, Validation Loss:2.3291, Validation Accuracy:0.2217
Epoch #43: Loss:2.2510, Accuracy:0.2472, Validation Loss:2.4643, Validation Accuracy:0.2118
Epoch #44: Loss:2.3572, Accuracy:0.2271, Validation Loss:2.4709, Validation Accuracy:0.1872
Epoch #45: Loss:2.3663, Accuracy:0.2111, Validation Loss:2.3557, Validation Accuracy:0.2233
Epoch #46: Loss:2.2545, Accuracy:0.2419, Validation Loss:2.3272, Validation Accuracy:0.2217
Epoch #47: Loss:2.2421, Accuracy:0.2452, Validation Loss:2.3218, Validation Accuracy:0.2381
Epoch #48: Loss:2.2441, Accuracy:0.2374, Validation Loss:2.3185, Validation Accuracy:0.2233
Epoch #49: Loss:2.2419, Accuracy:0.2439, Validation Loss:2.3180, Validation Accuracy:0.2266
Epoch #50: Loss:2.2420, Accuracy:0.2423, Validation Loss:2.3273, Validation Accuracy:0.2397
