======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf3.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.25 23:47:58 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': '0', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['02', '03', '01'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x00000176297F4E80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000017626F76EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0896, Accuracy:0.3713, Validation Loss:1.0827, Validation Accuracy:0.3760
Epoch #2: Loss:1.0804, Accuracy:0.3749, Validation Loss:1.0776, Validation Accuracy:0.3727
Epoch #3: Loss:1.0751, Accuracy:0.3803, Validation Loss:1.0750, Validation Accuracy:0.3974
Epoch #4: Loss:1.0742, Accuracy:0.3959, Validation Loss:1.0754, Validation Accuracy:0.3941
Epoch #5: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #6: Loss:1.0745, Accuracy:0.3914, Validation Loss:1.0752, Validation Accuracy:0.3990
Epoch #7: Loss:1.0741, Accuracy:0.3938, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #8: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0747, Validation Accuracy:0.3941
Epoch #9: Loss:1.0738, Accuracy:0.3955, Validation Loss:1.0750, Validation Accuracy:0.3941
Epoch #10: Loss:1.0734, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3990
Epoch #11: Loss:1.0735, Accuracy:0.3959, Validation Loss:1.0749, Validation Accuracy:0.3957
Epoch #12: Loss:1.0735, Accuracy:0.4111, Validation Loss:1.0751, Validation Accuracy:0.3941
Epoch #13: Loss:1.0731, Accuracy:0.3988, Validation Loss:1.0750, Validation Accuracy:0.3974
Epoch #14: Loss:1.0732, Accuracy:0.3926, Validation Loss:1.0743, Validation Accuracy:0.3924
Epoch #15: Loss:1.0727, Accuracy:0.4041, Validation Loss:1.0742, Validation Accuracy:0.3957
Epoch #16: Loss:1.0728, Accuracy:0.4033, Validation Loss:1.0752, Validation Accuracy:0.3842
Epoch #17: Loss:1.0727, Accuracy:0.4041, Validation Loss:1.0745, Validation Accuracy:0.4007
Epoch #18: Loss:1.0725, Accuracy:0.4045, Validation Loss:1.0743, Validation Accuracy:0.3957
Epoch #19: Loss:1.0732, Accuracy:0.3979, Validation Loss:1.0742, Validation Accuracy:0.3990
Epoch #20: Loss:1.0734, Accuracy:0.3893, Validation Loss:1.0745, Validation Accuracy:0.3892
Epoch #21: Loss:1.0725, Accuracy:0.4074, Validation Loss:1.0737, Validation Accuracy:0.3924
Epoch #22: Loss:1.0726, Accuracy:0.4037, Validation Loss:1.0738, Validation Accuracy:0.3842
Epoch #23: Loss:1.0722, Accuracy:0.4066, Validation Loss:1.0738, Validation Accuracy:0.3908
Epoch #24: Loss:1.0728, Accuracy:0.3971, Validation Loss:1.0730, Validation Accuracy:0.3810
Epoch #25: Loss:1.0734, Accuracy:0.3889, Validation Loss:1.0747, Validation Accuracy:0.3744
Epoch #26: Loss:1.0729, Accuracy:0.3963, Validation Loss:1.0752, Validation Accuracy:0.3892
Epoch #27: Loss:1.0735, Accuracy:0.3926, Validation Loss:1.0747, Validation Accuracy:0.3810
Epoch #28: Loss:1.0740, Accuracy:0.3951, Validation Loss:1.0751, Validation Accuracy:0.3941
Epoch #29: Loss:1.0745, Accuracy:0.3926, Validation Loss:1.0745, Validation Accuracy:0.3826
Epoch #30: Loss:1.0733, Accuracy:0.3967, Validation Loss:1.0739, Validation Accuracy:0.3974
Epoch #31: Loss:1.0729, Accuracy:0.3975, Validation Loss:1.0740, Validation Accuracy:0.3777
Epoch #32: Loss:1.0730, Accuracy:0.3975, Validation Loss:1.0741, Validation Accuracy:0.3777
Epoch #33: Loss:1.0728, Accuracy:0.4016, Validation Loss:1.0741, Validation Accuracy:0.3842
Epoch #34: Loss:1.0724, Accuracy:0.3926, Validation Loss:1.0746, Validation Accuracy:0.3875
Epoch #35: Loss:1.0729, Accuracy:0.3943, Validation Loss:1.0753, Validation Accuracy:0.3793
Epoch #36: Loss:1.0727, Accuracy:0.4049, Validation Loss:1.0750, Validation Accuracy:0.3826
Epoch #37: Loss:1.0726, Accuracy:0.4021, Validation Loss:1.0745, Validation Accuracy:0.3875
Epoch #38: Loss:1.0724, Accuracy:0.4029, Validation Loss:1.0744, Validation Accuracy:0.3875
Epoch #39: Loss:1.0722, Accuracy:0.3971, Validation Loss:1.0748, Validation Accuracy:0.3810
Epoch #40: Loss:1.0720, Accuracy:0.3996, Validation Loss:1.0746, Validation Accuracy:0.3859
Epoch #41: Loss:1.0721, Accuracy:0.3951, Validation Loss:1.0748, Validation Accuracy:0.3842
Epoch #42: Loss:1.0721, Accuracy:0.3947, Validation Loss:1.0755, Validation Accuracy:0.3760
