======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf4.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 00:03:46 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': '1', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['yd', 'ce', 'eb', 'ek', 'eo', 'mb', 'ck', 'by', 'sg', 'aa', 'sk', 'ds', 'ib', 'eg', 'my'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001F762919F98>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001F75C116EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7173, Accuracy:0.0821, Validation Loss:2.7086, Validation Accuracy:0.0821
Epoch #2: Loss:2.7058, Accuracy:0.0752, Validation Loss:2.6995, Validation Accuracy:0.0788
Epoch #3: Loss:2.6969, Accuracy:0.0834, Validation Loss:2.6923, Validation Accuracy:0.0821
Epoch #4: Loss:2.6907, Accuracy:0.0813, Validation Loss:2.6869, Validation Accuracy:0.0821
Epoch #5: Loss:2.6858, Accuracy:0.0813, Validation Loss:2.6827, Validation Accuracy:0.0821
Epoch #6: Loss:2.6817, Accuracy:0.0813, Validation Loss:2.6786, Validation Accuracy:0.0821
Epoch #7: Loss:2.6779, Accuracy:0.0813, Validation Loss:2.6750, Validation Accuracy:0.0821
Epoch #8: Loss:2.6737, Accuracy:0.0912, Validation Loss:2.6717, Validation Accuracy:0.1067
Epoch #9: Loss:2.6696, Accuracy:0.1150, Validation Loss:2.6681, Validation Accuracy:0.1199
Epoch #10: Loss:2.6645, Accuracy:0.1232, Validation Loss:2.6639, Validation Accuracy:0.1199
Epoch #11: Loss:2.6592, Accuracy:0.1441, Validation Loss:2.6598, Validation Accuracy:0.1412
Epoch #12: Loss:2.6523, Accuracy:0.1626, Validation Loss:2.6541, Validation Accuracy:0.1461
Epoch #13: Loss:2.6464, Accuracy:0.1511, Validation Loss:2.6495, Validation Accuracy:0.1314
Epoch #14: Loss:2.6388, Accuracy:0.1458, Validation Loss:2.6396, Validation Accuracy:0.1396
Epoch #15: Loss:2.6272, Accuracy:0.1478, Validation Loss:2.6290, Validation Accuracy:0.1314
Epoch #16: Loss:2.6153, Accuracy:0.1454, Validation Loss:2.6208, Validation Accuracy:0.1314
Epoch #17: Loss:2.6079, Accuracy:0.1478, Validation Loss:2.6104, Validation Accuracy:0.1478
Epoch #18: Loss:2.5932, Accuracy:0.1598, Validation Loss:2.6030, Validation Accuracy:0.1560
Epoch #19: Loss:2.5784, Accuracy:0.1585, Validation Loss:2.5857, Validation Accuracy:0.1412
Epoch #20: Loss:2.5645, Accuracy:0.1561, Validation Loss:2.5737, Validation Accuracy:0.1199
Epoch #21: Loss:2.5561, Accuracy:0.1536, Validation Loss:2.5719, Validation Accuracy:0.1396
Epoch #22: Loss:2.5394, Accuracy:0.1507, Validation Loss:2.5698, Validation Accuracy:0.1346
Epoch #23: Loss:2.5360, Accuracy:0.1487, Validation Loss:2.5568, Validation Accuracy:0.1199
Epoch #24: Loss:2.5291, Accuracy:0.1507, Validation Loss:2.5375, Validation Accuracy:0.1445
Epoch #25: Loss:2.5179, Accuracy:0.1589, Validation Loss:2.5320, Validation Accuracy:0.1544
Epoch #26: Loss:2.5112, Accuracy:0.1634, Validation Loss:2.5322, Validation Accuracy:0.1527
Epoch #27: Loss:2.5011, Accuracy:0.1598, Validation Loss:2.5215, Validation Accuracy:0.1593
Epoch #28: Loss:2.4940, Accuracy:0.1643, Validation Loss:2.5220, Validation Accuracy:0.1576
Epoch #29: Loss:2.4945, Accuracy:0.1602, Validation Loss:2.5150, Validation Accuracy:0.1609
Epoch #30: Loss:2.4844, Accuracy:0.1573, Validation Loss:2.5119, Validation Accuracy:0.1544
Epoch #31: Loss:2.4825, Accuracy:0.1610, Validation Loss:2.5114, Validation Accuracy:0.1576
Epoch #32: Loss:2.4770, Accuracy:0.1634, Validation Loss:2.5103, Validation Accuracy:0.1609
Epoch #33: Loss:2.4741, Accuracy:0.1643, Validation Loss:2.5103, Validation Accuracy:0.1626
Epoch #34: Loss:2.4703, Accuracy:0.1680, Validation Loss:2.5073, Validation Accuracy:0.1593
Epoch #35: Loss:2.4694, Accuracy:0.1671, Validation Loss:2.5082, Validation Accuracy:0.1609
Epoch #36: Loss:2.4661, Accuracy:0.1749, Validation Loss:2.5089, Validation Accuracy:0.1658
Epoch #37: Loss:2.4648, Accuracy:0.1708, Validation Loss:2.5069, Validation Accuracy:0.1478
Epoch #38: Loss:2.4727, Accuracy:0.1610, Validation Loss:2.5237, Validation Accuracy:0.1560
Epoch #39: Loss:2.4765, Accuracy:0.1680, Validation Loss:2.5105, Validation Accuracy:0.1461
Epoch #40: Loss:2.4644, Accuracy:0.1655, Validation Loss:2.4986, Validation Accuracy:0.1642
Epoch #41: Loss:2.4584, Accuracy:0.1741, Validation Loss:2.5024, Validation Accuracy:0.1560
Epoch #42: Loss:2.4570, Accuracy:0.1663, Validation Loss:2.4991, Validation Accuracy:0.1576
Epoch #43: Loss:2.4534, Accuracy:0.1762, Validation Loss:2.5008, Validation Accuracy:0.1642
Epoch #44: Loss:2.4519, Accuracy:0.1791, Validation Loss:2.5003, Validation Accuracy:0.1626
Epoch #45: Loss:2.4507, Accuracy:0.1799, Validation Loss:2.5017, Validation Accuracy:0.1675
Epoch #46: Loss:2.4492, Accuracy:0.1774, Validation Loss:2.5003, Validation Accuracy:0.1658
Epoch #47: Loss:2.4475, Accuracy:0.1791, Validation Loss:2.5011, Validation Accuracy:0.1642
Epoch #48: Loss:2.4456, Accuracy:0.1778, Validation Loss:2.5004, Validation Accuracy:0.1609
Epoch #49: Loss:2.4458, Accuracy:0.1778, Validation Loss:2.4984, Validation Accuracy:0.1658
Epoch #50: Loss:2.4441, Accuracy:0.1791, Validation Loss:2.4996, Validation Accuracy:0.1626
Epoch #51: Loss:2.4422, Accuracy:0.1786, Validation Loss:2.4954, Validation Accuracy:0.1658
Epoch #52: Loss:2.4430, Accuracy:0.1778, Validation Loss:2.4977, Validation Accuracy:0.1626
Epoch #53: Loss:2.4412, Accuracy:0.1762, Validation Loss:2.5012, Validation Accuracy:0.1609
Epoch #54: Loss:2.4410, Accuracy:0.1774, Validation Loss:2.4971, Validation Accuracy:0.1609
Epoch #55: Loss:2.4416, Accuracy:0.1832, Validation Loss:2.4982, Validation Accuracy:0.1593
