======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf5.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 00:19:42 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': '1', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['04', '05', '01', '02', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000002F00228BE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002F0716D7EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6065, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #2: Loss:1.6060, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #3: Loss:1.6058, Accuracy:0.2329, Validation Loss:1.6042, Validation Accuracy:0.2332
Epoch #4: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6042, Validation Accuracy:0.2332
Epoch #5: Loss:1.6050, Accuracy:0.2329, Validation Loss:1.6031, Validation Accuracy:0.2332
Epoch #6: Loss:1.6041, Accuracy:0.2329, Validation Loss:1.6035, Validation Accuracy:0.2332
Epoch #7: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6027, Validation Accuracy:0.2332
Epoch #8: Loss:1.6036, Accuracy:0.2329, Validation Loss:1.6021, Validation Accuracy:0.2332
Epoch #9: Loss:1.6031, Accuracy:0.2329, Validation Loss:1.6022, Validation Accuracy:0.2332
Epoch #10: Loss:1.6031, Accuracy:0.2329, Validation Loss:1.6016, Validation Accuracy:0.2332
Epoch #11: Loss:1.6027, Accuracy:0.2337, Validation Loss:1.6015, Validation Accuracy:0.2332
Epoch #12: Loss:1.6027, Accuracy:0.2382, Validation Loss:1.6016, Validation Accuracy:0.2430
Epoch #13: Loss:1.6025, Accuracy:0.2394, Validation Loss:1.6017, Validation Accuracy:0.2447
Epoch #14: Loss:1.6020, Accuracy:0.2382, Validation Loss:1.6008, Validation Accuracy:0.2430
Epoch #15: Loss:1.6019, Accuracy:0.2378, Validation Loss:1.6009, Validation Accuracy:0.2397
Epoch #16: Loss:1.6024, Accuracy:0.2304, Validation Loss:1.6016, Validation Accuracy:0.2365
Epoch #17: Loss:1.6030, Accuracy:0.2333, Validation Loss:1.6027, Validation Accuracy:0.2315
Epoch #18: Loss:1.6025, Accuracy:0.2423, Validation Loss:1.6025, Validation Accuracy:0.2348
Epoch #19: Loss:1.6024, Accuracy:0.2361, Validation Loss:1.6021, Validation Accuracy:0.2365
Epoch #20: Loss:1.6027, Accuracy:0.2324, Validation Loss:1.6019, Validation Accuracy:0.2315
Epoch #21: Loss:1.6028, Accuracy:0.2316, Validation Loss:1.6022, Validation Accuracy:0.2414
Epoch #22: Loss:1.6023, Accuracy:0.2419, Validation Loss:1.6022, Validation Accuracy:0.2315
Epoch #23: Loss:1.6026, Accuracy:0.2427, Validation Loss:1.6008, Validation Accuracy:0.2348
Epoch #24: Loss:1.6024, Accuracy:0.2361, Validation Loss:1.6007, Validation Accuracy:0.2430
Epoch #25: Loss:1.6022, Accuracy:0.2366, Validation Loss:1.6020, Validation Accuracy:0.2381
Epoch #26: Loss:1.6020, Accuracy:0.2374, Validation Loss:1.6020, Validation Accuracy:0.2381
Epoch #27: Loss:1.6023, Accuracy:0.2415, Validation Loss:1.6018, Validation Accuracy:0.2299
Epoch #28: Loss:1.6012, Accuracy:0.2423, Validation Loss:1.6019, Validation Accuracy:0.2430
Epoch #29: Loss:1.6009, Accuracy:0.2407, Validation Loss:1.6020, Validation Accuracy:0.2430
Epoch #30: Loss:1.6010, Accuracy:0.2398, Validation Loss:1.6021, Validation Accuracy:0.2250
Epoch #31: Loss:1.6007, Accuracy:0.2390, Validation Loss:1.6023, Validation Accuracy:0.2250
Epoch #32: Loss:1.6007, Accuracy:0.2402, Validation Loss:1.6020, Validation Accuracy:0.2266
Epoch #33: Loss:1.6005, Accuracy:0.2398, Validation Loss:1.6021, Validation Accuracy:0.2397
Epoch #34: Loss:1.6003, Accuracy:0.2415, Validation Loss:1.6025, Validation Accuracy:0.2250
Epoch #35: Loss:1.6002, Accuracy:0.2415, Validation Loss:1.6024, Validation Accuracy:0.2282
Epoch #36: Loss:1.5998, Accuracy:0.2435, Validation Loss:1.6023, Validation Accuracy:0.2282
Epoch #37: Loss:1.6002, Accuracy:0.2444, Validation Loss:1.6021, Validation Accuracy:0.2365
Epoch #38: Loss:1.6000, Accuracy:0.2468, Validation Loss:1.6019, Validation Accuracy:0.2282
Epoch #39: Loss:1.6001, Accuracy:0.2439, Validation Loss:1.6016, Validation Accuracy:0.2299
Epoch #40: Loss:1.6001, Accuracy:0.2431, Validation Loss:1.6020, Validation Accuracy:0.2299
Epoch #41: Loss:1.6008, Accuracy:0.2439, Validation Loss:1.6023, Validation Accuracy:0.2315
Epoch #42: Loss:1.6019, Accuracy:0.2345, Validation Loss:1.6025, Validation Accuracy:0.2430
Epoch #43: Loss:1.6009, Accuracy:0.2361, Validation Loss:1.6021, Validation Accuracy:0.2315
Epoch #44: Loss:1.5998, Accuracy:0.2444, Validation Loss:1.6011, Validation Accuracy:0.2315
Epoch #45: Loss:1.5993, Accuracy:0.2444, Validation Loss:1.6008, Validation Accuracy:0.2315
Epoch #46: Loss:1.5996, Accuracy:0.2444, Validation Loss:1.6005, Validation Accuracy:0.2315
Epoch #47: Loss:1.5990, Accuracy:0.2435, Validation Loss:1.6004, Validation Accuracy:0.2365
Epoch #48: Loss:1.5991, Accuracy:0.2427, Validation Loss:1.6006, Validation Accuracy:0.2365
Epoch #49: Loss:1.5986, Accuracy:0.2472, Validation Loss:1.6008, Validation Accuracy:0.2282
Epoch #50: Loss:1.5981, Accuracy:0.2460, Validation Loss:1.6007, Validation Accuracy:0.2299
Epoch #51: Loss:1.5983, Accuracy:0.2444, Validation Loss:1.6012, Validation Accuracy:0.2315
Epoch #52: Loss:1.5981, Accuracy:0.2427, Validation Loss:1.6007, Validation Accuracy:0.2365
Epoch #53: Loss:1.5980, Accuracy:0.2415, Validation Loss:1.6009, Validation Accuracy:0.2332
Epoch #54: Loss:1.5984, Accuracy:0.2448, Validation Loss:1.6005, Validation Accuracy:0.2414
Epoch #55: Loss:1.5975, Accuracy:0.2444, Validation Loss:1.6016, Validation Accuracy:0.2315
Epoch #56: Loss:1.5979, Accuracy:0.2460, Validation Loss:1.6013, Validation Accuracy:0.2332
Epoch #57: Loss:1.5984, Accuracy:0.2431, Validation Loss:1.6010, Validation Accuracy:0.2414
