======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf9.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 01:23:09 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': '2', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['02', '01', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001DF0C9B9550>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001DF0A0F7EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0810, Accuracy:0.3951, Validation Loss:1.0766, Validation Accuracy:0.4236
Epoch #2: Loss:1.0731, Accuracy:0.3943, Validation Loss:1.0721, Validation Accuracy:0.4105
Epoch #3: Loss:1.0730, Accuracy:0.4004, Validation Loss:1.0731, Validation Accuracy:0.4138
Epoch #4: Loss:1.0729, Accuracy:0.3992, Validation Loss:1.0727, Validation Accuracy:0.4154
Epoch #5: Loss:1.0727, Accuracy:0.4004, Validation Loss:1.0741, Validation Accuracy:0.4039
Epoch #6: Loss:1.0720, Accuracy:0.4172, Validation Loss:1.0744, Validation Accuracy:0.4089
Epoch #7: Loss:1.0734, Accuracy:0.4127, Validation Loss:1.0736, Validation Accuracy:0.4089
Epoch #8: Loss:1.0737, Accuracy:0.4049, Validation Loss:1.0742, Validation Accuracy:0.4122
Epoch #9: Loss:1.0735, Accuracy:0.4025, Validation Loss:1.0734, Validation Accuracy:0.4122
Epoch #10: Loss:1.0732, Accuracy:0.4094, Validation Loss:1.0747, Validation Accuracy:0.4007
Epoch #11: Loss:1.0744, Accuracy:0.3967, Validation Loss:1.0750, Validation Accuracy:0.4007
Epoch #12: Loss:1.0732, Accuracy:0.4021, Validation Loss:1.0746, Validation Accuracy:0.3957
Epoch #13: Loss:1.0743, Accuracy:0.3988, Validation Loss:1.0741, Validation Accuracy:0.4039
Epoch #14: Loss:1.0726, Accuracy:0.4012, Validation Loss:1.0747, Validation Accuracy:0.3892
Epoch #15: Loss:1.0728, Accuracy:0.4094, Validation Loss:1.0755, Validation Accuracy:0.3760
Epoch #16: Loss:1.0729, Accuracy:0.4164, Validation Loss:1.0747, Validation Accuracy:0.3908
Epoch #17: Loss:1.0728, Accuracy:0.4111, Validation Loss:1.0748, Validation Accuracy:0.3908
Epoch #18: Loss:1.0729, Accuracy:0.4049, Validation Loss:1.0755, Validation Accuracy:0.3908
Epoch #19: Loss:1.0726, Accuracy:0.4103, Validation Loss:1.0739, Validation Accuracy:0.4007
Epoch #20: Loss:1.0725, Accuracy:0.4078, Validation Loss:1.0740, Validation Accuracy:0.4007
Epoch #21: Loss:1.0722, Accuracy:0.4049, Validation Loss:1.0749, Validation Accuracy:0.3990
Epoch #22: Loss:1.0715, Accuracy:0.4168, Validation Loss:1.0742, Validation Accuracy:0.4105
Epoch #23: Loss:1.0714, Accuracy:0.4214, Validation Loss:1.0744, Validation Accuracy:0.4105
Epoch #24: Loss:1.0722, Accuracy:0.4090, Validation Loss:1.0739, Validation Accuracy:0.4105
Epoch #25: Loss:1.0726, Accuracy:0.4070, Validation Loss:1.0740, Validation Accuracy:0.3957
Epoch #26: Loss:1.0724, Accuracy:0.4012, Validation Loss:1.0732, Validation Accuracy:0.4023
