======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf14.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 02:42:23 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '0', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['05', '03', '02', '01', '04'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000027D0715BE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000027D6CB46EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6069, Accuracy:0.2283, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #2: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #3: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #4: Loss:1.6057, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #5: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #6: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #7: Loss:1.6054, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #8: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #9: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6049, Validation Accuracy:0.2332
Epoch #10: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #11: Loss:1.6051, Accuracy:0.2329, Validation Loss:1.6044, Validation Accuracy:0.2332
Epoch #12: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #13: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #14: Loss:1.6039, Accuracy:0.2329, Validation Loss:1.6029, Validation Accuracy:0.2332
Epoch #15: Loss:1.6033, Accuracy:0.2329, Validation Loss:1.6019, Validation Accuracy:0.2332
Epoch #16: Loss:1.6022, Accuracy:0.2333, Validation Loss:1.6003, Validation Accuracy:0.2365
Epoch #17: Loss:1.6011, Accuracy:0.2345, Validation Loss:1.5979, Validation Accuracy:0.2414
Epoch #18: Loss:1.5989, Accuracy:0.2435, Validation Loss:1.5946, Validation Accuracy:0.2430
Epoch #19: Loss:1.5958, Accuracy:0.2435, Validation Loss:1.5901, Validation Accuracy:0.2611
Epoch #20: Loss:1.5926, Accuracy:0.2456, Validation Loss:1.5848, Validation Accuracy:0.2611
Epoch #21: Loss:1.5894, Accuracy:0.2456, Validation Loss:1.5800, Validation Accuracy:0.2611
Epoch #22: Loss:1.5882, Accuracy:0.2501, Validation Loss:1.5767, Validation Accuracy:0.2627
Epoch #23: Loss:1.5865, Accuracy:0.2489, Validation Loss:1.5746, Validation Accuracy:0.2660
Epoch #24: Loss:1.5851, Accuracy:0.2485, Validation Loss:1.5739, Validation Accuracy:0.2677
Epoch #25: Loss:1.5850, Accuracy:0.2538, Validation Loss:1.5724, Validation Accuracy:0.2660
Epoch #26: Loss:1.5835, Accuracy:0.2501, Validation Loss:1.5712, Validation Accuracy:0.2660
