======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf16.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 03:14:04 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '1', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['yd', 'ib', 'ek', 'sg', 'eg', 'by', 'ce', 'mb', 'eb', 'my', 'sk', 'ds', 'ck', 'aa', 'eo'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000002188229D240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000218F3F26EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.6975, Accuracy:0.0830, Validation Loss:2.6927, Validation Accuracy:0.0837
Epoch #2: Loss:2.6905, Accuracy:0.0830, Validation Loss:2.6865, Validation Accuracy:0.0837
Epoch #3: Loss:2.6846, Accuracy:0.0830, Validation Loss:2.6819, Validation Accuracy:0.0837
Epoch #4: Loss:2.6810, Accuracy:0.0830, Validation Loss:2.6784, Validation Accuracy:0.0837
Epoch #5: Loss:2.6779, Accuracy:0.0858, Validation Loss:2.6760, Validation Accuracy:0.0887
Epoch #6: Loss:2.6755, Accuracy:0.0809, Validation Loss:2.6737, Validation Accuracy:0.0837
Epoch #7: Loss:2.6733, Accuracy:0.0830, Validation Loss:2.6715, Validation Accuracy:0.0837
Epoch #8: Loss:2.6713, Accuracy:0.0830, Validation Loss:2.6695, Validation Accuracy:0.0837
Epoch #9: Loss:2.6696, Accuracy:0.0797, Validation Loss:2.6679, Validation Accuracy:0.0821
Epoch #10: Loss:2.6679, Accuracy:0.0809, Validation Loss:2.6665, Validation Accuracy:0.0837
Epoch #11: Loss:2.6665, Accuracy:0.0834, Validation Loss:2.6653, Validation Accuracy:0.0821
Epoch #12: Loss:2.6653, Accuracy:0.0813, Validation Loss:2.6643, Validation Accuracy:0.0821
Epoch #13: Loss:2.6644, Accuracy:0.0817, Validation Loss:2.6634, Validation Accuracy:0.1018
Epoch #14: Loss:2.6637, Accuracy:0.1023, Validation Loss:2.6627, Validation Accuracy:0.1018
Epoch #15: Loss:2.6628, Accuracy:0.1023, Validation Loss:2.6621, Validation Accuracy:0.1018
Epoch #16: Loss:2.6622, Accuracy:0.1023, Validation Loss:2.6617, Validation Accuracy:0.1018
Epoch #17: Loss:2.6619, Accuracy:0.1023, Validation Loss:2.6612, Validation Accuracy:0.1018
Epoch #18: Loss:2.6614, Accuracy:0.1023, Validation Loss:2.6609, Validation Accuracy:0.1018
Epoch #19: Loss:2.6611, Accuracy:0.1023, Validation Loss:2.6607, Validation Accuracy:0.1018
Epoch #20: Loss:2.6610, Accuracy:0.1023, Validation Loss:2.6605, Validation Accuracy:0.1018
Epoch #21: Loss:2.6608, Accuracy:0.1023, Validation Loss:2.6602, Validation Accuracy:0.1018
Epoch #22: Loss:2.6605, Accuracy:0.1023, Validation Loss:2.6600, Validation Accuracy:0.1018
Epoch #23: Loss:2.6602, Accuracy:0.1023, Validation Loss:2.6598, Validation Accuracy:0.1018
Epoch #24: Loss:2.6600, Accuracy:0.1023, Validation Loss:2.6596, Validation Accuracy:0.1018
Epoch #25: Loss:2.6597, Accuracy:0.1023, Validation Loss:2.6592, Validation Accuracy:0.1018
Epoch #26: Loss:2.6595, Accuracy:0.1023, Validation Loss:2.6588, Validation Accuracy:0.1018
Epoch #27: Loss:2.6590, Accuracy:0.1023, Validation Loss:2.6582, Validation Accuracy:0.1018
