======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf17.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 03:29:56 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '1', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['04', '05', '03', '01', '02'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x00000289071DBE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002897D776EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6069, Accuracy:0.2329, Validation Loss:1.6059, Validation Accuracy:0.2332
Epoch #2: Loss:1.6061, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #3: Loss:1.6058, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #4: Loss:1.6057, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #5: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #6: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #7: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #8: Loss:1.6054, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #9: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #10: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #11: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #12: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #13: Loss:1.6049, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #14: Loss:1.6048, Accuracy:0.2329, Validation Loss:1.6043, Validation Accuracy:0.2332
Epoch #15: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6039, Validation Accuracy:0.2332
Epoch #16: Loss:1.6042, Accuracy:0.2329, Validation Loss:1.6033, Validation Accuracy:0.2332
Epoch #17: Loss:1.6033, Accuracy:0.2329, Validation Loss:1.6023, Validation Accuracy:0.2332
Epoch #18: Loss:1.6023, Accuracy:0.2329, Validation Loss:1.6008, Validation Accuracy:0.2332
Epoch #19: Loss:1.6007, Accuracy:0.2349, Validation Loss:1.5983, Validation Accuracy:0.2348
Epoch #20: Loss:1.5975, Accuracy:0.2378, Validation Loss:1.5937, Validation Accuracy:0.2381
Epoch #21: Loss:1.5924, Accuracy:0.2563, Validation Loss:1.5857, Validation Accuracy:0.2693
Epoch #22: Loss:1.5824, Accuracy:0.2710, Validation Loss:1.5719, Validation Accuracy:0.2824
Epoch #23: Loss:1.5672, Accuracy:0.2842, Validation Loss:1.5503, Validation Accuracy:0.2890
Epoch #24: Loss:1.5452, Accuracy:0.2924, Validation Loss:1.5222, Validation Accuracy:0.3038
Epoch #25: Loss:1.5226, Accuracy:0.3014, Validation Loss:1.5090, Validation Accuracy:0.3284
Epoch #26: Loss:1.5002, Accuracy:0.3129, Validation Loss:1.4940, Validation Accuracy:0.3300
