======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf19.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 04:01:42 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '2', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ib', 'eg', 'eo', 'ce', 'my', 'aa', 'ds', 'sg', 'yd', 'ek', 'mb', 'ck', 'by', 'eb', 'sk'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x00000219250ED240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002191F8D6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7125, Accuracy:0.0448, Validation Loss:2.7075, Validation Accuracy:0.0443
Epoch #2: Loss:2.7050, Accuracy:0.0517, Validation Loss:2.7010, Validation Accuracy:0.1018
Epoch #3: Loss:2.6992, Accuracy:0.1023, Validation Loss:2.6961, Validation Accuracy:0.1018
Epoch #4: Loss:2.6945, Accuracy:0.1023, Validation Loss:2.6915, Validation Accuracy:0.1018
Epoch #5: Loss:2.6899, Accuracy:0.1023, Validation Loss:2.6871, Validation Accuracy:0.1018
Epoch #6: Loss:2.6858, Accuracy:0.1023, Validation Loss:2.6828, Validation Accuracy:0.1018
Epoch #7: Loss:2.6816, Accuracy:0.1023, Validation Loss:2.6789, Validation Accuracy:0.1018
Epoch #8: Loss:2.6780, Accuracy:0.1023, Validation Loss:2.6752, Validation Accuracy:0.1018
Epoch #9: Loss:2.6741, Accuracy:0.1023, Validation Loss:2.6720, Validation Accuracy:0.1018
Epoch #10: Loss:2.6711, Accuracy:0.1023, Validation Loss:2.6693, Validation Accuracy:0.1018
Epoch #11: Loss:2.6690, Accuracy:0.1023, Validation Loss:2.6671, Validation Accuracy:0.1018
Epoch #12: Loss:2.6668, Accuracy:0.1023, Validation Loss:2.6654, Validation Accuracy:0.1018
Epoch #13: Loss:2.6653, Accuracy:0.1023, Validation Loss:2.6641, Validation Accuracy:0.1018
Epoch #14: Loss:2.6639, Accuracy:0.1023, Validation Loss:2.6630, Validation Accuracy:0.1018
Epoch #15: Loss:2.6631, Accuracy:0.1023, Validation Loss:2.6620, Validation Accuracy:0.1018
Epoch #16: Loss:2.6620, Accuracy:0.1023, Validation Loss:2.6612, Validation Accuracy:0.1018
Epoch #17: Loss:2.6612, Accuracy:0.1023, Validation Loss:2.6604, Validation Accuracy:0.1018
Epoch #18: Loss:2.6605, Accuracy:0.1023, Validation Loss:2.6596, Validation Accuracy:0.1018
Epoch #19: Loss:2.6598, Accuracy:0.1023, Validation Loss:2.6588, Validation Accuracy:0.1018
Epoch #20: Loss:2.6586, Accuracy:0.1023, Validation Loss:2.6579, Validation Accuracy:0.1018
Epoch #21: Loss:2.6578, Accuracy:0.1023, Validation Loss:2.6568, Validation Accuracy:0.1018
Epoch #22: Loss:2.6561, Accuracy:0.1023, Validation Loss:2.6550, Validation Accuracy:0.1018
Epoch #23: Loss:2.6539, Accuracy:0.1023, Validation Loss:2.6521, Validation Accuracy:0.1034
Epoch #24: Loss:2.6500, Accuracy:0.1043, Validation Loss:2.6472, Validation Accuracy:0.1034
Epoch #25: Loss:2.6432, Accuracy:0.1105, Validation Loss:2.6384, Validation Accuracy:0.1117
Epoch #26: Loss:2.6307, Accuracy:0.1261, Validation Loss:2.6236, Validation Accuracy:0.1264
Epoch #27: Loss:2.6116, Accuracy:0.1322, Validation Loss:2.6034, Validation Accuracy:0.1314
