======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf22.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 04:49:25 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '3', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['eg', 'ek', 'ce', 'mb', 'eo', 'sg', 'by', 'aa', 'yd', 'ib', 'ds', 'eb', 'sk', 'ck', 'my'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000018A0219D240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000018A56966EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7052, Accuracy:0.0891, Validation Loss:2.6992, Validation Accuracy:0.0887
Epoch #2: Loss:2.6959, Accuracy:0.0891, Validation Loss:2.6907, Validation Accuracy:0.0887
Epoch #3: Loss:2.6877, Accuracy:0.0891, Validation Loss:2.6834, Validation Accuracy:0.0821
Epoch #4: Loss:2.6816, Accuracy:0.0813, Validation Loss:2.6774, Validation Accuracy:0.0821
Epoch #5: Loss:2.6761, Accuracy:0.0813, Validation Loss:2.6725, Validation Accuracy:0.0821
Epoch #6: Loss:2.6712, Accuracy:0.0813, Validation Loss:2.6689, Validation Accuracy:0.1018
Epoch #7: Loss:2.6680, Accuracy:0.1023, Validation Loss:2.6662, Validation Accuracy:0.1018
Epoch #8: Loss:2.6659, Accuracy:0.1023, Validation Loss:2.6642, Validation Accuracy:0.1018
Epoch #9: Loss:2.6641, Accuracy:0.1023, Validation Loss:2.6630, Validation Accuracy:0.1018
Epoch #10: Loss:2.6630, Accuracy:0.1023, Validation Loss:2.6622, Validation Accuracy:0.1018
Epoch #11: Loss:2.6622, Accuracy:0.1023, Validation Loss:2.6616, Validation Accuracy:0.1018
Epoch #12: Loss:2.6618, Accuracy:0.1023, Validation Loss:2.6613, Validation Accuracy:0.1018
Epoch #13: Loss:2.6613, Accuracy:0.1023, Validation Loss:2.6611, Validation Accuracy:0.1018
Epoch #14: Loss:2.6612, Accuracy:0.1023, Validation Loss:2.6609, Validation Accuracy:0.1018
Epoch #15: Loss:2.6611, Accuracy:0.1023, Validation Loss:2.6607, Validation Accuracy:0.1018
Epoch #16: Loss:2.6610, Accuracy:0.1023, Validation Loss:2.6607, Validation Accuracy:0.1018
Epoch #17: Loss:2.6609, Accuracy:0.1023, Validation Loss:2.6605, Validation Accuracy:0.1018
Epoch #18: Loss:2.6607, Accuracy:0.1023, Validation Loss:2.6604, Validation Accuracy:0.1018
Epoch #19: Loss:2.6605, Accuracy:0.1023, Validation Loss:2.6603, Validation Accuracy:0.1018
Epoch #20: Loss:2.6604, Accuracy:0.1023, Validation Loss:2.6601, Validation Accuracy:0.1018
Epoch #21: Loss:2.6603, Accuracy:0.1023, Validation Loss:2.6600, Validation Accuracy:0.1018
Epoch #22: Loss:2.6602, Accuracy:0.1023, Validation Loss:2.6599, Validation Accuracy:0.1018
Epoch #23: Loss:2.6601, Accuracy:0.1023, Validation Loss:2.6597, Validation Accuracy:0.1018
Epoch #24: Loss:2.6598, Accuracy:0.1023, Validation Loss:2.6596, Validation Accuracy:0.1018
Epoch #25: Loss:2.6598, Accuracy:0.1023, Validation Loss:2.6594, Validation Accuracy:0.1018
Epoch #26: Loss:2.6595, Accuracy:0.1023, Validation Loss:2.6591, Validation Accuracy:0.1018
Epoch #27: Loss:2.6594, Accuracy:0.1023, Validation Loss:2.6589, Validation Accuracy:0.1018
