======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf9.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 15:50:51 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': 'Split', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
12176 Files with 3 Label(s): ['01', '02', '03'].
Padding:................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 12176 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
9740 steps for training, 2436 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (9740, 7991, 7)
Test Batch: (2436, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000023B0131CE80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000023B54D07EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0763, Accuracy:0.3924, Validation Loss:1.0750, Validation Accuracy:0.3896
Epoch #2: Loss:1.0742, Accuracy:0.3972, Validation Loss:1.0744, Validation Accuracy:0.3904
Epoch #3: Loss:1.0743, Accuracy:0.3958, Validation Loss:1.0746, Validation Accuracy:0.3949
Epoch #4: Loss:1.0736, Accuracy:0.3989, Validation Loss:1.0744, Validation Accuracy:0.3883
Epoch #5: Loss:1.0736, Accuracy:0.4001, Validation Loss:1.0743, Validation Accuracy:0.3924
Epoch #6: Loss:1.0737, Accuracy:0.3966, Validation Loss:1.0742, Validation Accuracy:0.3867
Epoch #7: Loss:1.0736, Accuracy:0.3950, Validation Loss:1.0742, Validation Accuracy:0.3875
Epoch #8: Loss:1.0739, Accuracy:0.3965, Validation Loss:1.0742, Validation Accuracy:0.3908
Epoch #9: Loss:1.0731, Accuracy:0.3980, Validation Loss:1.0739, Validation Accuracy:0.3888
Epoch #10: Loss:1.0727, Accuracy:0.4014, Validation Loss:1.0741, Validation Accuracy:0.3908
Epoch #11: Loss:1.0727, Accuracy:0.4021, Validation Loss:1.0735, Validation Accuracy:0.3924
Epoch #12: Loss:1.0729, Accuracy:0.3989, Validation Loss:1.0740, Validation Accuracy:0.3961
Epoch #13: Loss:1.0733, Accuracy:0.4020, Validation Loss:1.0741, Validation Accuracy:0.3945
Epoch #14: Loss:1.0734, Accuracy:0.3945, Validation Loss:1.0742, Validation Accuracy:0.3875
Epoch #15: Loss:1.0732, Accuracy:0.3990, Validation Loss:1.0738, Validation Accuracy:0.3957
Epoch #16: Loss:1.0727, Accuracy:0.4041, Validation Loss:1.0735, Validation Accuracy:0.3937
Epoch #17: Loss:1.0734, Accuracy:0.3970, Validation Loss:1.0736, Validation Accuracy:0.3924
Epoch #18: Loss:1.0721, Accuracy:0.4018, Validation Loss:1.0742, Validation Accuracy:0.3805
Epoch #19: Loss:1.0729, Accuracy:0.4021, Validation Loss:1.0754, Validation Accuracy:0.3920
Epoch #20: Loss:1.0735, Accuracy:0.3973, Validation Loss:1.0746, Validation Accuracy:0.3949
Epoch #21: Loss:1.0723, Accuracy:0.4004, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #22: Loss:1.0732, Accuracy:0.3990, Validation Loss:1.0764, Validation Accuracy:0.3863
Epoch #23: Loss:1.0731, Accuracy:0.4006, Validation Loss:1.0740, Validation Accuracy:0.3945
Epoch #24: Loss:1.0722, Accuracy:0.4045, Validation Loss:1.0740, Validation Accuracy:0.3945
Epoch #25: Loss:1.0720, Accuracy:0.3974, Validation Loss:1.0739, Validation Accuracy:0.3945
Epoch #26: Loss:1.0717, Accuracy:0.4020, Validation Loss:1.0730, Validation Accuracy:0.3830
Epoch #27: Loss:1.0726, Accuracy:0.4002, Validation Loss:1.0745, Validation Accuracy:0.3949
Epoch #28: Loss:1.0720, Accuracy:0.4054, Validation Loss:1.0738, Validation Accuracy:0.3846
Epoch #29: Loss:1.0726, Accuracy:0.4006, Validation Loss:1.0739, Validation Accuracy:0.3888
Epoch #30: Loss:1.0722, Accuracy:0.4065, Validation Loss:1.0757, Validation Accuracy:0.3719
Epoch #31: Loss:1.0744, Accuracy:0.3888, Validation Loss:1.0745, Validation Accuracy:0.3908
Epoch #32: Loss:1.0723, Accuracy:0.4053, Validation Loss:1.0737, Validation Accuracy:0.3924
Epoch #33: Loss:1.0726, Accuracy:0.4038, Validation Loss:1.0737, Validation Accuracy:0.3793
Epoch #34: Loss:1.0718, Accuracy:0.3955, Validation Loss:1.0733, Validation Accuracy:0.3834
Epoch #35: Loss:1.0713, Accuracy:0.4072, Validation Loss:1.0730, Validation Accuracy:0.3863
Epoch #36: Loss:1.0715, Accuracy:0.4078, Validation Loss:1.0733, Validation Accuracy:0.3863
Epoch #37: Loss:1.0718, Accuracy:0.4055, Validation Loss:1.0730, Validation Accuracy:0.3883
