======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf10.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 16:53:12 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': 'AllShfUni', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['by', 'mb', 'eb', 'yd', 'ib', 'sg', 'sk', 'eg', 'ek', 'aa', 'eo', 'ce', 'ck', 'my', 'ds'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x000002BE1502E278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002BE11E06EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7165, Accuracy:0.0476, Validation Loss:2.7091, Validation Accuracy:0.0361
Epoch #2: Loss:2.7046, Accuracy:0.0563, Validation Loss:2.6975, Validation Accuracy:0.0772
Epoch #3: Loss:2.6941, Accuracy:0.0858, Validation Loss:2.6885, Validation Accuracy:0.1346
Epoch #4: Loss:2.6856, Accuracy:0.1142, Validation Loss:2.6811, Validation Accuracy:0.1100
Epoch #5: Loss:2.6786, Accuracy:0.0924, Validation Loss:2.6745, Validation Accuracy:0.0837
Epoch #6: Loss:2.6729, Accuracy:0.0830, Validation Loss:2.6689, Validation Accuracy:0.0837
Epoch #7: Loss:2.6675, Accuracy:0.0830, Validation Loss:2.6640, Validation Accuracy:0.0837
Epoch #8: Loss:2.6623, Accuracy:0.0830, Validation Loss:2.6583, Validation Accuracy:0.0837
Epoch #9: Loss:2.6567, Accuracy:0.0879, Validation Loss:2.6520, Validation Accuracy:0.1018
Epoch #10: Loss:2.6503, Accuracy:0.0961, Validation Loss:2.6445, Validation Accuracy:0.1215
Epoch #11: Loss:2.6426, Accuracy:0.1109, Validation Loss:2.6354, Validation Accuracy:0.1232
Epoch #12: Loss:2.6335, Accuracy:0.1150, Validation Loss:2.6244, Validation Accuracy:0.1396
Epoch #13: Loss:2.6240, Accuracy:0.1211, Validation Loss:2.6217, Validation Accuracy:0.1264
Epoch #14: Loss:2.6236, Accuracy:0.1088, Validation Loss:2.6042, Validation Accuracy:0.1445
Epoch #15: Loss:2.6038, Accuracy:0.1273, Validation Loss:2.5944, Validation Accuracy:0.1445
Epoch #16: Loss:2.5928, Accuracy:0.1199, Validation Loss:2.5761, Validation Accuracy:0.1396
Epoch #17: Loss:2.5750, Accuracy:0.1158, Validation Loss:2.5615, Validation Accuracy:0.1642
Epoch #18: Loss:2.5594, Accuracy:0.1565, Validation Loss:2.5447, Validation Accuracy:0.1675
Epoch #19: Loss:2.5445, Accuracy:0.1606, Validation Loss:2.5302, Validation Accuracy:0.1675
Epoch #20: Loss:2.5288, Accuracy:0.1622, Validation Loss:2.5189, Validation Accuracy:0.1642
Epoch #21: Loss:2.5161, Accuracy:0.1659, Validation Loss:2.5097, Validation Accuracy:0.1494
Epoch #22: Loss:2.5045, Accuracy:0.1602, Validation Loss:2.5016, Validation Accuracy:0.1511
Epoch #23: Loss:2.4974, Accuracy:0.1618, Validation Loss:2.4965, Validation Accuracy:0.1527
Epoch #24: Loss:2.4892, Accuracy:0.1659, Validation Loss:2.4941, Validation Accuracy:0.1544
Epoch #25: Loss:2.4822, Accuracy:0.1684, Validation Loss:2.4870, Validation Accuracy:0.1593
Epoch #26: Loss:2.4787, Accuracy:0.1713, Validation Loss:2.4820, Validation Accuracy:0.1593
Epoch #27: Loss:2.4731, Accuracy:0.1684, Validation Loss:2.4791, Validation Accuracy:0.1642
