======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf11.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 17:34:23 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': 'AllShfUni', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['04', '02', '01', '05', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000027101DEBE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002714D8D6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6106, Accuracy:0.2131, Validation Loss:1.6099, Validation Accuracy:0.2184
Epoch #2: Loss:1.6080, Accuracy:0.2382, Validation Loss:1.6083, Validation Accuracy:0.2348
Epoch #3: Loss:1.6063, Accuracy:0.2349, Validation Loss:1.6077, Validation Accuracy:0.2348
Epoch #4: Loss:1.6051, Accuracy:0.2329, Validation Loss:1.6072, Validation Accuracy:0.2332
Epoch #5: Loss:1.6049, Accuracy:0.2324, Validation Loss:1.6068, Validation Accuracy:0.2299
Epoch #6: Loss:1.6047, Accuracy:0.2324, Validation Loss:1.6066, Validation Accuracy:0.2348
Epoch #7: Loss:1.6045, Accuracy:0.2341, Validation Loss:1.6065, Validation Accuracy:0.2315
Epoch #8: Loss:1.6043, Accuracy:0.2333, Validation Loss:1.6065, Validation Accuracy:0.2282
Epoch #9: Loss:1.6043, Accuracy:0.2337, Validation Loss:1.6065, Validation Accuracy:0.2299
Epoch #10: Loss:1.6037, Accuracy:0.2353, Validation Loss:1.6060, Validation Accuracy:0.2315
Epoch #11: Loss:1.6033, Accuracy:0.2308, Validation Loss:1.6059, Validation Accuracy:0.2348
Epoch #12: Loss:1.6030, Accuracy:0.2316, Validation Loss:1.6058, Validation Accuracy:0.2332
Epoch #13: Loss:1.6029, Accuracy:0.2329, Validation Loss:1.6058, Validation Accuracy:0.2332
Epoch #14: Loss:1.6023, Accuracy:0.2329, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #15: Loss:1.6022, Accuracy:0.2329, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #16: Loss:1.6019, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #17: Loss:1.6017, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #18: Loss:1.6014, Accuracy:0.2333, Validation Loss:1.6054, Validation Accuracy:0.2397
Epoch #19: Loss:1.6011, Accuracy:0.2382, Validation Loss:1.6053, Validation Accuracy:0.2430
Epoch #20: Loss:1.6009, Accuracy:0.2370, Validation Loss:1.6053, Validation Accuracy:0.2414
Epoch #21: Loss:1.6006, Accuracy:0.2394, Validation Loss:1.6053, Validation Accuracy:0.2365
Epoch #22: Loss:1.6010, Accuracy:0.2329, Validation Loss:1.6057, Validation Accuracy:0.2299
Epoch #23: Loss:1.6006, Accuracy:0.2324, Validation Loss:1.6056, Validation Accuracy:0.2381
Epoch #24: Loss:1.6004, Accuracy:0.2398, Validation Loss:1.6056, Validation Accuracy:0.2447
Epoch #25: Loss:1.6004, Accuracy:0.2402, Validation Loss:1.6054, Validation Accuracy:0.2381
Epoch #26: Loss:1.6003, Accuracy:0.2407, Validation Loss:1.6052, Validation Accuracy:0.2381
Epoch #27: Loss:1.6004, Accuracy:0.2378, Validation Loss:1.6054, Validation Accuracy:0.2479
