======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf14.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.26 19:37:56 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Freqs', 'channelMode': 'AllShfRnd', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['03', '02', '01', '05', '04'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000019E00B3BE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000019E754A6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6120, Accuracy:0.1803, Validation Loss:1.6086, Validation Accuracy:0.1741
Epoch #2: Loss:1.6083, Accuracy:0.2074, Validation Loss:1.6071, Validation Accuracy:0.2200
Epoch #3: Loss:1.6066, Accuracy:0.2251, Validation Loss:1.6062, Validation Accuracy:0.2348
Epoch #4: Loss:1.6060, Accuracy:0.2324, Validation Loss:1.6059, Validation Accuracy:0.2282
Epoch #5: Loss:1.6048, Accuracy:0.2341, Validation Loss:1.6053, Validation Accuracy:0.2299
Epoch #6: Loss:1.6052, Accuracy:0.2324, Validation Loss:1.6063, Validation Accuracy:0.2332
Epoch #7: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6067, Validation Accuracy:0.2332
Epoch #8: Loss:1.6046, Accuracy:0.2329, Validation Loss:1.6064, Validation Accuracy:0.2332
Epoch #9: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #10: Loss:1.6046, Accuracy:0.2329, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #11: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #12: Loss:1.6041, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #13: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #14: Loss:1.6041, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #15: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #16: Loss:1.6046, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #17: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #18: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #19: Loss:1.6042, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #20: Loss:1.6042, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #21: Loss:1.6038, Accuracy:0.2329, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #22: Loss:1.6035, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #23: Loss:1.6031, Accuracy:0.2329, Validation Loss:1.6044, Validation Accuracy:0.2332
Epoch #24: Loss:1.6029, Accuracy:0.2329, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #25: Loss:1.6026, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #26: Loss:1.6026, Accuracy:0.2329, Validation Loss:1.6044, Validation Accuracy:0.2332
Epoch #27: Loss:1.6024, Accuracy:0.2324, Validation Loss:1.6043, Validation Accuracy:0.2332
Epoch #28: Loss:1.6022, Accuracy:0.2333, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #29: Loss:1.6018, Accuracy:0.2345, Validation Loss:1.6043, Validation Accuracy:0.2332
Epoch #30: Loss:1.6016, Accuracy:0.2374, Validation Loss:1.6039, Validation Accuracy:0.2315
Epoch #31: Loss:1.6014, Accuracy:0.2370, Validation Loss:1.6039, Validation Accuracy:0.2381
Epoch #32: Loss:1.6013, Accuracy:0.2402, Validation Loss:1.6037, Validation Accuracy:0.2397
Epoch #33: Loss:1.6013, Accuracy:0.2386, Validation Loss:1.6037, Validation Accuracy:0.2397
Epoch #34: Loss:1.6014, Accuracy:0.2378, Validation Loss:1.6035, Validation Accuracy:0.2365
Epoch #35: Loss:1.6014, Accuracy:0.2394, Validation Loss:1.6030, Validation Accuracy:0.2299
Epoch #36: Loss:1.6013, Accuracy:0.2431, Validation Loss:1.6028, Validation Accuracy:0.2233
Epoch #37: Loss:1.6012, Accuracy:0.2419, Validation Loss:1.6030, Validation Accuracy:0.2217
Epoch #38: Loss:1.6018, Accuracy:0.2419, Validation Loss:1.6025, Validation Accuracy:0.2348
Epoch #39: Loss:1.6017, Accuracy:0.2415, Validation Loss:1.6025, Validation Accuracy:0.2381
Epoch #40: Loss:1.6009, Accuracy:0.2407, Validation Loss:1.6025, Validation Accuracy:0.2397
Epoch #41: Loss:1.6007, Accuracy:0.2439, Validation Loss:1.6024, Validation Accuracy:0.2430
Epoch #42: Loss:1.6004, Accuracy:0.2419, Validation Loss:1.6026, Validation Accuracy:0.2414
Epoch #43: Loss:1.6001, Accuracy:0.2431, Validation Loss:1.6019, Validation Accuracy:0.2397
Epoch #44: Loss:1.6003, Accuracy:0.2431, Validation Loss:1.6020, Validation Accuracy:0.2430
Epoch #45: Loss:1.6006, Accuracy:0.2444, Validation Loss:1.6023, Validation Accuracy:0.2430
Epoch #46: Loss:1.6008, Accuracy:0.2423, Validation Loss:1.6019, Validation Accuracy:0.2397
Epoch #47: Loss:1.6008, Accuracy:0.2423, Validation Loss:1.6023, Validation Accuracy:0.2430
Epoch #48: Loss:1.6008, Accuracy:0.2427, Validation Loss:1.6024, Validation Accuracy:0.2430
Epoch #49: Loss:1.6006, Accuracy:0.2427, Validation Loss:1.6022, Validation Accuracy:0.2447
Epoch #50: Loss:1.6006, Accuracy:0.2411, Validation Loss:1.6018, Validation Accuracy:0.2447
Epoch #51: Loss:1.6006, Accuracy:0.2402, Validation Loss:1.6017, Validation Accuracy:0.2430
Epoch #52: Loss:1.6007, Accuracy:0.2419, Validation Loss:1.6010, Validation Accuracy:0.2447
Epoch #53: Loss:1.6004, Accuracy:0.2431, Validation Loss:1.6010, Validation Accuracy:0.2430
Epoch #54: Loss:1.6000, Accuracy:0.2452, Validation Loss:1.6025, Validation Accuracy:0.2414
Epoch #55: Loss:1.6002, Accuracy:0.2394, Validation Loss:1.6018, Validation Accuracy:0.2430
Epoch #56: Loss:1.6003, Accuracy:0.2435, Validation Loss:1.6025, Validation Accuracy:0.2381
Epoch #57: Loss:1.5998, Accuracy:0.2390, Validation Loss:1.6025, Validation Accuracy:0.2430
Epoch #58: Loss:1.5996, Accuracy:0.2394, Validation Loss:1.6029, Validation Accuracy:0.2397
Epoch #59: Loss:1.6000, Accuracy:0.2394, Validation Loss:1.6022, Validation Accuracy:0.2430
Epoch #60: Loss:1.5991, Accuracy:0.2390, Validation Loss:1.6016, Validation Accuracy:0.2414
Epoch #61: Loss:1.5999, Accuracy:0.2390, Validation Loss:1.6024, Validation Accuracy:0.2315
Epoch #62: Loss:1.5991, Accuracy:0.2476, Validation Loss:1.6023, Validation Accuracy:0.2414
Epoch #63: Loss:1.5992, Accuracy:0.2419, Validation Loss:1.6020, Validation Accuracy:0.2397
Epoch #64: Loss:1.5994, Accuracy:0.2427, Validation Loss:1.6028, Validation Accuracy:0.2381
Epoch #65: Loss:1.5993, Accuracy:0.2415, Validation Loss:1.6028, Validation Accuracy:0.2430
Epoch #66: Loss:1.6006, Accuracy:0.2398, Validation Loss:1.6029, Validation Accuracy:0.2512
Epoch #67: Loss:1.6007, Accuracy:0.2382, Validation Loss:1.6027, Validation Accuracy:0.2414
Epoch #68: Loss:1.5992, Accuracy:0.2402, Validation Loss:1.6019, Validation Accuracy:0.2365
Epoch #69: Loss:1.5996, Accuracy:0.2427, Validation Loss:1.6015, Validation Accuracy:0.2397
Epoch #70: Loss:1.5992, Accuracy:0.2423, Validation Loss:1.6013, Validation Accuracy:0.2430
Epoch #71: Loss:1.5991, Accuracy:0.2407, Validation Loss:1.6021, Validation Accuracy:0.2430
Epoch #72: Loss:1.5989, Accuracy:0.2407, Validation Loss:1.6023, Validation Accuracy:0.2430
Epoch #73: Loss:1.5986, Accuracy:0.2402, Validation Loss:1.6025, Validation Accuracy:0.2430
Epoch #74: Loss:1.5990, Accuracy:0.2402, Validation Loss:1.6023, Validation Accuracy:0.2430
Epoch #75: Loss:1.5984, Accuracy:0.2402, Validation Loss:1.6021, Validation Accuracy:0.2430
Epoch #76: Loss:1.5981, Accuracy:0.2407, Validation Loss:1.6025, Validation Accuracy:0.2381
Epoch #77: Loss:1.5981, Accuracy:0.2415, Validation Loss:1.6027, Validation Accuracy:0.2430
Epoch #78: Loss:1.5980, Accuracy:0.2439, Validation Loss:1.6026, Validation Accuracy:0.2430
Epoch #79: Loss:1.5983, Accuracy:0.2402, Validation Loss:1.6036, Validation Accuracy:0.2414
Epoch #80: Loss:1.5986, Accuracy:0.2398, Validation Loss:1.6035, Validation Accuracy:0.2414
Epoch #81: Loss:1.5984, Accuracy:0.2402, Validation Loss:1.6024, Validation Accuracy:0.2365
Epoch #82: Loss:1.5983, Accuracy:0.2435, Validation Loss:1.6029, Validation Accuracy:0.2381
Epoch #83: Loss:1.5981, Accuracy:0.2423, Validation Loss:1.6038, Validation Accuracy:0.2414
Epoch #84: Loss:1.5979, Accuracy:0.2382, Validation Loss:1.6040, Validation Accuracy:0.2447
Epoch #85: Loss:1.5977, Accuracy:0.2411, Validation Loss:1.6044, Validation Accuracy:0.2365
Epoch #86: Loss:1.5981, Accuracy:0.2411, Validation Loss:1.6048, Validation Accuracy:0.2348
Epoch #87: Loss:1.5981, Accuracy:0.2407, Validation Loss:1.6041, Validation Accuracy:0.2299
Epoch #88: Loss:1.5979, Accuracy:0.2444, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #89: Loss:1.5979, Accuracy:0.2411, Validation Loss:1.6044, Validation Accuracy:0.2381
Epoch #90: Loss:1.5983, Accuracy:0.2423, Validation Loss:1.6039, Validation Accuracy:0.2381
Epoch #91: Loss:1.5984, Accuracy:0.2444, Validation Loss:1.6036, Validation Accuracy:0.2365
Epoch #92: Loss:1.5985, Accuracy:0.2444, Validation Loss:1.6041, Validation Accuracy:0.2397
Epoch #93: Loss:1.5987, Accuracy:0.2489, Validation Loss:1.6047, Validation Accuracy:0.2233
Epoch #94: Loss:1.5976, Accuracy:0.2460, Validation Loss:1.6045, Validation Accuracy:0.2266
Epoch #95: Loss:1.5971, Accuracy:0.2456, Validation Loss:1.6044, Validation Accuracy:0.2315
Epoch #96: Loss:1.5976, Accuracy:0.2448, Validation Loss:1.6029, Validation Accuracy:0.2233
Epoch #97: Loss:1.5985, Accuracy:0.2489, Validation Loss:1.6045, Validation Accuracy:0.2217
Epoch #98: Loss:1.6008, Accuracy:0.2444, Validation Loss:1.6047, Validation Accuracy:0.2151
Epoch #99: Loss:1.5993, Accuracy:0.2468, Validation Loss:1.6052, Validation Accuracy:0.2299
Epoch #100: Loss:1.5992, Accuracy:0.2431, Validation Loss:1.6044, Validation Accuracy:0.2282
Epoch #101: Loss:1.5993, Accuracy:0.2402, Validation Loss:1.6039, Validation Accuracy:0.2069
Epoch #102: Loss:1.5983, Accuracy:0.2460, Validation Loss:1.6040, Validation Accuracy:0.2299
Epoch #103: Loss:1.5981, Accuracy:0.2460, Validation Loss:1.6038, Validation Accuracy:0.2315
Epoch #104: Loss:1.5974, Accuracy:0.2468, Validation Loss:1.6032, Validation Accuracy:0.2266
Epoch #105: Loss:1.5978, Accuracy:0.2468, Validation Loss:1.6036, Validation Accuracy:0.2020
Epoch #106: Loss:1.5980, Accuracy:0.2435, Validation Loss:1.6028, Validation Accuracy:0.2332
Epoch #107: Loss:1.5979, Accuracy:0.2468, Validation Loss:1.6025, Validation Accuracy:0.2315
Epoch #108: Loss:1.5975, Accuracy:0.2485, Validation Loss:1.6021, Validation Accuracy:0.2250
Epoch #109: Loss:1.5970, Accuracy:0.2485, Validation Loss:1.6036, Validation Accuracy:0.2315
Epoch #110: Loss:1.5973, Accuracy:0.2448, Validation Loss:1.6051, Validation Accuracy:0.2414
Epoch #111: Loss:1.5977, Accuracy:0.2456, Validation Loss:1.6057, Validation Accuracy:0.2282
Epoch #112: Loss:1.5980, Accuracy:0.2501, Validation Loss:1.6056, Validation Accuracy:0.2200
Epoch #113: Loss:1.5973, Accuracy:0.2472, Validation Loss:1.6056, Validation Accuracy:0.2348
Epoch #114: Loss:1.5967, Accuracy:0.2444, Validation Loss:1.6059, Validation Accuracy:0.2348
Epoch #115: Loss:1.5965, Accuracy:0.2460, Validation Loss:1.6059, Validation Accuracy:0.2184
Epoch #116: Loss:1.5965, Accuracy:0.2546, Validation Loss:1.6059, Validation Accuracy:0.2151
Epoch #117: Loss:1.5974, Accuracy:0.2431, Validation Loss:1.6064, Validation Accuracy:0.2348
Epoch #118: Loss:1.5970, Accuracy:0.2456, Validation Loss:1.6055, Validation Accuracy:0.2266
Epoch #119: Loss:1.5976, Accuracy:0.2435, Validation Loss:1.6061, Validation Accuracy:0.2332
Epoch #120: Loss:1.5968, Accuracy:0.2493, Validation Loss:1.6077, Validation Accuracy:0.2414
Epoch #121: Loss:1.5963, Accuracy:0.2435, Validation Loss:1.6079, Validation Accuracy:0.2315
Epoch #122: Loss:1.5954, Accuracy:0.2546, Validation Loss:1.6075, Validation Accuracy:0.2069
Epoch #123: Loss:1.5964, Accuracy:0.2550, Validation Loss:1.6074, Validation Accuracy:0.2118
Epoch #124: Loss:1.5952, Accuracy:0.2591, Validation Loss:1.6072, Validation Accuracy:0.2217
Epoch #125: Loss:1.5947, Accuracy:0.2591, Validation Loss:1.6068, Validation Accuracy:0.2233
Epoch #126: Loss:1.5949, Accuracy:0.2571, Validation Loss:1.6073, Validation Accuracy:0.2020
Epoch #127: Loss:1.5943, Accuracy:0.2559, Validation Loss:1.6057, Validation Accuracy:0.2233
Epoch #128: Loss:1.5946, Accuracy:0.2497, Validation Loss:1.6056, Validation Accuracy:0.2102
Epoch #129: Loss:1.5947, Accuracy:0.2604, Validation Loss:1.6072, Validation Accuracy:0.2053
Epoch #130: Loss:1.5948, Accuracy:0.2554, Validation Loss:1.6063, Validation Accuracy:0.2151
Epoch #131: Loss:1.5955, Accuracy:0.2530, Validation Loss:1.6060, Validation Accuracy:0.2167
Epoch #132: Loss:1.5955, Accuracy:0.2448, Validation Loss:1.6065, Validation Accuracy:0.2151
Epoch #133: Loss:1.5964, Accuracy:0.2468, Validation Loss:1.6070, Validation Accuracy:0.2184
Epoch #134: Loss:1.5972, Accuracy:0.2472, Validation Loss:1.6085, Validation Accuracy:0.2118
Epoch #135: Loss:1.5966, Accuracy:0.2505, Validation Loss:1.6073, Validation Accuracy:0.1970
Epoch #136: Loss:1.5955, Accuracy:0.2534, Validation Loss:1.6039, Validation Accuracy:0.2118
Epoch #137: Loss:1.5976, Accuracy:0.2456, Validation Loss:1.6056, Validation Accuracy:0.2315
Epoch #138: Loss:1.5982, Accuracy:0.2394, Validation Loss:1.6057, Validation Accuracy:0.2118
Epoch #139: Loss:1.5977, Accuracy:0.2427, Validation Loss:1.6055, Validation Accuracy:0.2282
Epoch #140: Loss:1.5978, Accuracy:0.2448, Validation Loss:1.6053, Validation Accuracy:0.2233
Epoch #141: Loss:1.5977, Accuracy:0.2394, Validation Loss:1.6041, Validation Accuracy:0.2217
Epoch #142: Loss:1.5971, Accuracy:0.2431, Validation Loss:1.6051, Validation Accuracy:0.2233
Epoch #143: Loss:1.5987, Accuracy:0.2513, Validation Loss:1.6050, Validation Accuracy:0.2266
Epoch #144: Loss:1.5990, Accuracy:0.2431, Validation Loss:1.6058, Validation Accuracy:0.2266
Epoch #145: Loss:1.5979, Accuracy:0.2522, Validation Loss:1.6066, Validation Accuracy:0.2135
Epoch #146: Loss:1.5973, Accuracy:0.2480, Validation Loss:1.6069, Validation Accuracy:0.2299
Epoch #147: Loss:1.5977, Accuracy:0.2468, Validation Loss:1.6060, Validation Accuracy:0.2102
Epoch #148: Loss:1.5972, Accuracy:0.2522, Validation Loss:1.6057, Validation Accuracy:0.2250
Epoch #149: Loss:1.5976, Accuracy:0.2386, Validation Loss:1.6055, Validation Accuracy:0.2315
Epoch #150: Loss:1.5982, Accuracy:0.2444, Validation Loss:1.6066, Validation Accuracy:0.2315
Epoch #151: Loss:1.6002, Accuracy:0.2448, Validation Loss:1.6054, Validation Accuracy:0.2397
Epoch #152: Loss:1.6000, Accuracy:0.2435, Validation Loss:1.6054, Validation Accuracy:0.2299
Epoch #153: Loss:1.5997, Accuracy:0.2390, Validation Loss:1.6040, Validation Accuracy:0.2365
Epoch #154: Loss:1.5986, Accuracy:0.2517, Validation Loss:1.6019, Validation Accuracy:0.2381
Epoch #155: Loss:1.5999, Accuracy:0.2497, Validation Loss:1.6037, Validation Accuracy:0.2479
Epoch #156: Loss:1.6046, Accuracy:0.2431, Validation Loss:1.6165, Validation Accuracy:0.1921
