======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf31.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 06:44:46 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': 'All', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['eg', 'ib', 'aa', 'yd', 'by', 'ce', 'my', 'eb', 'ek', 'eo', 'ds', 'sk', 'ck', 'sg', 'mb'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001EF03EA3DD8>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001EF37126EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7199, Accuracy:0.0563, Validation Loss:2.7110, Validation Accuracy:0.0558
Epoch #2: Loss:2.7063, Accuracy:0.0768, Validation Loss:2.6997, Validation Accuracy:0.0821
Epoch #3: Loss:2.6963, Accuracy:0.0825, Validation Loss:2.6914, Validation Accuracy:0.1018
Epoch #4: Loss:2.6885, Accuracy:0.1023, Validation Loss:2.6852, Validation Accuracy:0.1018
Epoch #5: Loss:2.6831, Accuracy:0.1023, Validation Loss:2.6804, Validation Accuracy:0.1018
Epoch #6: Loss:2.6785, Accuracy:0.1023, Validation Loss:2.6766, Validation Accuracy:0.1018
Epoch #7: Loss:2.6751, Accuracy:0.1023, Validation Loss:2.6736, Validation Accuracy:0.1018
Epoch #8: Loss:2.6724, Accuracy:0.1023, Validation Loss:2.6711, Validation Accuracy:0.1018
Epoch #9: Loss:2.6701, Accuracy:0.1023, Validation Loss:2.6690, Validation Accuracy:0.1018
Epoch #10: Loss:2.6682, Accuracy:0.1023, Validation Loss:2.6673, Validation Accuracy:0.1018
Epoch #11: Loss:2.6666, Accuracy:0.1023, Validation Loss:2.6657, Validation Accuracy:0.1018
Epoch #12: Loss:2.6651, Accuracy:0.1023, Validation Loss:2.6643, Validation Accuracy:0.1018
Epoch #13: Loss:2.6637, Accuracy:0.1023, Validation Loss:2.6629, Validation Accuracy:0.1018
Epoch #14: Loss:2.6623, Accuracy:0.1023, Validation Loss:2.6614, Validation Accuracy:0.1018
Epoch #15: Loss:2.6607, Accuracy:0.1023, Validation Loss:2.6597, Validation Accuracy:0.1018
Epoch #16: Loss:2.6590, Accuracy:0.1023, Validation Loss:2.6576, Validation Accuracy:0.1018
Epoch #17: Loss:2.6567, Accuracy:0.1023, Validation Loss:2.6547, Validation Accuracy:0.1018
Epoch #18: Loss:2.6533, Accuracy:0.1027, Validation Loss:2.6503, Validation Accuracy:0.1018
Epoch #19: Loss:2.6480, Accuracy:0.1039, Validation Loss:2.6433, Validation Accuracy:0.1067
Epoch #20: Loss:2.6392, Accuracy:0.1084, Validation Loss:2.6312, Validation Accuracy:0.1117
Epoch #21: Loss:2.6244, Accuracy:0.1191, Validation Loss:2.6110, Validation Accuracy:0.1346
Epoch #22: Loss:2.6003, Accuracy:0.1433, Validation Loss:2.5799, Validation Accuracy:0.1609
Epoch #23: Loss:2.5661, Accuracy:0.1786, Validation Loss:2.5404, Validation Accuracy:0.1954
Epoch #24: Loss:2.5287, Accuracy:0.1943, Validation Loss:2.5011, Validation Accuracy:0.1790
Epoch #25: Loss:2.4947, Accuracy:0.1819, Validation Loss:2.4669, Validation Accuracy:0.1773
Epoch #26: Loss:2.4634, Accuracy:0.1737, Validation Loss:2.4372, Validation Accuracy:0.1741
Epoch #27: Loss:2.4354, Accuracy:0.1807, Validation Loss:2.4110, Validation Accuracy:0.1806
