======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf35.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 09:11:38 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': 'Front', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['02', '04', '03', '01', '05'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000029A290CBE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000029A24896EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6069, Accuracy:0.2329, Validation Loss:1.6057, Validation Accuracy:0.2332
Epoch #2: Loss:1.6057, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #3: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #4: Loss:1.6057, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #5: Loss:1.6058, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #6: Loss:1.6057, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #7: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #8: Loss:1.6054, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #9: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #10: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #11: Loss:1.6051, Accuracy:0.2329, Validation Loss:1.6049, Validation Accuracy:0.2332
Epoch #12: Loss:1.6048, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #13: Loss:1.6046, Accuracy:0.2329, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #14: Loss:1.6042, Accuracy:0.2329, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #15: Loss:1.6036, Accuracy:0.2329, Validation Loss:1.6034, Validation Accuracy:0.2332
Epoch #16: Loss:1.6024, Accuracy:0.2329, Validation Loss:1.6024, Validation Accuracy:0.2332
Epoch #17: Loss:1.6008, Accuracy:0.2329, Validation Loss:1.6008, Validation Accuracy:0.2348
Epoch #18: Loss:1.5981, Accuracy:0.2456, Validation Loss:1.5986, Validation Accuracy:0.2430
Epoch #19: Loss:1.5948, Accuracy:0.2517, Validation Loss:1.5944, Validation Accuracy:0.2397
Epoch #20: Loss:1.5879, Accuracy:0.2657, Validation Loss:1.5888, Validation Accuracy:0.2512
Epoch #21: Loss:1.5787, Accuracy:0.2698, Validation Loss:1.5816, Validation Accuracy:0.2562
Epoch #22: Loss:1.5707, Accuracy:0.2739, Validation Loss:1.5744, Validation Accuracy:0.2611
Epoch #23: Loss:1.5634, Accuracy:0.2772, Validation Loss:1.5696, Validation Accuracy:0.2677
Epoch #24: Loss:1.5561, Accuracy:0.2789, Validation Loss:1.5674, Validation Accuracy:0.2742
Epoch #25: Loss:1.5530, Accuracy:0.2780, Validation Loss:1.5636, Validation Accuracy:0.2726
Epoch #26: Loss:1.5485, Accuracy:0.2830, Validation Loss:1.5606, Validation Accuracy:0.2759
Epoch #27: Loss:1.5486, Accuracy:0.2825, Validation Loss:1.5572, Validation Accuracy:0.2677
Epoch #28: Loss:1.5456, Accuracy:0.2817, Validation Loss:1.5561, Validation Accuracy:0.2742
Epoch #29: Loss:1.5439, Accuracy:0.2817, Validation Loss:1.5544, Validation Accuracy:0.2693
