======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf36.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 09:28:07 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': 'Front', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['01', '02', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x00000213856B4E10>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000021382E36EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0892, Accuracy:0.3729, Validation Loss:1.0795, Validation Accuracy:0.3727
Epoch #2: Loss:1.0762, Accuracy:0.3860, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #3: Loss:1.0744, Accuracy:0.3943, Validation Loss:1.0755, Validation Accuracy:0.3941
Epoch #4: Loss:1.0758, Accuracy:0.3943, Validation Loss:1.0759, Validation Accuracy:0.3941
Epoch #5: Loss:1.0752, Accuracy:0.3943, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #6: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #7: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #8: Loss:1.0744, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #9: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #10: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0740, Validation Accuracy:0.3941
Epoch #11: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0740, Validation Accuracy:0.3941
Epoch #12: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0738, Validation Accuracy:0.3941
Epoch #13: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0735, Validation Accuracy:0.3941
Epoch #14: Loss:1.0734, Accuracy:0.3943, Validation Loss:1.0732, Validation Accuracy:0.3941
Epoch #15: Loss:1.0731, Accuracy:0.3943, Validation Loss:1.0727, Validation Accuracy:0.3941
Epoch #16: Loss:1.0727, Accuracy:0.3959, Validation Loss:1.0721, Validation Accuracy:0.4023
Epoch #17: Loss:1.0720, Accuracy:0.4021, Validation Loss:1.0711, Validation Accuracy:0.4089
Epoch #18: Loss:1.0709, Accuracy:0.4127, Validation Loss:1.0695, Validation Accuracy:0.4187
Epoch #19: Loss:1.0695, Accuracy:0.4324, Validation Loss:1.0671, Validation Accuracy:0.4483
Epoch #20: Loss:1.0668, Accuracy:0.4419, Validation Loss:1.0633, Validation Accuracy:0.4417
Epoch #21: Loss:1.0629, Accuracy:0.4374, Validation Loss:1.0572, Validation Accuracy:0.4647
Epoch #22: Loss:1.0572, Accuracy:0.4657, Validation Loss:1.0481, Validation Accuracy:0.4614
Epoch #23: Loss:1.0482, Accuracy:0.4727, Validation Loss:1.0354, Validation Accuracy:0.4729
Epoch #24: Loss:1.0374, Accuracy:0.4739, Validation Loss:1.0222, Validation Accuracy:0.4762
Epoch #25: Loss:1.0270, Accuracy:0.4739, Validation Loss:1.0137, Validation Accuracy:0.4762
Epoch #26: Loss:1.0238, Accuracy:0.4735, Validation Loss:1.0123, Validation Accuracy:0.4762
Epoch #27: Loss:1.0239, Accuracy:0.4702, Validation Loss:1.0122, Validation Accuracy:0.4745
Epoch #28: Loss:1.0222, Accuracy:0.4760, Validation Loss:1.0117, Validation Accuracy:0.4713
Epoch #29: Loss:1.0199, Accuracy:0.4727, Validation Loss:1.0131, Validation Accuracy:0.4614
Epoch #30: Loss:1.0186, Accuracy:0.4756, Validation Loss:1.0107, Validation Accuracy:0.4778
Epoch #31: Loss:1.0203, Accuracy:0.4768, Validation Loss:1.0102, Validation Accuracy:0.4680
Epoch #32: Loss:1.0194, Accuracy:0.4735, Validation Loss:1.0099, Validation Accuracy:0.4647
Epoch #33: Loss:1.0193, Accuracy:0.4772, Validation Loss:1.0085, Validation Accuracy:0.4795
Epoch #34: Loss:1.0176, Accuracy:0.4739, Validation Loss:1.0089, Validation Accuracy:0.4647
Epoch #35: Loss:1.0153, Accuracy:0.4813, Validation Loss:1.0071, Validation Accuracy:0.4680
Epoch #36: Loss:1.0138, Accuracy:0.4838, Validation Loss:1.0071, Validation Accuracy:0.4647
Epoch #37: Loss:1.0128, Accuracy:0.4854, Validation Loss:1.0059, Validation Accuracy:0.4795
Epoch #38: Loss:1.0120, Accuracy:0.4936, Validation Loss:1.0045, Validation Accuracy:0.4877
Epoch #39: Loss:1.0108, Accuracy:0.4932, Validation Loss:1.0033, Validation Accuracy:0.4910
Epoch #40: Loss:1.0102, Accuracy:0.4957, Validation Loss:1.0041, Validation Accuracy:0.4910
Epoch #41: Loss:1.0098, Accuracy:0.4924, Validation Loss:1.0015, Validation Accuracy:0.4860
Epoch #42: Loss:1.0119, Accuracy:0.4879, Validation Loss:1.0056, Validation Accuracy:0.4844
Epoch #43: Loss:1.0099, Accuracy:0.4899, Validation Loss:1.0005, Validation Accuracy:0.5041
Epoch #44: Loss:1.0064, Accuracy:0.5031, Validation Loss:1.0025, Validation Accuracy:0.4959
Epoch #45: Loss:1.0054, Accuracy:0.5023, Validation Loss:0.9988, Validation Accuracy:0.4877
Epoch #46: Loss:1.0034, Accuracy:0.5051, Validation Loss:0.9986, Validation Accuracy:0.4943
Epoch #47: Loss:1.0024, Accuracy:0.5072, Validation Loss:0.9963, Validation Accuracy:0.4877
Epoch #48: Loss:1.0014, Accuracy:0.5043, Validation Loss:0.9970, Validation Accuracy:0.4959
Epoch #49: Loss:1.0048, Accuracy:0.4994, Validation Loss:0.9963, Validation Accuracy:0.4975
Epoch #50: Loss:1.0033, Accuracy:0.4940, Validation Loss:0.9962, Validation Accuracy:0.4959
Epoch #51: Loss:0.9988, Accuracy:0.5014, Validation Loss:0.9930, Validation Accuracy:0.4910
Epoch #52: Loss:0.9984, Accuracy:0.5051, Validation Loss:0.9945, Validation Accuracy:0.4926
Epoch #53: Loss:0.9967, Accuracy:0.5060, Validation Loss:0.9925, Validation Accuracy:0.5041
Epoch #54: Loss:0.9972, Accuracy:0.5039, Validation Loss:0.9914, Validation Accuracy:0.5025
Epoch #55: Loss:0.9940, Accuracy:0.5088, Validation Loss:0.9890, Validation Accuracy:0.5025
Epoch #56: Loss:0.9928, Accuracy:0.5084, Validation Loss:0.9884, Validation Accuracy:0.5041
Epoch #57: Loss:0.9909, Accuracy:0.5129, Validation Loss:0.9868, Validation Accuracy:0.5057
Epoch #58: Loss:0.9900, Accuracy:0.5097, Validation Loss:0.9855, Validation Accuracy:0.5074
Epoch #59: Loss:0.9883, Accuracy:0.5105, Validation Loss:0.9839, Validation Accuracy:0.5123
Epoch #60: Loss:0.9875, Accuracy:0.5129, Validation Loss:0.9848, Validation Accuracy:0.5140
Epoch #61: Loss:0.9876, Accuracy:0.5113, Validation Loss:0.9860, Validation Accuracy:0.5057
Epoch #62: Loss:0.9858, Accuracy:0.5088, Validation Loss:0.9796, Validation Accuracy:0.5057
Epoch #63: Loss:0.9816, Accuracy:0.5179, Validation Loss:0.9791, Validation Accuracy:0.5172
Epoch #64: Loss:0.9829, Accuracy:0.5088, Validation Loss:0.9803, Validation Accuracy:0.5074
Epoch #65: Loss:0.9814, Accuracy:0.5154, Validation Loss:0.9834, Validation Accuracy:0.5025
