======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf40.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 12:51:57 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': 'AllShfUni', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ek', 'eg', 'eo', 'yd', 'sg', 'ib', 'mb', 'my', 'eb', 'ck', 'ds', 'by', 'sk', 'aa', 'ce'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000019D00ABD278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000019D7D5A7EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7080, Accuracy:0.0850, Validation Loss:2.7023, Validation Accuracy:0.0854
Epoch #2: Loss:2.6991, Accuracy:0.0850, Validation Loss:2.6947, Validation Accuracy:0.0854
Epoch #3: Loss:2.6924, Accuracy:0.0850, Validation Loss:2.6879, Validation Accuracy:0.0854
Epoch #4: Loss:2.6858, Accuracy:0.0850, Validation Loss:2.6821, Validation Accuracy:0.0854
Epoch #5: Loss:2.6804, Accuracy:0.0850, Validation Loss:2.6771, Validation Accuracy:0.0854
Epoch #6: Loss:2.6757, Accuracy:0.0850, Validation Loss:2.6726, Validation Accuracy:0.0854
Epoch #7: Loss:2.6714, Accuracy:0.0850, Validation Loss:2.6687, Validation Accuracy:0.0854
Epoch #8: Loss:2.6675, Accuracy:0.0850, Validation Loss:2.6649, Validation Accuracy:0.0673
Epoch #9: Loss:2.6634, Accuracy:0.0949, Validation Loss:2.6607, Validation Accuracy:0.1018
Epoch #10: Loss:2.6589, Accuracy:0.1023, Validation Loss:2.6556, Validation Accuracy:0.1018
Epoch #11: Loss:2.6531, Accuracy:0.1023, Validation Loss:2.6484, Validation Accuracy:0.1018
Epoch #12: Loss:2.6448, Accuracy:0.1023, Validation Loss:2.6379, Validation Accuracy:0.1018
Epoch #13: Loss:2.6329, Accuracy:0.1047, Validation Loss:2.6213, Validation Accuracy:0.1084
Epoch #14: Loss:2.6138, Accuracy:0.1150, Validation Loss:2.5968, Validation Accuracy:0.1314
Epoch #15: Loss:2.5871, Accuracy:0.1392, Validation Loss:2.5631, Validation Accuracy:0.1429
Epoch #16: Loss:2.5518, Accuracy:0.1569, Validation Loss:2.5250, Validation Accuracy:0.1494
Epoch #17: Loss:2.5173, Accuracy:0.1618, Validation Loss:2.4897, Validation Accuracy:0.1609
Epoch #18: Loss:2.4843, Accuracy:0.1659, Validation Loss:2.4608, Validation Accuracy:0.1609
Epoch #19: Loss:2.4555, Accuracy:0.1676, Validation Loss:2.4347, Validation Accuracy:0.1626
Epoch #20: Loss:2.4283, Accuracy:0.1684, Validation Loss:2.4095, Validation Accuracy:0.1576
Epoch #21: Loss:2.3986, Accuracy:0.1856, Validation Loss:2.3865, Validation Accuracy:0.1773
Epoch #22: Loss:2.3713, Accuracy:0.1984, Validation Loss:2.3591, Validation Accuracy:0.1905
Epoch #23: Loss:2.3425, Accuracy:0.2074, Validation Loss:2.3301, Validation Accuracy:0.1905
Epoch #24: Loss:2.3149, Accuracy:0.2021, Validation Loss:2.3020, Validation Accuracy:0.2003
Epoch #25: Loss:2.2852, Accuracy:0.2131, Validation Loss:2.2764, Validation Accuracy:0.2118
Epoch #26: Loss:2.2594, Accuracy:0.2209, Validation Loss:2.2603, Validation Accuracy:0.2250
Epoch #27: Loss:2.2407, Accuracy:0.2168, Validation Loss:2.2331, Validation Accuracy:0.2430
Epoch #28: Loss:2.2113, Accuracy:0.2292, Validation Loss:2.2102, Validation Accuracy:0.2365
Epoch #29: Loss:2.1976, Accuracy:0.2431, Validation Loss:2.1979, Validation Accuracy:0.2611
Epoch #30: Loss:2.1784, Accuracy:0.2616, Validation Loss:2.1810, Validation Accuracy:0.2709
Epoch #31: Loss:2.1627, Accuracy:0.2727, Validation Loss:2.1646, Validation Accuracy:0.2923
Epoch #32: Loss:2.1501, Accuracy:0.2842, Validation Loss:2.1518, Validation Accuracy:0.2824
Epoch #33: Loss:2.1379, Accuracy:0.2887, Validation Loss:2.1482, Validation Accuracy:0.2545
Epoch #34: Loss:2.1334, Accuracy:0.2813, Validation Loss:2.1318, Validation Accuracy:0.3038
Epoch #35: Loss:2.1208, Accuracy:0.2924, Validation Loss:2.1136, Validation Accuracy:0.3169
Epoch #36: Loss:2.1071, Accuracy:0.3035, Validation Loss:2.1179, Validation Accuracy:0.2644
Epoch #37: Loss:2.1037, Accuracy:0.3039, Validation Loss:2.0933, Validation Accuracy:0.3054
Epoch #38: Loss:2.0895, Accuracy:0.2957, Validation Loss:2.0878, Validation Accuracy:0.3103
Epoch #39: Loss:2.0802, Accuracy:0.3101, Validation Loss:2.0790, Validation Accuracy:0.2989
Epoch #40: Loss:2.0723, Accuracy:0.2998, Validation Loss:2.0662, Validation Accuracy:0.2939
Epoch #41: Loss:2.0663, Accuracy:0.3055, Validation Loss:2.0695, Validation Accuracy:0.3235
Epoch #42: Loss:2.0637, Accuracy:0.3023, Validation Loss:2.0642, Validation Accuracy:0.2956
Epoch #43: Loss:2.0519, Accuracy:0.3105, Validation Loss:2.0484, Validation Accuracy:0.3071
Epoch #44: Loss:2.0486, Accuracy:0.3113, Validation Loss:2.0438, Validation Accuracy:0.3186
Epoch #45: Loss:2.0394, Accuracy:0.3228, Validation Loss:2.0427, Validation Accuracy:0.2939
Epoch #46: Loss:2.0373, Accuracy:0.3064, Validation Loss:2.0285, Validation Accuracy:0.3300
Epoch #47: Loss:2.0302, Accuracy:0.3335, Validation Loss:2.0288, Validation Accuracy:0.3021
Epoch #48: Loss:2.0234, Accuracy:0.3138, Validation Loss:2.0234, Validation Accuracy:0.3300
Epoch #49: Loss:2.0207, Accuracy:0.3269, Validation Loss:2.0167, Validation Accuracy:0.3169
Epoch #50: Loss:2.0211, Accuracy:0.3322, Validation Loss:2.0103, Validation Accuracy:0.3054
Epoch #51: Loss:2.0151, Accuracy:0.3203, Validation Loss:2.0176, Validation Accuracy:0.3153
Epoch #52: Loss:2.0068, Accuracy:0.3220, Validation Loss:1.9997, Validation Accuracy:0.3103
Epoch #53: Loss:2.0001, Accuracy:0.3302, Validation Loss:1.9981, Validation Accuracy:0.3153
Epoch #54: Loss:1.9929, Accuracy:0.3273, Validation Loss:1.9912, Validation Accuracy:0.3218
Epoch #55: Loss:1.9935, Accuracy:0.3285, Validation Loss:1.9977, Validation Accuracy:0.3021
Epoch #56: Loss:1.9892, Accuracy:0.3191, Validation Loss:1.9824, Validation Accuracy:0.3300
Epoch #57: Loss:1.9834, Accuracy:0.3343, Validation Loss:1.9853, Validation Accuracy:0.3087
Epoch #58: Loss:1.9826, Accuracy:0.3248, Validation Loss:1.9793, Validation Accuracy:0.3317
Epoch #59: Loss:1.9835, Accuracy:0.3290, Validation Loss:1.9863, Validation Accuracy:0.3186
Epoch #60: Loss:1.9741, Accuracy:0.3269, Validation Loss:1.9704, Validation Accuracy:0.3235
Epoch #61: Loss:1.9689, Accuracy:0.3331, Validation Loss:1.9664, Validation Accuracy:0.3317
Epoch #62: Loss:1.9615, Accuracy:0.3331, Validation Loss:1.9593, Validation Accuracy:0.3268
Epoch #63: Loss:1.9617, Accuracy:0.3326, Validation Loss:1.9628, Validation Accuracy:0.3202
Epoch #64: Loss:1.9576, Accuracy:0.3314, Validation Loss:1.9532, Validation Accuracy:0.3317
Epoch #65: Loss:1.9507, Accuracy:0.3331, Validation Loss:1.9565, Validation Accuracy:0.3136
Epoch #66: Loss:1.9497, Accuracy:0.3351, Validation Loss:1.9476, Validation Accuracy:0.3399
Epoch #67: Loss:1.9444, Accuracy:0.3376, Validation Loss:1.9499, Validation Accuracy:0.3120
Epoch #68: Loss:1.9423, Accuracy:0.3351, Validation Loss:1.9400, Validation Accuracy:0.3415
Epoch #69: Loss:1.9370, Accuracy:0.3384, Validation Loss:1.9409, Validation Accuracy:0.3251
Epoch #70: Loss:1.9395, Accuracy:0.3363, Validation Loss:1.9368, Validation Accuracy:0.3317
Epoch #71: Loss:1.9354, Accuracy:0.3405, Validation Loss:1.9384, Validation Accuracy:0.3218
Epoch #72: Loss:1.9317, Accuracy:0.3372, Validation Loss:1.9339, Validation Accuracy:0.3399
Epoch #73: Loss:1.9277, Accuracy:0.3384, Validation Loss:1.9259, Validation Accuracy:0.3268
Epoch #74: Loss:1.9249, Accuracy:0.3400, Validation Loss:1.9257, Validation Accuracy:0.3235
Epoch #75: Loss:1.9190, Accuracy:0.3392, Validation Loss:1.9322, Validation Accuracy:0.3481
Epoch #76: Loss:1.9204, Accuracy:0.3392, Validation Loss:1.9224, Validation Accuracy:0.3153
Epoch #77: Loss:1.9132, Accuracy:0.3446, Validation Loss:1.9137, Validation Accuracy:0.3333
Epoch #78: Loss:1.9083, Accuracy:0.3446, Validation Loss:1.9218, Validation Accuracy:0.3333
Epoch #79: Loss:1.9049, Accuracy:0.3483, Validation Loss:1.9134, Validation Accuracy:0.3268
Epoch #80: Loss:1.9057, Accuracy:0.3462, Validation Loss:1.9096, Validation Accuracy:0.3317
Epoch #81: Loss:1.8959, Accuracy:0.3544, Validation Loss:1.9047, Validation Accuracy:0.3432
Epoch #82: Loss:1.8951, Accuracy:0.3466, Validation Loss:1.9030, Validation Accuracy:0.3448
Epoch #83: Loss:1.8922, Accuracy:0.3499, Validation Loss:1.8975, Validation Accuracy:0.3366
Epoch #84: Loss:1.8872, Accuracy:0.3589, Validation Loss:1.8969, Validation Accuracy:0.3366
Epoch #85: Loss:1.8824, Accuracy:0.3507, Validation Loss:1.8953, Validation Accuracy:0.3448
Epoch #86: Loss:1.8806, Accuracy:0.3606, Validation Loss:1.8957, Validation Accuracy:0.3300
Epoch #87: Loss:1.8757, Accuracy:0.3540, Validation Loss:1.8886, Validation Accuracy:0.3580
Epoch #88: Loss:1.8750, Accuracy:0.3659, Validation Loss:1.8955, Validation Accuracy:0.3300
Epoch #89: Loss:1.8705, Accuracy:0.3639, Validation Loss:1.8821, Validation Accuracy:0.3465
Epoch #90: Loss:1.8639, Accuracy:0.3692, Validation Loss:1.8749, Validation Accuracy:0.3563
Epoch #91: Loss:1.8644, Accuracy:0.3618, Validation Loss:1.8899, Validation Accuracy:0.3432
Epoch #92: Loss:1.8671, Accuracy:0.3721, Validation Loss:1.8814, Validation Accuracy:0.3514
Epoch #93: Loss:1.8629, Accuracy:0.3684, Validation Loss:1.8936, Validation Accuracy:0.3645
Epoch #94: Loss:1.8615, Accuracy:0.3749, Validation Loss:1.8695, Validation Accuracy:0.3530
Epoch #95: Loss:1.8534, Accuracy:0.3688, Validation Loss:1.8694, Validation Accuracy:0.3530
Epoch #96: Loss:1.8524, Accuracy:0.3700, Validation Loss:1.8624, Validation Accuracy:0.3612
Epoch #97: Loss:1.8488, Accuracy:0.3680, Validation Loss:1.8734, Validation Accuracy:0.3448
Epoch #98: Loss:1.8340, Accuracy:0.3778, Validation Loss:1.8552, Validation Accuracy:0.3596
Epoch #99: Loss:1.8317, Accuracy:0.3803, Validation Loss:1.8523, Validation Accuracy:0.3563
Epoch #100: Loss:1.8248, Accuracy:0.3811, Validation Loss:1.8456, Validation Accuracy:0.3678
Epoch #101: Loss:1.8208, Accuracy:0.3791, Validation Loss:1.8499, Validation Accuracy:0.3777
Epoch #102: Loss:1.8228, Accuracy:0.3856, Validation Loss:1.8422, Validation Accuracy:0.3629
Epoch #103: Loss:1.8155, Accuracy:0.3914, Validation Loss:1.8289, Validation Accuracy:0.3711
Epoch #104: Loss:1.8061, Accuracy:0.3852, Validation Loss:1.8308, Validation Accuracy:0.3645
Epoch #105: Loss:1.8027, Accuracy:0.3926, Validation Loss:1.8259, Validation Accuracy:0.3793
Epoch #106: Loss:1.7939, Accuracy:0.3996, Validation Loss:1.8177, Validation Accuracy:0.3826
Epoch #107: Loss:1.7844, Accuracy:0.3979, Validation Loss:1.8175, Validation Accuracy:0.3842
Epoch #108: Loss:1.7800, Accuracy:0.3914, Validation Loss:1.8087, Validation Accuracy:0.3777
Epoch #109: Loss:1.7728, Accuracy:0.3992, Validation Loss:1.8073, Validation Accuracy:0.3711
Epoch #110: Loss:1.7706, Accuracy:0.3996, Validation Loss:1.8131, Validation Accuracy:0.3662
Epoch #111: Loss:1.7684, Accuracy:0.3959, Validation Loss:1.7923, Validation Accuracy:0.3908
Epoch #112: Loss:1.7651, Accuracy:0.4021, Validation Loss:1.8013, Validation Accuracy:0.4039
Epoch #113: Loss:1.7596, Accuracy:0.4016, Validation Loss:1.7944, Validation Accuracy:0.3957
Epoch #114: Loss:1.7483, Accuracy:0.4025, Validation Loss:1.7842, Validation Accuracy:0.3695
Epoch #115: Loss:1.7414, Accuracy:0.4057, Validation Loss:1.7865, Validation Accuracy:0.3875
Epoch #116: Loss:1.7444, Accuracy:0.4021, Validation Loss:1.7887, Validation Accuracy:0.3810
Epoch #117: Loss:1.7446, Accuracy:0.4021, Validation Loss:1.7750, Validation Accuracy:0.3875
Epoch #118: Loss:1.7298, Accuracy:0.4074, Validation Loss:1.7696, Validation Accuracy:0.4089
Epoch #119: Loss:1.7275, Accuracy:0.4078, Validation Loss:1.7651, Validation Accuracy:0.4089
Epoch #120: Loss:1.7238, Accuracy:0.4136, Validation Loss:1.7546, Validation Accuracy:0.4039
Epoch #121: Loss:1.7099, Accuracy:0.4140, Validation Loss:1.7488, Validation Accuracy:0.3974
Epoch #122: Loss:1.7053, Accuracy:0.4197, Validation Loss:1.7537, Validation Accuracy:0.3924
Epoch #123: Loss:1.7055, Accuracy:0.4160, Validation Loss:1.7357, Validation Accuracy:0.4089
Epoch #124: Loss:1.7029, Accuracy:0.4148, Validation Loss:1.7409, Validation Accuracy:0.4204
Epoch #125: Loss:1.6961, Accuracy:0.4144, Validation Loss:1.7402, Validation Accuracy:0.4187
Epoch #126: Loss:1.6866, Accuracy:0.4259, Validation Loss:1.7265, Validation Accuracy:0.4122
Epoch #127: Loss:1.6823, Accuracy:0.4275, Validation Loss:1.7290, Validation Accuracy:0.4105
Epoch #128: Loss:1.6816, Accuracy:0.4230, Validation Loss:1.7218, Validation Accuracy:0.4138
