======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf42.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 14:14:01 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': 'AllShfUni', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['01', '03', '02'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001A600D89550>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001A661707EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 19,599
Trainable params: 19,599
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0861, Accuracy:0.3943, Validation Loss:1.0791, Validation Accuracy:0.3941
Epoch #2: Loss:1.0762, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #3: Loss:1.0749, Accuracy:0.3943, Validation Loss:1.0751, Validation Accuracy:0.3941
Epoch #4: Loss:1.0753, Accuracy:0.3943, Validation Loss:1.0751, Validation Accuracy:0.3941
Epoch #5: Loss:1.0747, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #6: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0739, Validation Accuracy:0.3941
Epoch #7: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0736, Validation Accuracy:0.3941
Epoch #8: Loss:1.0734, Accuracy:0.3943, Validation Loss:1.0732, Validation Accuracy:0.3941
Epoch #9: Loss:1.0731, Accuracy:0.3943, Validation Loss:1.0726, Validation Accuracy:0.3941
Epoch #10: Loss:1.0723, Accuracy:0.3943, Validation Loss:1.0717, Validation Accuracy:0.3941
Epoch #11: Loss:1.0716, Accuracy:0.3959, Validation Loss:1.0706, Validation Accuracy:0.4072
Epoch #12: Loss:1.0705, Accuracy:0.4082, Validation Loss:1.0690, Validation Accuracy:0.4401
Epoch #13: Loss:1.0687, Accuracy:0.4185, Validation Loss:1.0665, Validation Accuracy:0.4269
Epoch #14: Loss:1.0660, Accuracy:0.4209, Validation Loss:1.0628, Validation Accuracy:0.4335
Epoch #15: Loss:1.0616, Accuracy:0.4218, Validation Loss:1.0567, Validation Accuracy:0.4516
Epoch #16: Loss:1.0547, Accuracy:0.4287, Validation Loss:1.0468, Validation Accuracy:0.4631
Epoch #17: Loss:1.0433, Accuracy:0.4333, Validation Loss:1.0309, Validation Accuracy:0.4614
Epoch #18: Loss:1.0243, Accuracy:0.4452, Validation Loss:1.0055, Validation Accuracy:0.4680
Epoch #19: Loss:0.9948, Accuracy:0.4517, Validation Loss:0.9681, Validation Accuracy:0.4778
Epoch #20: Loss:0.9481, Accuracy:0.4752, Validation Loss:0.9078, Validation Accuracy:0.6043
Epoch #21: Loss:0.8785, Accuracy:0.6189, Validation Loss:0.8192, Validation Accuracy:0.6568
Epoch #22: Loss:0.7888, Accuracy:0.6727, Validation Loss:0.7271, Validation Accuracy:0.7011
Epoch #23: Loss:0.7133, Accuracy:0.6891, Validation Loss:0.6641, Validation Accuracy:0.7225
Epoch #24: Loss:0.6577, Accuracy:0.7133, Validation Loss:0.6310, Validation Accuracy:0.7209
Epoch #25: Loss:0.6208, Accuracy:0.7097, Validation Loss:0.5869, Validation Accuracy:0.7389
Epoch #26: Loss:0.5907, Accuracy:0.7298, Validation Loss:0.5723, Validation Accuracy:0.7488
Epoch #27: Loss:0.5535, Accuracy:0.7466, Validation Loss:0.5393, Validation Accuracy:0.7619
Epoch #28: Loss:0.5308, Accuracy:0.7585, Validation Loss:0.5265, Validation Accuracy:0.7668
Epoch #29: Loss:0.5065, Accuracy:0.7708, Validation Loss:0.5074, Validation Accuracy:0.7734
Epoch #30: Loss:0.4933, Accuracy:0.7782, Validation Loss:0.4969, Validation Accuracy:0.7865
Epoch #31: Loss:0.4811, Accuracy:0.7901, Validation Loss:0.4747, Validation Accuracy:0.8030
Epoch #32: Loss:0.4526, Accuracy:0.8037, Validation Loss:0.4530, Validation Accuracy:0.8161
Epoch #33: Loss:0.4278, Accuracy:0.8131, Validation Loss:0.4314, Validation Accuracy:0.8342
Epoch #34: Loss:0.4136, Accuracy:0.8234, Validation Loss:0.4326, Validation Accuracy:0.8276
