======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf44.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 15:36:09 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': 'AllShfRnd', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['01', '04', '05', '02', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000013C837BBE80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000013CD7906EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6075, Accuracy:0.2329, Validation Loss:1.6059, Validation Accuracy:0.2332
Epoch #2: Loss:1.6058, Accuracy:0.2329, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #3: Loss:1.6059, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #4: Loss:1.6058, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #5: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #6: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #7: Loss:1.6054, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #8: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #9: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6049, Validation Accuracy:0.2332
Epoch #10: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #11: Loss:1.6050, Accuracy:0.2329, Validation Loss:1.6044, Validation Accuracy:0.2332
Epoch #12: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6040, Validation Accuracy:0.2332
Epoch #13: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6035, Validation Accuracy:0.2332
Epoch #14: Loss:1.6038, Accuracy:0.2329, Validation Loss:1.6028, Validation Accuracy:0.2332
Epoch #15: Loss:1.6032, Accuracy:0.2329, Validation Loss:1.6018, Validation Accuracy:0.2332
Epoch #16: Loss:1.6020, Accuracy:0.2329, Validation Loss:1.6004, Validation Accuracy:0.2332
Epoch #17: Loss:1.6008, Accuracy:0.2329, Validation Loss:1.5986, Validation Accuracy:0.2332
Epoch #18: Loss:1.5991, Accuracy:0.2324, Validation Loss:1.5962, Validation Accuracy:0.2365
Epoch #19: Loss:1.5967, Accuracy:0.2374, Validation Loss:1.5929, Validation Accuracy:0.2430
Epoch #20: Loss:1.5936, Accuracy:0.2456, Validation Loss:1.5884, Validation Accuracy:0.2529
Epoch #21: Loss:1.5892, Accuracy:0.2550, Validation Loss:1.5828, Validation Accuracy:0.2529
Epoch #22: Loss:1.5844, Accuracy:0.2522, Validation Loss:1.5761, Validation Accuracy:0.2512
Epoch #23: Loss:1.5784, Accuracy:0.2390, Validation Loss:1.5697, Validation Accuracy:0.2430
Epoch #24: Loss:1.5735, Accuracy:0.2353, Validation Loss:1.5660, Validation Accuracy:0.2709
Epoch #25: Loss:1.5709, Accuracy:0.2464, Validation Loss:1.5628, Validation Accuracy:0.2742
Epoch #26: Loss:1.5698, Accuracy:0.2567, Validation Loss:1.5614, Validation Accuracy:0.2726
