======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf46.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 16:58:11 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '0Ov', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['by', 'ib', 'mb', 'ds', 'yd', 'my', 'eo', 'ce', 'ek', 'eg', 'sg', 'eb', 'ck', 'aa', 'sk'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001850354E278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001855C427EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7061, Accuracy:0.0665, Validation Loss:2.7013, Validation Accuracy:0.0657
Epoch #2: Loss:2.6990, Accuracy:0.0665, Validation Loss:2.6955, Validation Accuracy:0.0657
Epoch #3: Loss:2.6937, Accuracy:0.0768, Validation Loss:2.6906, Validation Accuracy:0.0788
Epoch #4: Loss:2.6891, Accuracy:0.0784, Validation Loss:2.6864, Validation Accuracy:0.0788
Epoch #5: Loss:2.6847, Accuracy:0.0965, Validation Loss:2.6825, Validation Accuracy:0.1018
Epoch #6: Loss:2.6810, Accuracy:0.1023, Validation Loss:2.6787, Validation Accuracy:0.1018
Epoch #7: Loss:2.6773, Accuracy:0.1023, Validation Loss:2.6751, Validation Accuracy:0.1018
Epoch #8: Loss:2.6739, Accuracy:0.1023, Validation Loss:2.6716, Validation Accuracy:0.1018
Epoch #9: Loss:2.6704, Accuracy:0.1023, Validation Loss:2.6677, Validation Accuracy:0.1018
Epoch #10: Loss:2.6666, Accuracy:0.1023, Validation Loss:2.6636, Validation Accuracy:0.1018
Epoch #11: Loss:2.6620, Accuracy:0.1027, Validation Loss:2.6584, Validation Accuracy:0.1018
Epoch #12: Loss:2.6565, Accuracy:0.1146, Validation Loss:2.6512, Validation Accuracy:0.1264
Epoch #13: Loss:2.6484, Accuracy:0.1339, Validation Loss:2.6402, Validation Accuracy:0.1396
Epoch #14: Loss:2.6354, Accuracy:0.1446, Validation Loss:2.6216, Validation Accuracy:0.1445
Epoch #15: Loss:2.6141, Accuracy:0.1491, Validation Loss:2.5917, Validation Accuracy:0.1691
Epoch #16: Loss:2.5808, Accuracy:0.1663, Validation Loss:2.5496, Validation Accuracy:0.1757
Epoch #17: Loss:2.5377, Accuracy:0.1663, Validation Loss:2.5055, Validation Accuracy:0.1609
Epoch #18: Loss:2.4967, Accuracy:0.1630, Validation Loss:2.4673, Validation Accuracy:0.1642
Epoch #19: Loss:2.4628, Accuracy:0.1659, Validation Loss:2.4317, Validation Accuracy:0.1741
Epoch #20: Loss:2.4284, Accuracy:0.1713, Validation Loss:2.3966, Validation Accuracy:0.1921
Epoch #21: Loss:2.3948, Accuracy:0.1815, Validation Loss:2.3660, Validation Accuracy:0.1970
Epoch #22: Loss:2.3635, Accuracy:0.1704, Validation Loss:2.3360, Validation Accuracy:0.2299
Epoch #23: Loss:2.3340, Accuracy:0.2246, Validation Loss:2.3109, Validation Accuracy:0.2381
Epoch #24: Loss:2.3050, Accuracy:0.2308, Validation Loss:2.2829, Validation Accuracy:0.2381
Epoch #25: Loss:2.2801, Accuracy:0.2423, Validation Loss:2.2605, Validation Accuracy:0.2430
Epoch #26: Loss:2.2550, Accuracy:0.2546, Validation Loss:2.2424, Validation Accuracy:0.2463
Epoch #27: Loss:2.2347, Accuracy:0.2571, Validation Loss:2.2217, Validation Accuracy:0.2545
