======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf47.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 19:35:31 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '0Ov', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['04', '03', '02', '01', '05'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001EC0C0ECE80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001EC095C6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6113, Accuracy:0.1881, Validation Loss:1.6082, Validation Accuracy:0.2332
Epoch #2: Loss:1.6070, Accuracy:0.2329, Validation Loss:1.6060, Validation Accuracy:0.2332
Epoch #3: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #4: Loss:1.6049, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #5: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6043, Validation Accuracy:0.2332
Epoch #6: Loss:1.6035, Accuracy:0.2329, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #7: Loss:1.6023, Accuracy:0.2329, Validation Loss:1.6025, Validation Accuracy:0.2332
Epoch #8: Loss:1.5998, Accuracy:0.2329, Validation Loss:1.6010, Validation Accuracy:0.2332
Epoch #9: Loss:1.5971, Accuracy:0.2341, Validation Loss:1.5992, Validation Accuracy:0.2381
Epoch #10: Loss:1.5940, Accuracy:0.2411, Validation Loss:1.5968, Validation Accuracy:0.2381
Epoch #11: Loss:1.5898, Accuracy:0.2398, Validation Loss:1.5946, Validation Accuracy:0.2167
Epoch #12: Loss:1.5860, Accuracy:0.2366, Validation Loss:1.5926, Validation Accuracy:0.2200
Epoch #13: Loss:1.5831, Accuracy:0.2431, Validation Loss:1.5914, Validation Accuracy:0.2299
Epoch #14: Loss:1.5806, Accuracy:0.2448, Validation Loss:1.5913, Validation Accuracy:0.2266
Epoch #15: Loss:1.5812, Accuracy:0.2452, Validation Loss:1.5924, Validation Accuracy:0.2250
Epoch #16: Loss:1.5788, Accuracy:0.2444, Validation Loss:1.5896, Validation Accuracy:0.2447
Epoch #17: Loss:1.5781, Accuracy:0.2464, Validation Loss:1.5882, Validation Accuracy:0.2414
Epoch #18: Loss:1.5779, Accuracy:0.2448, Validation Loss:1.5886, Validation Accuracy:0.2315
Epoch #19: Loss:1.5766, Accuracy:0.2575, Validation Loss:1.5861, Validation Accuracy:0.2529
Epoch #20: Loss:1.5769, Accuracy:0.2649, Validation Loss:1.5854, Validation Accuracy:0.2529
Epoch #21: Loss:1.5760, Accuracy:0.2604, Validation Loss:1.5861, Validation Accuracy:0.2381
Epoch #22: Loss:1.5761, Accuracy:0.2575, Validation Loss:1.5852, Validation Accuracy:0.2397
Epoch #23: Loss:1.5753, Accuracy:0.2641, Validation Loss:1.5836, Validation Accuracy:0.2545
Epoch #24: Loss:1.5749, Accuracy:0.2653, Validation Loss:1.5832, Validation Accuracy:0.2562
Epoch #25: Loss:1.5748, Accuracy:0.2591, Validation Loss:1.5842, Validation Accuracy:0.2430
Epoch #26: Loss:1.5742, Accuracy:0.2600, Validation Loss:1.5821, Validation Accuracy:0.2545
