======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf52.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.27 23:02:25 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '2Ov', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ce', 'sg', 'eo', 'yd', 'my', 'eg', 'ib', 'ek', 'by', 'mb', 'aa', 'ck', 'eb', 'ds', 'sk'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000002F08301F278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002F0EBEA6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7130, Accuracy:0.0830, Validation Loss:2.7064, Validation Accuracy:0.0837
Epoch #2: Loss:2.7028, Accuracy:0.0891, Validation Loss:2.6977, Validation Accuracy:0.0887
Epoch #3: Loss:2.6949, Accuracy:0.0891, Validation Loss:2.6905, Validation Accuracy:0.0887
Epoch #4: Loss:2.6883, Accuracy:0.0891, Validation Loss:2.6845, Validation Accuracy:0.0887
Epoch #5: Loss:2.6825, Accuracy:0.0891, Validation Loss:2.6797, Validation Accuracy:0.0887
Epoch #6: Loss:2.6787, Accuracy:0.0891, Validation Loss:2.6760, Validation Accuracy:0.0887
Epoch #7: Loss:2.6750, Accuracy:0.0891, Validation Loss:2.6733, Validation Accuracy:0.0887
Epoch #8: Loss:2.6726, Accuracy:0.0891, Validation Loss:2.6710, Validation Accuracy:0.0887
Epoch #9: Loss:2.6701, Accuracy:0.0891, Validation Loss:2.6689, Validation Accuracy:0.0887
Epoch #10: Loss:2.6681, Accuracy:0.0891, Validation Loss:2.6671, Validation Accuracy:0.0887
Epoch #11: Loss:2.6666, Accuracy:0.0895, Validation Loss:2.6655, Validation Accuracy:0.0903
Epoch #12: Loss:2.6650, Accuracy:0.1010, Validation Loss:2.6641, Validation Accuracy:0.1018
Epoch #13: Loss:2.6635, Accuracy:0.1023, Validation Loss:2.6626, Validation Accuracy:0.1018
Epoch #14: Loss:2.6620, Accuracy:0.1023, Validation Loss:2.6608, Validation Accuracy:0.1018
Epoch #15: Loss:2.6597, Accuracy:0.1023, Validation Loss:2.6585, Validation Accuracy:0.1018
Epoch #16: Loss:2.6571, Accuracy:0.1023, Validation Loss:2.6552, Validation Accuracy:0.1018
Epoch #17: Loss:2.6527, Accuracy:0.1023, Validation Loss:2.6503, Validation Accuracy:0.1018
Epoch #18: Loss:2.6471, Accuracy:0.1023, Validation Loss:2.6431, Validation Accuracy:0.1018
Epoch #19: Loss:2.6380, Accuracy:0.1035, Validation Loss:2.6325, Validation Accuracy:0.1051
Epoch #20: Loss:2.6248, Accuracy:0.1170, Validation Loss:2.6185, Validation Accuracy:0.1248
Epoch #21: Loss:2.6083, Accuracy:0.1335, Validation Loss:2.6029, Validation Accuracy:0.1429
Epoch #22: Loss:2.5917, Accuracy:0.1421, Validation Loss:2.5871, Validation Accuracy:0.1396
Epoch #23: Loss:2.5743, Accuracy:0.1478, Validation Loss:2.5739, Validation Accuracy:0.1445
Epoch #24: Loss:2.5590, Accuracy:0.1454, Validation Loss:2.5639, Validation Accuracy:0.1396
Epoch #25: Loss:2.5484, Accuracy:0.1417, Validation Loss:2.5554, Validation Accuracy:0.1494
Epoch #26: Loss:2.5372, Accuracy:0.1466, Validation Loss:2.5475, Validation Accuracy:0.1445
Epoch #27: Loss:2.5258, Accuracy:0.1474, Validation Loss:2.5396, Validation Accuracy:0.1429
Epoch #28: Loss:2.5177, Accuracy:0.1495, Validation Loss:2.5321, Validation Accuracy:0.1609
Epoch #29: Loss:2.5086, Accuracy:0.1671, Validation Loss:2.5251, Validation Accuracy:0.1823
Epoch #30: Loss:2.4974, Accuracy:0.1704, Validation Loss:2.5170, Validation Accuracy:0.1757
Epoch #31: Loss:2.4900, Accuracy:0.1737, Validation Loss:2.5103, Validation Accuracy:0.1905
Epoch #32: Loss:2.4811, Accuracy:0.1828, Validation Loss:2.5030, Validation Accuracy:0.1806
Epoch #33: Loss:2.4740, Accuracy:0.1815, Validation Loss:2.4954, Validation Accuracy:0.1790
Epoch #34: Loss:2.4648, Accuracy:0.1819, Validation Loss:2.4895, Validation Accuracy:0.1954
Epoch #35: Loss:2.4596, Accuracy:0.1971, Validation Loss:2.4854, Validation Accuracy:0.1757
Epoch #36: Loss:2.4519, Accuracy:0.1951, Validation Loss:2.4733, Validation Accuracy:0.2003
Epoch #37: Loss:2.4413, Accuracy:0.1984, Validation Loss:2.4642, Validation Accuracy:0.1872
Epoch #38: Loss:2.4271, Accuracy:0.2049, Validation Loss:2.4542, Validation Accuracy:0.2020
Epoch #39: Loss:2.4188, Accuracy:0.2131, Validation Loss:2.4465, Validation Accuracy:0.1823
Epoch #40: Loss:2.4094, Accuracy:0.2049, Validation Loss:2.4347, Validation Accuracy:0.2118
Epoch #41: Loss:2.4001, Accuracy:0.2152, Validation Loss:2.4251, Validation Accuracy:0.2020
Epoch #42: Loss:2.3900, Accuracy:0.2168, Validation Loss:2.4168, Validation Accuracy:0.1987
Epoch #43: Loss:2.3800, Accuracy:0.2119, Validation Loss:2.4059, Validation Accuracy:0.2085
Epoch #44: Loss:2.3708, Accuracy:0.2201, Validation Loss:2.3969, Validation Accuracy:0.2069
Epoch #45: Loss:2.3573, Accuracy:0.2255, Validation Loss:2.3853, Validation Accuracy:0.1954
Epoch #46: Loss:2.3480, Accuracy:0.2214, Validation Loss:2.3721, Validation Accuracy:0.2118
Epoch #47: Loss:2.3342, Accuracy:0.2337, Validation Loss:2.3659, Validation Accuracy:0.1954
Epoch #48: Loss:2.3204, Accuracy:0.2287, Validation Loss:2.3459, Validation Accuracy:0.2085
Epoch #49: Loss:2.3023, Accuracy:0.2390, Validation Loss:2.3341, Validation Accuracy:0.2069
Epoch #50: Loss:2.2898, Accuracy:0.2341, Validation Loss:2.3213, Validation Accuracy:0.2085
Epoch #51: Loss:2.2747, Accuracy:0.2431, Validation Loss:2.3098, Validation Accuracy:0.2200
Epoch #52: Loss:2.2569, Accuracy:0.2427, Validation Loss:2.2930, Validation Accuracy:0.2315
Epoch #53: Loss:2.2383, Accuracy:0.2456, Validation Loss:2.2734, Validation Accuracy:0.2332
Epoch #54: Loss:2.2204, Accuracy:0.2550, Validation Loss:2.2611, Validation Accuracy:0.2299
Epoch #55: Loss:2.2055, Accuracy:0.2604, Validation Loss:2.2565, Validation Accuracy:0.2315
Epoch #56: Loss:2.1970, Accuracy:0.2583, Validation Loss:2.2519, Validation Accuracy:0.2200
Epoch #57: Loss:2.1861, Accuracy:0.2530, Validation Loss:2.2234, Validation Accuracy:0.2348
Epoch #58: Loss:2.1674, Accuracy:0.2587, Validation Loss:2.2171, Validation Accuracy:0.2397
Epoch #59: Loss:2.1615, Accuracy:0.2616, Validation Loss:2.2178, Validation Accuracy:0.2430
Epoch #60: Loss:2.1570, Accuracy:0.2665, Validation Loss:2.2080, Validation Accuracy:0.2529
Epoch #61: Loss:2.1575, Accuracy:0.2698, Validation Loss:2.1842, Validation Accuracy:0.2512
Epoch #62: Loss:2.1347, Accuracy:0.2723, Validation Loss:2.1794, Validation Accuracy:0.2299
Epoch #63: Loss:2.1232, Accuracy:0.2793, Validation Loss:2.1792, Validation Accuracy:0.2627
Epoch #64: Loss:2.1157, Accuracy:0.2805, Validation Loss:2.1671, Validation Accuracy:0.2611
Epoch #65: Loss:2.1046, Accuracy:0.2875, Validation Loss:2.1560, Validation Accuracy:0.2594
Epoch #66: Loss:2.1006, Accuracy:0.2838, Validation Loss:2.1481, Validation Accuracy:0.2693
Epoch #67: Loss:2.0902, Accuracy:0.2875, Validation Loss:2.1420, Validation Accuracy:0.2791
Epoch #68: Loss:2.0816, Accuracy:0.2912, Validation Loss:2.1328, Validation Accuracy:0.2726
Epoch #69: Loss:2.0761, Accuracy:0.2932, Validation Loss:2.1256, Validation Accuracy:0.2726
Epoch #70: Loss:2.0668, Accuracy:0.2965, Validation Loss:2.1204, Validation Accuracy:0.2841
Epoch #71: Loss:2.0600, Accuracy:0.2973, Validation Loss:2.1330, Validation Accuracy:0.2775
Epoch #72: Loss:2.0649, Accuracy:0.2957, Validation Loss:2.1092, Validation Accuracy:0.2759
Epoch #73: Loss:2.0519, Accuracy:0.2998, Validation Loss:2.1085, Validation Accuracy:0.2791
Epoch #74: Loss:2.0462, Accuracy:0.3043, Validation Loss:2.1099, Validation Accuracy:0.2660
