======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf55.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.28 01:04:02 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Mags', 'channelMode': '3Ov', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ce', 'by', 'my', 'eg', 'mb', 'ib', 'sk', 'yd', 'sg', 'ck', 'ek', 'aa', 'ds', 'eb', 'eo'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Mags------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001408219E278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000140EDE76EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7131, Accuracy:0.0665, Validation Loss:2.7063, Validation Accuracy:0.0657
Epoch #2: Loss:2.7025, Accuracy:0.0665, Validation Loss:2.6971, Validation Accuracy:0.0887
Epoch #3: Loss:2.6939, Accuracy:0.0891, Validation Loss:2.6894, Validation Accuracy:0.0887
Epoch #4: Loss:2.6869, Accuracy:0.0891, Validation Loss:2.6831, Validation Accuracy:0.0887
Epoch #5: Loss:2.6813, Accuracy:0.0891, Validation Loss:2.6784, Validation Accuracy:0.0887
Epoch #6: Loss:2.6770, Accuracy:0.0977, Validation Loss:2.6750, Validation Accuracy:0.1018
Epoch #7: Loss:2.6740, Accuracy:0.1023, Validation Loss:2.6725, Validation Accuracy:0.1018
Epoch #8: Loss:2.6715, Accuracy:0.1023, Validation Loss:2.6705, Validation Accuracy:0.1018
Epoch #9: Loss:2.6697, Accuracy:0.1023, Validation Loss:2.6688, Validation Accuracy:0.1018
Epoch #10: Loss:2.6681, Accuracy:0.1023, Validation Loss:2.6673, Validation Accuracy:0.1018
Epoch #11: Loss:2.6668, Accuracy:0.1023, Validation Loss:2.6659, Validation Accuracy:0.1018
Epoch #12: Loss:2.6657, Accuracy:0.1023, Validation Loss:2.6648, Validation Accuracy:0.1018
Epoch #13: Loss:2.6645, Accuracy:0.1023, Validation Loss:2.6639, Validation Accuracy:0.1018
Epoch #14: Loss:2.6635, Accuracy:0.1023, Validation Loss:2.6630, Validation Accuracy:0.1018
Epoch #15: Loss:2.6627, Accuracy:0.1023, Validation Loss:2.6623, Validation Accuracy:0.1018
Epoch #16: Loss:2.6623, Accuracy:0.1023, Validation Loss:2.6617, Validation Accuracy:0.1018
Epoch #17: Loss:2.6615, Accuracy:0.1023, Validation Loss:2.6612, Validation Accuracy:0.1018
Epoch #18: Loss:2.6612, Accuracy:0.1023, Validation Loss:2.6607, Validation Accuracy:0.1018
Epoch #19: Loss:2.6606, Accuracy:0.1023, Validation Loss:2.6603, Validation Accuracy:0.1018
Epoch #20: Loss:2.6602, Accuracy:0.1023, Validation Loss:2.6599, Validation Accuracy:0.1018
Epoch #21: Loss:2.6598, Accuracy:0.1023, Validation Loss:2.6595, Validation Accuracy:0.1018
Epoch #22: Loss:2.6594, Accuracy:0.1023, Validation Loss:2.6591, Validation Accuracy:0.1018
Epoch #23: Loss:2.6590, Accuracy:0.1023, Validation Loss:2.6586, Validation Accuracy:0.1018
Epoch #24: Loss:2.6584, Accuracy:0.1023, Validation Loss:2.6578, Validation Accuracy:0.1018
Epoch #25: Loss:2.6575, Accuracy:0.1023, Validation Loss:2.6568, Validation Accuracy:0.1018
Epoch #26: Loss:2.6563, Accuracy:0.1023, Validation Loss:2.6554, Validation Accuracy:0.1018
Epoch #27: Loss:2.6549, Accuracy:0.1023, Validation Loss:2.6533, Validation Accuracy:0.1018
