======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf61.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.28 15:37:08 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': 'All', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['eo', 'yd', 'ce', 'ek', 'ib', 'by', 'eg', 'sk', 'eb', 'sg', 'mb', 'my', 'ds', 'aa', 'ck'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000014F036A3DD8>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000014F009D7EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7055, Accuracy:0.0604, Validation Loss:2.6993, Validation Accuracy:0.0936
Epoch #2: Loss:2.6964, Accuracy:0.0846, Validation Loss:2.6908, Validation Accuracy:0.1018
Epoch #3: Loss:2.6885, Accuracy:0.0994, Validation Loss:2.6834, Validation Accuracy:0.1133
Epoch #4: Loss:2.6820, Accuracy:0.1088, Validation Loss:2.6776, Validation Accuracy:0.1084
Epoch #5: Loss:2.6758, Accuracy:0.1109, Validation Loss:2.6721, Validation Accuracy:0.1199
Epoch #6: Loss:2.6707, Accuracy:0.1207, Validation Loss:2.6666, Validation Accuracy:0.1281
Epoch #7: Loss:2.6654, Accuracy:0.1195, Validation Loss:2.6599, Validation Accuracy:0.1199
Epoch #8: Loss:2.6595, Accuracy:0.1133, Validation Loss:2.6533, Validation Accuracy:0.1166
Epoch #9: Loss:2.6537, Accuracy:0.1154, Validation Loss:2.6478, Validation Accuracy:0.1330
Epoch #10: Loss:2.6476, Accuracy:0.1409, Validation Loss:2.6391, Validation Accuracy:0.1593
Epoch #11: Loss:2.6395, Accuracy:0.1618, Validation Loss:2.6284, Validation Accuracy:0.1691
Epoch #12: Loss:2.6295, Accuracy:0.1634, Validation Loss:2.6160, Validation Accuracy:0.1691
Epoch #13: Loss:2.6180, Accuracy:0.1598, Validation Loss:2.6015, Validation Accuracy:0.1708
Epoch #14: Loss:2.6050, Accuracy:0.1634, Validation Loss:2.5842, Validation Accuracy:0.1724
Epoch #15: Loss:2.5909, Accuracy:0.1606, Validation Loss:2.5687, Validation Accuracy:0.1708
Epoch #16: Loss:2.5766, Accuracy:0.1614, Validation Loss:2.5528, Validation Accuracy:0.1708
Epoch #17: Loss:2.5636, Accuracy:0.1610, Validation Loss:2.5348, Validation Accuracy:0.1724
Epoch #18: Loss:2.5526, Accuracy:0.1573, Validation Loss:2.5233, Validation Accuracy:0.1675
Epoch #19: Loss:2.5421, Accuracy:0.1602, Validation Loss:2.5105, Validation Accuracy:0.1741
Epoch #20: Loss:2.5331, Accuracy:0.1598, Validation Loss:2.4978, Validation Accuracy:0.1724
Epoch #21: Loss:2.5250, Accuracy:0.1643, Validation Loss:2.4969, Validation Accuracy:0.1724
Epoch #22: Loss:2.5192, Accuracy:0.1630, Validation Loss:2.4869, Validation Accuracy:0.1741
Epoch #23: Loss:2.5132, Accuracy:0.1684, Validation Loss:2.4830, Validation Accuracy:0.1757
Epoch #24: Loss:2.5077, Accuracy:0.1688, Validation Loss:2.4751, Validation Accuracy:0.1741
Epoch #25: Loss:2.5044, Accuracy:0.1692, Validation Loss:2.4725, Validation Accuracy:0.1691
Epoch #26: Loss:2.5009, Accuracy:0.1696, Validation Loss:2.4630, Validation Accuracy:0.1741
Epoch #27: Loss:2.4952, Accuracy:0.1721, Validation Loss:2.4848, Validation Accuracy:0.1708
Epoch #28: Loss:2.5173, Accuracy:0.1602, Validation Loss:2.5342, Validation Accuracy:0.1790
Epoch #29: Loss:2.5372, Accuracy:0.1548, Validation Loss:2.4574, Validation Accuracy:0.1790
Epoch #30: Loss:2.5124, Accuracy:0.1598, Validation Loss:2.4756, Validation Accuracy:0.1642
Epoch #31: Loss:2.5080, Accuracy:0.1606, Validation Loss:2.4555, Validation Accuracy:0.1741
Epoch #32: Loss:2.4930, Accuracy:0.1745, Validation Loss:2.4697, Validation Accuracy:0.1823
Epoch #33: Loss:2.4900, Accuracy:0.1749, Validation Loss:2.4507, Validation Accuracy:0.1741
Epoch #34: Loss:2.4868, Accuracy:0.1680, Validation Loss:2.4473, Validation Accuracy:0.1757
Epoch #35: Loss:2.4849, Accuracy:0.1676, Validation Loss:2.4512, Validation Accuracy:0.1757
Epoch #36: Loss:2.4818, Accuracy:0.1762, Validation Loss:2.4471, Validation Accuracy:0.1757
Epoch #37: Loss:2.4799, Accuracy:0.1721, Validation Loss:2.4419, Validation Accuracy:0.1741
Epoch #38: Loss:2.4776, Accuracy:0.1713, Validation Loss:2.4412, Validation Accuracy:0.1741
Epoch #39: Loss:2.4753, Accuracy:0.1733, Validation Loss:2.4425, Validation Accuracy:0.1741
Epoch #40: Loss:2.4730, Accuracy:0.1737, Validation Loss:2.4385, Validation Accuracy:0.1773
Epoch #41: Loss:2.4703, Accuracy:0.1725, Validation Loss:2.4377, Validation Accuracy:0.1823
Epoch #42: Loss:2.4693, Accuracy:0.1762, Validation Loss:2.4365, Validation Accuracy:0.1790
Epoch #43: Loss:2.4676, Accuracy:0.1737, Validation Loss:2.4337, Validation Accuracy:0.1806
Epoch #44: Loss:2.4675, Accuracy:0.1745, Validation Loss:2.4340, Validation Accuracy:0.1724
Epoch #45: Loss:2.4655, Accuracy:0.1729, Validation Loss:2.4341, Validation Accuracy:0.1741
Epoch #46: Loss:2.4629, Accuracy:0.1770, Validation Loss:2.4301, Validation Accuracy:0.1724
Epoch #47: Loss:2.4630, Accuracy:0.1733, Validation Loss:2.4332, Validation Accuracy:0.1757
Epoch #48: Loss:2.4615, Accuracy:0.1749, Validation Loss:2.4291, Validation Accuracy:0.1773
Epoch #49: Loss:2.4601, Accuracy:0.1749, Validation Loss:2.4294, Validation Accuracy:0.1757
Epoch #50: Loss:2.4613, Accuracy:0.1762, Validation Loss:2.4273, Validation Accuracy:0.1790
Epoch #51: Loss:2.4601, Accuracy:0.1696, Validation Loss:2.4257, Validation Accuracy:0.1757
Epoch #52: Loss:2.4591, Accuracy:0.1713, Validation Loss:2.4291, Validation Accuracy:0.1757
Epoch #53: Loss:2.4582, Accuracy:0.1696, Validation Loss:2.4237, Validation Accuracy:0.1757
Epoch #54: Loss:2.4593, Accuracy:0.1725, Validation Loss:2.4265, Validation Accuracy:0.1741
Epoch #55: Loss:2.4582, Accuracy:0.1725, Validation Loss:2.4257, Validation Accuracy:0.1757
Epoch #56: Loss:2.4571, Accuracy:0.1692, Validation Loss:2.4274, Validation Accuracy:0.1806
Epoch #57: Loss:2.4565, Accuracy:0.1692, Validation Loss:2.4269, Validation Accuracy:0.1741
Epoch #58: Loss:2.4550, Accuracy:0.1745, Validation Loss:2.4270, Validation Accuracy:0.1691
Epoch #59: Loss:2.4545, Accuracy:0.1733, Validation Loss:2.4260, Validation Accuracy:0.1724
Epoch #60: Loss:2.4543, Accuracy:0.1737, Validation Loss:2.4258, Validation Accuracy:0.1741
Epoch #61: Loss:2.4512, Accuracy:0.1782, Validation Loss:2.4264, Validation Accuracy:0.1856
