======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf62.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.28 16:17:49 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': 'All', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['05', '03', '04', '01', '02'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000026F82CABE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000026FFE8B6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6095, Accuracy:0.2329, Validation Loss:1.6084, Validation Accuracy:0.2332
Epoch #2: Loss:1.6063, Accuracy:0.2329, Validation Loss:1.6060, Validation Accuracy:0.2332
Epoch #3: Loss:1.6057, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #4: Loss:1.6054, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #5: Loss:1.6049, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #6: Loss:1.6048, Accuracy:0.2329, Validation Loss:1.6042, Validation Accuracy:0.2332
Epoch #7: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6040, Validation Accuracy:0.2332
Epoch #8: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6038, Validation Accuracy:0.2332
Epoch #9: Loss:1.6040, Accuracy:0.2329, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #10: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6037, Validation Accuracy:0.2332
Epoch #11: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #12: Loss:1.6037, Accuracy:0.2329, Validation Loss:1.6034, Validation Accuracy:0.2332
Epoch #13: Loss:1.6037, Accuracy:0.2329, Validation Loss:1.6031, Validation Accuracy:0.2332
Epoch #14: Loss:1.6037, Accuracy:0.2329, Validation Loss:1.6029, Validation Accuracy:0.2332
Epoch #15: Loss:1.6034, Accuracy:0.2329, Validation Loss:1.6027, Validation Accuracy:0.2332
Epoch #16: Loss:1.6033, Accuracy:0.2329, Validation Loss:1.6025, Validation Accuracy:0.2332
Epoch #17: Loss:1.6031, Accuracy:0.2374, Validation Loss:1.6025, Validation Accuracy:0.2365
Epoch #18: Loss:1.6028, Accuracy:0.2390, Validation Loss:1.6023, Validation Accuracy:0.2381
Epoch #19: Loss:1.6025, Accuracy:0.2394, Validation Loss:1.6020, Validation Accuracy:0.2348
Epoch #20: Loss:1.6026, Accuracy:0.2394, Validation Loss:1.6019, Validation Accuracy:0.2381
Epoch #21: Loss:1.6024, Accuracy:0.2394, Validation Loss:1.6017, Validation Accuracy:0.2365
Epoch #22: Loss:1.6021, Accuracy:0.2419, Validation Loss:1.6015, Validation Accuracy:0.2447
Epoch #23: Loss:1.6022, Accuracy:0.2427, Validation Loss:1.6014, Validation Accuracy:0.2463
Epoch #24: Loss:1.6017, Accuracy:0.2435, Validation Loss:1.6011, Validation Accuracy:0.2463
Epoch #25: Loss:1.6017, Accuracy:0.2431, Validation Loss:1.6014, Validation Accuracy:0.2447
Epoch #26: Loss:1.6017, Accuracy:0.2427, Validation Loss:1.6011, Validation Accuracy:0.2463
Epoch #27: Loss:1.6013, Accuracy:0.2431, Validation Loss:1.6005, Validation Accuracy:0.2463
Epoch #28: Loss:1.6012, Accuracy:0.2431, Validation Loss:1.6003, Validation Accuracy:0.2463
Epoch #29: Loss:1.6012, Accuracy:0.2444, Validation Loss:1.6005, Validation Accuracy:0.2447
Epoch #30: Loss:1.6014, Accuracy:0.2419, Validation Loss:1.6006, Validation Accuracy:0.2447
Epoch #31: Loss:1.6008, Accuracy:0.2448, Validation Loss:1.6006, Validation Accuracy:0.2430
Epoch #32: Loss:1.6009, Accuracy:0.2435, Validation Loss:1.6006, Validation Accuracy:0.2447
Epoch #33: Loss:1.6004, Accuracy:0.2456, Validation Loss:1.6003, Validation Accuracy:0.2447
Epoch #34: Loss:1.6005, Accuracy:0.2444, Validation Loss:1.6003, Validation Accuracy:0.2447
Epoch #35: Loss:1.6002, Accuracy:0.2435, Validation Loss:1.6008, Validation Accuracy:0.2447
Epoch #36: Loss:1.6009, Accuracy:0.2452, Validation Loss:1.6003, Validation Accuracy:0.2430
Epoch #37: Loss:1.5998, Accuracy:0.2452, Validation Loss:1.6007, Validation Accuracy:0.2447
Epoch #38: Loss:1.5996, Accuracy:0.2448, Validation Loss:1.6006, Validation Accuracy:0.2414
Epoch #39: Loss:1.5996, Accuracy:0.2398, Validation Loss:1.6009, Validation Accuracy:0.2315
Epoch #40: Loss:1.5994, Accuracy:0.2419, Validation Loss:1.6008, Validation Accuracy:0.2430
Epoch #41: Loss:1.5992, Accuracy:0.2468, Validation Loss:1.6008, Validation Accuracy:0.2414
Epoch #42: Loss:1.5986, Accuracy:0.2439, Validation Loss:1.6009, Validation Accuracy:0.2414
Epoch #43: Loss:1.5986, Accuracy:0.2439, Validation Loss:1.6010, Validation Accuracy:0.2414
Epoch #44: Loss:1.5987, Accuracy:0.2411, Validation Loss:1.6011, Validation Accuracy:0.2381
Epoch #45: Loss:1.5987, Accuracy:0.2444, Validation Loss:1.6011, Validation Accuracy:0.2348
Epoch #46: Loss:1.5982, Accuracy:0.2439, Validation Loss:1.6012, Validation Accuracy:0.2332
Epoch #47: Loss:1.5985, Accuracy:0.2460, Validation Loss:1.6015, Validation Accuracy:0.2430
Epoch #48: Loss:1.5980, Accuracy:0.2460, Validation Loss:1.6014, Validation Accuracy:0.2348
Epoch #49: Loss:1.5981, Accuracy:0.2472, Validation Loss:1.6014, Validation Accuracy:0.2430
Epoch #50: Loss:1.5982, Accuracy:0.2480, Validation Loss:1.6017, Validation Accuracy:0.2332
Epoch #51: Loss:1.5985, Accuracy:0.2423, Validation Loss:1.6024, Validation Accuracy:0.2447
Epoch #52: Loss:1.5978, Accuracy:0.2480, Validation Loss:1.6017, Validation Accuracy:0.2315
Epoch #53: Loss:1.5972, Accuracy:0.2485, Validation Loss:1.6014, Validation Accuracy:0.2348
Epoch #54: Loss:1.5982, Accuracy:0.2468, Validation Loss:1.6024, Validation Accuracy:0.2447
Epoch #55: Loss:1.5975, Accuracy:0.2468, Validation Loss:1.6025, Validation Accuracy:0.2365
Epoch #56: Loss:1.5973, Accuracy:0.2464, Validation Loss:1.6020, Validation Accuracy:0.2447
Epoch #57: Loss:1.5973, Accuracy:0.2468, Validation Loss:1.6008, Validation Accuracy:0.2447
Epoch #58: Loss:1.5971, Accuracy:0.2460, Validation Loss:1.6026, Validation Accuracy:0.2381
Epoch #59: Loss:1.5994, Accuracy:0.2464, Validation Loss:1.6035, Validation Accuracy:0.2365
Epoch #60: Loss:1.6085, Accuracy:0.2337, Validation Loss:1.6066, Validation Accuracy:0.2348
Epoch #61: Loss:1.6028, Accuracy:0.2275, Validation Loss:1.6086, Validation Accuracy:0.1987
