======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf71.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.28 22:16:53 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': 'AllShfUni', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['03', '01', '05', '04', '02'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001A20F1BBE80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001A20C896EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6186, Accuracy:0.1873, Validation Loss:1.6135, Validation Accuracy:0.1856
Epoch #2: Loss:1.6105, Accuracy:0.2123, Validation Loss:1.6092, Validation Accuracy:0.2332
Epoch #3: Loss:1.6075, Accuracy:0.2329, Validation Loss:1.6063, Validation Accuracy:0.2332
Epoch #4: Loss:1.6062, Accuracy:0.2329, Validation Loss:1.6060, Validation Accuracy:0.2332
Epoch #5: Loss:1.6059, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #6: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #7: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #8: Loss:1.6051, Accuracy:0.2329, Validation Loss:1.6049, Validation Accuracy:0.2332
Epoch #9: Loss:1.6049, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #10: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #11: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6049, Validation Accuracy:0.2332
Epoch #12: Loss:1.6049, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #13: Loss:1.6050, Accuracy:0.2329, Validation Loss:1.6046, Validation Accuracy:0.2332
Epoch #14: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #15: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6043, Validation Accuracy:0.2332
Epoch #16: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6038, Validation Accuracy:0.2332
Epoch #17: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #18: Loss:1.6042, Accuracy:0.2329, Validation Loss:1.6034, Validation Accuracy:0.2332
Epoch #19: Loss:1.6039, Accuracy:0.2329, Validation Loss:1.6032, Validation Accuracy:0.2332
Epoch #20: Loss:1.6039, Accuracy:0.2329, Validation Loss:1.6030, Validation Accuracy:0.2332
Epoch #21: Loss:1.6036, Accuracy:0.2329, Validation Loss:1.6025, Validation Accuracy:0.2332
Epoch #22: Loss:1.6036, Accuracy:0.2329, Validation Loss:1.6023, Validation Accuracy:0.2397
Epoch #23: Loss:1.6033, Accuracy:0.2370, Validation Loss:1.6018, Validation Accuracy:0.2397
Epoch #24: Loss:1.6034, Accuracy:0.2398, Validation Loss:1.6016, Validation Accuracy:0.2381
Epoch #25: Loss:1.6031, Accuracy:0.2386, Validation Loss:1.6014, Validation Accuracy:0.2397
Epoch #26: Loss:1.6029, Accuracy:0.2390, Validation Loss:1.6012, Validation Accuracy:0.2381
Epoch #27: Loss:1.6028, Accuracy:0.2398, Validation Loss:1.6011, Validation Accuracy:0.2365
Epoch #28: Loss:1.6027, Accuracy:0.2411, Validation Loss:1.6009, Validation Accuracy:0.2397
Epoch #29: Loss:1.6026, Accuracy:0.2435, Validation Loss:1.6007, Validation Accuracy:0.2397
Epoch #30: Loss:1.6025, Accuracy:0.2431, Validation Loss:1.6006, Validation Accuracy:0.2397
Epoch #31: Loss:1.6025, Accuracy:0.2435, Validation Loss:1.6006, Validation Accuracy:0.2397
Epoch #32: Loss:1.6025, Accuracy:0.2435, Validation Loss:1.6007, Validation Accuracy:0.2397
Epoch #33: Loss:1.6022, Accuracy:0.2435, Validation Loss:1.6007, Validation Accuracy:0.2332
Epoch #34: Loss:1.6022, Accuracy:0.2444, Validation Loss:1.6007, Validation Accuracy:0.2315
Epoch #35: Loss:1.6023, Accuracy:0.2435, Validation Loss:1.6008, Validation Accuracy:0.2315
Epoch #36: Loss:1.6021, Accuracy:0.2431, Validation Loss:1.6008, Validation Accuracy:0.2365
Epoch #37: Loss:1.6021, Accuracy:0.2427, Validation Loss:1.6008, Validation Accuracy:0.2365
Epoch #38: Loss:1.6018, Accuracy:0.2431, Validation Loss:1.6003, Validation Accuracy:0.2381
Epoch #39: Loss:1.6025, Accuracy:0.2439, Validation Loss:1.6005, Validation Accuracy:0.2299
Epoch #40: Loss:1.6017, Accuracy:0.2435, Validation Loss:1.6005, Validation Accuracy:0.2365
Epoch #41: Loss:1.6016, Accuracy:0.2427, Validation Loss:1.6006, Validation Accuracy:0.2365
Epoch #42: Loss:1.6014, Accuracy:0.2419, Validation Loss:1.6006, Validation Accuracy:0.2348
Epoch #43: Loss:1.6012, Accuracy:0.2423, Validation Loss:1.6004, Validation Accuracy:0.2315
Epoch #44: Loss:1.6012, Accuracy:0.2435, Validation Loss:1.6003, Validation Accuracy:0.2315
Epoch #45: Loss:1.6011, Accuracy:0.2435, Validation Loss:1.6004, Validation Accuracy:0.2315
Epoch #46: Loss:1.6010, Accuracy:0.2435, Validation Loss:1.6003, Validation Accuracy:0.2315
Epoch #47: Loss:1.6013, Accuracy:0.2435, Validation Loss:1.6004, Validation Accuracy:0.2315
Epoch #48: Loss:1.6011, Accuracy:0.2435, Validation Loss:1.6007, Validation Accuracy:0.2365
Epoch #49: Loss:1.6011, Accuracy:0.2415, Validation Loss:1.6005, Validation Accuracy:0.2365
Epoch #50: Loss:1.6009, Accuracy:0.2407, Validation Loss:1.6003, Validation Accuracy:0.2381
Epoch #51: Loss:1.6007, Accuracy:0.2423, Validation Loss:1.6003, Validation Accuracy:0.2299
