======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf73.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.28 23:38:13 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': 'AllShfRnd', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['mb', 'yd', 'eg', 'eo', 'eb', 'ck', 'sk', 'ib', 'by', 'ds', 'sg', 'my', 'aa', 'ek', 'ce'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000014604C7D278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000014660E46EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7098, Accuracy:0.0842, Validation Loss:2.6987, Validation Accuracy:0.1034
Epoch #2: Loss:2.6940, Accuracy:0.1018, Validation Loss:2.6883, Validation Accuracy:0.0788
Epoch #3: Loss:2.6842, Accuracy:0.0797, Validation Loss:2.6792, Validation Accuracy:0.0936
Epoch #4: Loss:2.6749, Accuracy:0.1162, Validation Loss:2.6706, Validation Accuracy:0.1232
Epoch #5: Loss:2.6654, Accuracy:0.1240, Validation Loss:2.6591, Validation Accuracy:0.1232
Epoch #6: Loss:2.6532, Accuracy:0.1199, Validation Loss:2.6484, Validation Accuracy:0.1199
Epoch #7: Loss:2.6397, Accuracy:0.1265, Validation Loss:2.6375, Validation Accuracy:0.0985
Epoch #8: Loss:2.6273, Accuracy:0.1294, Validation Loss:2.6256, Validation Accuracy:0.1199
Epoch #9: Loss:2.6145, Accuracy:0.1429, Validation Loss:2.6057, Validation Accuracy:0.1314
Epoch #10: Loss:2.5975, Accuracy:0.1388, Validation Loss:2.5820, Validation Accuracy:0.1691
Epoch #11: Loss:2.5690, Accuracy:0.1622, Validation Loss:2.5625, Validation Accuracy:0.1609
Epoch #12: Loss:2.5460, Accuracy:0.1671, Validation Loss:2.5402, Validation Accuracy:0.1478
Epoch #13: Loss:2.5323, Accuracy:0.1593, Validation Loss:2.5273, Validation Accuracy:0.1527
Epoch #14: Loss:2.5400, Accuracy:0.1655, Validation Loss:2.5401, Validation Accuracy:0.1790
Epoch #15: Loss:2.5287, Accuracy:0.1651, Validation Loss:2.5329, Validation Accuracy:0.1593
Epoch #16: Loss:2.5215, Accuracy:0.1626, Validation Loss:2.5168, Validation Accuracy:0.1626
Epoch #17: Loss:2.5101, Accuracy:0.1639, Validation Loss:2.5111, Validation Accuracy:0.1527
Epoch #18: Loss:2.5042, Accuracy:0.1630, Validation Loss:2.5034, Validation Accuracy:0.1626
Epoch #19: Loss:2.4964, Accuracy:0.1634, Validation Loss:2.4941, Validation Accuracy:0.1790
Epoch #20: Loss:2.4849, Accuracy:0.1737, Validation Loss:2.4903, Validation Accuracy:0.1691
Epoch #21: Loss:2.4827, Accuracy:0.1639, Validation Loss:2.4815, Validation Accuracy:0.1675
Epoch #22: Loss:2.4789, Accuracy:0.1622, Validation Loss:2.4730, Validation Accuracy:0.1724
Epoch #23: Loss:2.4737, Accuracy:0.1754, Validation Loss:2.4781, Validation Accuracy:0.1741
Epoch #24: Loss:2.4792, Accuracy:0.1688, Validation Loss:2.4763, Validation Accuracy:0.1790
Epoch #25: Loss:2.4770, Accuracy:0.1688, Validation Loss:2.4736, Validation Accuracy:0.1806
Epoch #26: Loss:2.4752, Accuracy:0.1647, Validation Loss:2.4711, Validation Accuracy:0.1757
Epoch #27: Loss:2.4737, Accuracy:0.1741, Validation Loss:2.4692, Validation Accuracy:0.1757
