======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf77.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 02:20:51 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': '0Ov', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['03', '01', '05', '02', '04'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001A3026FCE80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001A350146EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6080, Accuracy:0.2259, Validation Loss:1.6060, Validation Accuracy:0.2332
Epoch #2: Loss:1.6064, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #3: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2332
Epoch #4: Loss:1.6051, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #5: Loss:1.6041, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #6: Loss:1.6038, Accuracy:0.2329, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #7: Loss:1.6034, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #8: Loss:1.6028, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #9: Loss:1.6022, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #10: Loss:1.6017, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2348
Epoch #11: Loss:1.6014, Accuracy:0.2390, Validation Loss:1.6051, Validation Accuracy:0.2348
Epoch #12: Loss:1.6009, Accuracy:0.2452, Validation Loss:1.6049, Validation Accuracy:0.2348
Epoch #13: Loss:1.6009, Accuracy:0.2452, Validation Loss:1.6052, Validation Accuracy:0.2348
Epoch #14: Loss:1.6004, Accuracy:0.2448, Validation Loss:1.6056, Validation Accuracy:0.2348
Epoch #15: Loss:1.6002, Accuracy:0.2448, Validation Loss:1.6070, Validation Accuracy:0.2348
Epoch #16: Loss:1.6003, Accuracy:0.2456, Validation Loss:1.6079, Validation Accuracy:0.2332
Epoch #17: Loss:1.6014, Accuracy:0.2411, Validation Loss:1.6062, Validation Accuracy:0.2348
Epoch #18: Loss:1.6002, Accuracy:0.2439, Validation Loss:1.6073, Validation Accuracy:0.2299
Epoch #19: Loss:1.5998, Accuracy:0.2464, Validation Loss:1.6068, Validation Accuracy:0.2381
Epoch #20: Loss:1.5994, Accuracy:0.2435, Validation Loss:1.6071, Validation Accuracy:0.2348
Epoch #21: Loss:1.5992, Accuracy:0.2444, Validation Loss:1.6074, Validation Accuracy:0.2332
Epoch #22: Loss:1.5988, Accuracy:0.2480, Validation Loss:1.6079, Validation Accuracy:0.2365
Epoch #23: Loss:1.5989, Accuracy:0.2476, Validation Loss:1.6079, Validation Accuracy:0.2381
Epoch #24: Loss:1.5986, Accuracy:0.2468, Validation Loss:1.6075, Validation Accuracy:0.2381
Epoch #25: Loss:1.5985, Accuracy:0.2468, Validation Loss:1.6076, Validation Accuracy:0.2381
Epoch #26: Loss:1.5981, Accuracy:0.2480, Validation Loss:1.6075, Validation Accuracy:0.2332
Epoch #27: Loss:1.5987, Accuracy:0.2456, Validation Loss:1.6074, Validation Accuracy:0.2365
Epoch #28: Loss:1.5980, Accuracy:0.2472, Validation Loss:1.6080, Validation Accuracy:0.2348
Epoch #29: Loss:1.5976, Accuracy:0.2456, Validation Loss:1.6075, Validation Accuracy:0.2414
Epoch #30: Loss:1.5972, Accuracy:0.2476, Validation Loss:1.6076, Validation Accuracy:0.2348
Epoch #31: Loss:1.5973, Accuracy:0.2480, Validation Loss:1.6093, Validation Accuracy:0.2365
Epoch #32: Loss:1.5965, Accuracy:0.2472, Validation Loss:1.6079, Validation Accuracy:0.2315
Epoch #33: Loss:1.5969, Accuracy:0.2439, Validation Loss:1.6087, Validation Accuracy:0.2282
Epoch #34: Loss:1.5964, Accuracy:0.2444, Validation Loss:1.6086, Validation Accuracy:0.2299
Epoch #35: Loss:1.5959, Accuracy:0.2468, Validation Loss:1.6086, Validation Accuracy:0.2348
Epoch #36: Loss:1.5967, Accuracy:0.2435, Validation Loss:1.6080, Validation Accuracy:0.2332
Epoch #37: Loss:1.5964, Accuracy:0.2439, Validation Loss:1.6086, Validation Accuracy:0.2250
Epoch #38: Loss:1.5964, Accuracy:0.2464, Validation Loss:1.6079, Validation Accuracy:0.2299
Epoch #39: Loss:1.5961, Accuracy:0.2472, Validation Loss:1.6080, Validation Accuracy:0.2250
Epoch #40: Loss:1.5961, Accuracy:0.2485, Validation Loss:1.6087, Validation Accuracy:0.2299
Epoch #41: Loss:1.5957, Accuracy:0.2489, Validation Loss:1.6086, Validation Accuracy:0.2315
Epoch #42: Loss:1.5958, Accuracy:0.2468, Validation Loss:1.6092, Validation Accuracy:0.2299
Epoch #43: Loss:1.5958, Accuracy:0.2456, Validation Loss:1.6095, Validation Accuracy:0.2315
Epoch #44: Loss:1.5956, Accuracy:0.2476, Validation Loss:1.6100, Validation Accuracy:0.2315
Epoch #45: Loss:1.5958, Accuracy:0.2476, Validation Loss:1.6096, Validation Accuracy:0.2332
Epoch #46: Loss:1.5959, Accuracy:0.2509, Validation Loss:1.6102, Validation Accuracy:0.2365
Epoch #47: Loss:1.5956, Accuracy:0.2493, Validation Loss:1.6094, Validation Accuracy:0.2365
Epoch #48: Loss:1.5955, Accuracy:0.2505, Validation Loss:1.6094, Validation Accuracy:0.2315
Epoch #49: Loss:1.5956, Accuracy:0.2501, Validation Loss:1.6094, Validation Accuracy:0.2365
Epoch #50: Loss:1.5955, Accuracy:0.2513, Validation Loss:1.6089, Validation Accuracy:0.2332
Epoch #51: Loss:1.5961, Accuracy:0.2522, Validation Loss:1.6087, Validation Accuracy:0.2332
Epoch #52: Loss:1.5952, Accuracy:0.2546, Validation Loss:1.6093, Validation Accuracy:0.2381
Epoch #53: Loss:1.5949, Accuracy:0.2534, Validation Loss:1.6084, Validation Accuracy:0.2332
Epoch #54: Loss:1.5950, Accuracy:0.2517, Validation Loss:1.6084, Validation Accuracy:0.2332
Epoch #55: Loss:1.5943, Accuracy:0.2534, Validation Loss:1.6096, Validation Accuracy:0.2381
Epoch #56: Loss:1.5949, Accuracy:0.2526, Validation Loss:1.6092, Validation Accuracy:0.2332
Epoch #57: Loss:1.5945, Accuracy:0.2522, Validation Loss:1.6091, Validation Accuracy:0.2332
Epoch #58: Loss:1.5945, Accuracy:0.2538, Validation Loss:1.6097, Validation Accuracy:0.2381
Epoch #59: Loss:1.5947, Accuracy:0.2530, Validation Loss:1.6092, Validation Accuracy:0.2332
Epoch #60: Loss:1.5939, Accuracy:0.2538, Validation Loss:1.6094, Validation Accuracy:0.2332
Epoch #61: Loss:1.5940, Accuracy:0.2546, Validation Loss:1.6098, Validation Accuracy:0.2315
Epoch #62: Loss:1.5936, Accuracy:0.2546, Validation Loss:1.6102, Validation Accuracy:0.2266
Epoch #63: Loss:1.5937, Accuracy:0.2559, Validation Loss:1.6097, Validation Accuracy:0.2299
Epoch #64: Loss:1.5947, Accuracy:0.2509, Validation Loss:1.6093, Validation Accuracy:0.2299
Epoch #65: Loss:1.5942, Accuracy:0.2526, Validation Loss:1.6102, Validation Accuracy:0.2348
Epoch #66: Loss:1.5940, Accuracy:0.2542, Validation Loss:1.6097, Validation Accuracy:0.2299
Epoch #67: Loss:1.5939, Accuracy:0.2542, Validation Loss:1.6100, Validation Accuracy:0.2315
Epoch #68: Loss:1.5934, Accuracy:0.2542, Validation Loss:1.6100, Validation Accuracy:0.2282
Epoch #69: Loss:1.5944, Accuracy:0.2505, Validation Loss:1.6103, Validation Accuracy:0.2282
Epoch #70: Loss:1.5934, Accuracy:0.2546, Validation Loss:1.6097, Validation Accuracy:0.2299
Epoch #71: Loss:1.5939, Accuracy:0.2534, Validation Loss:1.6100, Validation Accuracy:0.2299
Epoch #72: Loss:1.5933, Accuracy:0.2546, Validation Loss:1.6104, Validation Accuracy:0.2282
Epoch #73: Loss:1.5933, Accuracy:0.2550, Validation Loss:1.6101, Validation Accuracy:0.2299
Epoch #74: Loss:1.5930, Accuracy:0.2546, Validation Loss:1.6097, Validation Accuracy:0.2315
Epoch #75: Loss:1.5933, Accuracy:0.2522, Validation Loss:1.6098, Validation Accuracy:0.2315
Epoch #76: Loss:1.5934, Accuracy:0.2546, Validation Loss:1.6107, Validation Accuracy:0.2282
Epoch #77: Loss:1.5930, Accuracy:0.2559, Validation Loss:1.6098, Validation Accuracy:0.2332
Epoch #78: Loss:1.5931, Accuracy:0.2546, Validation Loss:1.6100, Validation Accuracy:0.2282
Epoch #79: Loss:1.5931, Accuracy:0.2559, Validation Loss:1.6102, Validation Accuracy:0.2299
Epoch #80: Loss:1.5929, Accuracy:0.2526, Validation Loss:1.6095, Validation Accuracy:0.2315
Epoch #81: Loss:1.5927, Accuracy:0.2546, Validation Loss:1.6096, Validation Accuracy:0.2299
Epoch #82: Loss:1.5926, Accuracy:0.2550, Validation Loss:1.6101, Validation Accuracy:0.2282
Epoch #83: Loss:1.5928, Accuracy:0.2550, Validation Loss:1.6101, Validation Accuracy:0.2282
Epoch #84: Loss:1.5926, Accuracy:0.2542, Validation Loss:1.6097, Validation Accuracy:0.2332
Epoch #85: Loss:1.5935, Accuracy:0.2509, Validation Loss:1.6103, Validation Accuracy:0.2315
Epoch #86: Loss:1.5934, Accuracy:0.2526, Validation Loss:1.6093, Validation Accuracy:0.2365
Epoch #87: Loss:1.5940, Accuracy:0.2526, Validation Loss:1.6100, Validation Accuracy:0.2282
Epoch #88: Loss:1.5924, Accuracy:0.2542, Validation Loss:1.6092, Validation Accuracy:0.2332
Epoch #89: Loss:1.5934, Accuracy:0.2505, Validation Loss:1.6091, Validation Accuracy:0.2332
Epoch #90: Loss:1.5924, Accuracy:0.2559, Validation Loss:1.6109, Validation Accuracy:0.2250
Epoch #91: Loss:1.5924, Accuracy:0.2509, Validation Loss:1.6091, Validation Accuracy:0.2299
Epoch #92: Loss:1.5923, Accuracy:0.2530, Validation Loss:1.6091, Validation Accuracy:0.2365
Epoch #93: Loss:1.5926, Accuracy:0.2513, Validation Loss:1.6096, Validation Accuracy:0.2315
Epoch #94: Loss:1.5920, Accuracy:0.2550, Validation Loss:1.6100, Validation Accuracy:0.2315
Epoch #95: Loss:1.5921, Accuracy:0.2550, Validation Loss:1.6094, Validation Accuracy:0.2332
Epoch #96: Loss:1.5923, Accuracy:0.2497, Validation Loss:1.6094, Validation Accuracy:0.2365
Epoch #97: Loss:1.5917, Accuracy:0.2542, Validation Loss:1.6102, Validation Accuracy:0.2299
Epoch #98: Loss:1.5920, Accuracy:0.2567, Validation Loss:1.6099, Validation Accuracy:0.2299
Epoch #99: Loss:1.5917, Accuracy:0.2554, Validation Loss:1.6099, Validation Accuracy:0.2315
Epoch #100: Loss:1.5918, Accuracy:0.2550, Validation Loss:1.6099, Validation Accuracy:0.2266
Epoch #101: Loss:1.5920, Accuracy:0.2485, Validation Loss:1.6096, Validation Accuracy:0.2282
Epoch #102: Loss:1.5915, Accuracy:0.2517, Validation Loss:1.6098, Validation Accuracy:0.2315
Epoch #103: Loss:1.5918, Accuracy:0.2546, Validation Loss:1.6101, Validation Accuracy:0.2282
