======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf79.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 03:41:56 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': '1Ov', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['by', 'eg', 'ck', 'ek', 'eb', 'sg', 'ib', 'aa', 'yd', 'ds', 'mb', 'sk', 'ce', 'eo', 'my'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x00000207BE32D278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000207BBD86EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7055, Accuracy:0.0690, Validation Loss:2.7014, Validation Accuracy:0.0854
Epoch #2: Loss:2.6981, Accuracy:0.0949, Validation Loss:2.6933, Validation Accuracy:0.0920
Epoch #3: Loss:2.6904, Accuracy:0.0928, Validation Loss:2.6906, Validation Accuracy:0.0887
Epoch #4: Loss:2.6879, Accuracy:0.0801, Validation Loss:2.6871, Validation Accuracy:0.0837
Epoch #5: Loss:2.6845, Accuracy:0.0830, Validation Loss:2.6814, Validation Accuracy:0.0903
Epoch #6: Loss:2.6783, Accuracy:0.0916, Validation Loss:2.6750, Validation Accuracy:0.1018
Epoch #7: Loss:2.6727, Accuracy:0.0998, Validation Loss:2.6692, Validation Accuracy:0.1067
Epoch #8: Loss:2.6642, Accuracy:0.1023, Validation Loss:2.6585, Validation Accuracy:0.1182
Epoch #9: Loss:2.6515, Accuracy:0.1248, Validation Loss:2.6472, Validation Accuracy:0.1429
Epoch #10: Loss:2.6441, Accuracy:0.1351, Validation Loss:2.6412, Validation Accuracy:0.1445
Epoch #11: Loss:2.6354, Accuracy:0.1363, Validation Loss:2.6278, Validation Accuracy:0.1593
Epoch #12: Loss:2.6187, Accuracy:0.1569, Validation Loss:2.6107, Validation Accuracy:0.1626
Epoch #13: Loss:2.6010, Accuracy:0.1639, Validation Loss:2.5946, Validation Accuracy:0.1642
Epoch #14: Loss:2.5829, Accuracy:0.1602, Validation Loss:2.5799, Validation Accuracy:0.1626
Epoch #15: Loss:2.5706, Accuracy:0.1622, Validation Loss:2.5632, Validation Accuracy:0.1609
Epoch #16: Loss:2.5534, Accuracy:0.1622, Validation Loss:2.5527, Validation Accuracy:0.1609
Epoch #17: Loss:2.5434, Accuracy:0.1647, Validation Loss:2.5474, Validation Accuracy:0.1609
Epoch #18: Loss:2.5375, Accuracy:0.1606, Validation Loss:2.5356, Validation Accuracy:0.1691
Epoch #19: Loss:2.5251, Accuracy:0.1667, Validation Loss:2.5521, Validation Accuracy:0.1576
Epoch #20: Loss:2.5244, Accuracy:0.1614, Validation Loss:2.5280, Validation Accuracy:0.1593
Epoch #21: Loss:2.5098, Accuracy:0.1692, Validation Loss:2.5152, Validation Accuracy:0.1642
Epoch #22: Loss:2.5045, Accuracy:0.1688, Validation Loss:2.5092, Validation Accuracy:0.1642
Epoch #23: Loss:2.4968, Accuracy:0.1651, Validation Loss:2.5009, Validation Accuracy:0.1511
Epoch #24: Loss:2.4881, Accuracy:0.1663, Validation Loss:2.5018, Validation Accuracy:0.1494
Epoch #25: Loss:2.4846, Accuracy:0.1647, Validation Loss:2.4986, Validation Accuracy:0.1494
Epoch #26: Loss:2.4826, Accuracy:0.1676, Validation Loss:2.4916, Validation Accuracy:0.1576
Epoch #27: Loss:2.4764, Accuracy:0.1663, Validation Loss:2.4935, Validation Accuracy:0.1642
Epoch #28: Loss:2.4888, Accuracy:0.1626, Validation Loss:2.4904, Validation Accuracy:0.1642
Epoch #29: Loss:2.4804, Accuracy:0.1704, Validation Loss:2.4847, Validation Accuracy:0.1675
Epoch #30: Loss:2.4777, Accuracy:0.1667, Validation Loss:2.4878, Validation Accuracy:0.1658
Epoch #31: Loss:2.4716, Accuracy:0.1758, Validation Loss:2.4847, Validation Accuracy:0.1658
Epoch #32: Loss:2.4684, Accuracy:0.1737, Validation Loss:2.4831, Validation Accuracy:0.1724
Epoch #33: Loss:2.4666, Accuracy:0.1684, Validation Loss:2.4818, Validation Accuracy:0.1593
Epoch #34: Loss:2.4653, Accuracy:0.1717, Validation Loss:2.4801, Validation Accuracy:0.1642
Epoch #35: Loss:2.4619, Accuracy:0.1713, Validation Loss:2.4796, Validation Accuracy:0.1642
Epoch #36: Loss:2.4612, Accuracy:0.1708, Validation Loss:2.4804, Validation Accuracy:0.1593
Epoch #37: Loss:2.4608, Accuracy:0.1692, Validation Loss:2.4797, Validation Accuracy:0.1626
Epoch #38: Loss:2.4589, Accuracy:0.1725, Validation Loss:2.4767, Validation Accuracy:0.1691
Epoch #39: Loss:2.4567, Accuracy:0.1725, Validation Loss:2.4767, Validation Accuracy:0.1691
Epoch #40: Loss:2.4566, Accuracy:0.1700, Validation Loss:2.4748, Validation Accuracy:0.1675
Epoch #41: Loss:2.4550, Accuracy:0.1713, Validation Loss:2.4761, Validation Accuracy:0.1741
Epoch #42: Loss:2.4561, Accuracy:0.1745, Validation Loss:2.4743, Validation Accuracy:0.1790
Epoch #43: Loss:2.4550, Accuracy:0.1717, Validation Loss:2.4752, Validation Accuracy:0.1691
Epoch #44: Loss:2.4525, Accuracy:0.1758, Validation Loss:2.4736, Validation Accuracy:0.1773
Epoch #45: Loss:2.4524, Accuracy:0.1762, Validation Loss:2.4752, Validation Accuracy:0.1773
Epoch #46: Loss:2.4500, Accuracy:0.1774, Validation Loss:2.4735, Validation Accuracy:0.1741
