======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf82.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 05:44:07 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'Phases', 'channelMode': '2Ov', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['yd', 'ek', 'ck', 'by', 'ib', 'mb', 'my', 'sk', 'sg', 'eo', 'ce', 'eg', 'eb', 'aa', 'ds'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for Phases------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001A58EF62E10>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001A5E4D87EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7111, Accuracy:0.0538, Validation Loss:2.7035, Validation Accuracy:0.0706
Epoch #2: Loss:2.6997, Accuracy:0.0834, Validation Loss:2.6944, Validation Accuracy:0.1051
Epoch #3: Loss:2.6909, Accuracy:0.1023, Validation Loss:2.6863, Validation Accuracy:0.1018
Epoch #4: Loss:2.6839, Accuracy:0.1023, Validation Loss:2.6794, Validation Accuracy:0.1018
Epoch #5: Loss:2.6768, Accuracy:0.1023, Validation Loss:2.6730, Validation Accuracy:0.1018
Epoch #6: Loss:2.6703, Accuracy:0.1023, Validation Loss:2.6665, Validation Accuracy:0.1018
Epoch #7: Loss:2.6640, Accuracy:0.1023, Validation Loss:2.6603, Validation Accuracy:0.1018
Epoch #8: Loss:2.6582, Accuracy:0.1023, Validation Loss:2.6540, Validation Accuracy:0.1018
Epoch #9: Loss:2.6519, Accuracy:0.1023, Validation Loss:2.6503, Validation Accuracy:0.1018
Epoch #10: Loss:2.6476, Accuracy:0.1023, Validation Loss:2.6443, Validation Accuracy:0.1018
Epoch #11: Loss:2.6400, Accuracy:0.1023, Validation Loss:2.6356, Validation Accuracy:0.1018
Epoch #12: Loss:2.6307, Accuracy:0.1142, Validation Loss:2.6239, Validation Accuracy:0.1264
Epoch #13: Loss:2.6178, Accuracy:0.1257, Validation Loss:2.6090, Validation Accuracy:0.1363
Epoch #14: Loss:2.6015, Accuracy:0.1294, Validation Loss:2.5908, Validation Accuracy:0.1691
Epoch #15: Loss:2.5837, Accuracy:0.1483, Validation Loss:2.5708, Validation Accuracy:0.1724
Epoch #16: Loss:2.5626, Accuracy:0.1491, Validation Loss:2.5506, Validation Accuracy:0.1724
Epoch #17: Loss:2.5450, Accuracy:0.1515, Validation Loss:2.5338, Validation Accuracy:0.1724
Epoch #18: Loss:2.5300, Accuracy:0.1503, Validation Loss:2.5199, Validation Accuracy:0.1708
Epoch #19: Loss:2.5191, Accuracy:0.1511, Validation Loss:2.5115, Validation Accuracy:0.1675
Epoch #20: Loss:2.5204, Accuracy:0.1524, Validation Loss:2.5126, Validation Accuracy:0.1757
Epoch #21: Loss:2.5134, Accuracy:0.1548, Validation Loss:2.4991, Validation Accuracy:0.1609
Epoch #22: Loss:2.5059, Accuracy:0.1532, Validation Loss:2.4978, Validation Accuracy:0.1741
Epoch #23: Loss:2.4954, Accuracy:0.1577, Validation Loss:2.4995, Validation Accuracy:0.1806
Epoch #24: Loss:2.4929, Accuracy:0.1622, Validation Loss:2.4857, Validation Accuracy:0.1675
Epoch #25: Loss:2.4896, Accuracy:0.1577, Validation Loss:2.4828, Validation Accuracy:0.1741
Epoch #26: Loss:2.4834, Accuracy:0.1618, Validation Loss:2.4839, Validation Accuracy:0.1773
Epoch #27: Loss:2.4813, Accuracy:0.1643, Validation Loss:2.4785, Validation Accuracy:0.1757
