======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf7.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 14:21:04 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': '2', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['sk', 'ib', 'mb', 'sg', 'yd', 'eg', 'ce', 'eb', 'my', 'ck', 'ek', 'by', 'aa', 'eo', 'ds'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001E73F91E240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001E73D076EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7076, Accuracy:0.0567, Validation Loss:2.7005, Validation Accuracy:0.0361
Epoch #2: Loss:2.6976, Accuracy:0.0583, Validation Loss:2.6914, Validation Accuracy:0.0690
Epoch #3: Loss:2.6895, Accuracy:0.0982, Validation Loss:2.6847, Validation Accuracy:0.1067
Epoch #4: Loss:2.6828, Accuracy:0.1092, Validation Loss:2.6780, Validation Accuracy:0.1034
Epoch #5: Loss:2.6764, Accuracy:0.1027, Validation Loss:2.6724, Validation Accuracy:0.1018
Epoch #6: Loss:2.6703, Accuracy:0.1023, Validation Loss:2.6675, Validation Accuracy:0.1018
Epoch #7: Loss:2.6653, Accuracy:0.1023, Validation Loss:2.6622, Validation Accuracy:0.1018
Epoch #8: Loss:2.6598, Accuracy:0.1023, Validation Loss:2.6562, Validation Accuracy:0.1002
Epoch #9: Loss:2.6535, Accuracy:0.1035, Validation Loss:2.6500, Validation Accuracy:0.1018
Epoch #10: Loss:2.6459, Accuracy:0.1060, Validation Loss:2.6438, Validation Accuracy:0.1051
Epoch #11: Loss:2.6382, Accuracy:0.1105, Validation Loss:2.6351, Validation Accuracy:0.1051
Epoch #12: Loss:2.6279, Accuracy:0.1195, Validation Loss:2.6235, Validation Accuracy:0.1084
Epoch #13: Loss:2.6150, Accuracy:0.1302, Validation Loss:2.6144, Validation Accuracy:0.1199
Epoch #14: Loss:2.6010, Accuracy:0.1425, Validation Loss:2.5985, Validation Accuracy:0.1264
Epoch #15: Loss:2.5857, Accuracy:0.1409, Validation Loss:2.5877, Validation Accuracy:0.1379
Epoch #16: Loss:2.5716, Accuracy:0.1446, Validation Loss:2.5734, Validation Accuracy:0.1412
Epoch #17: Loss:2.5525, Accuracy:0.1409, Validation Loss:2.5696, Validation Accuracy:0.1445
Epoch #18: Loss:2.5440, Accuracy:0.1495, Validation Loss:2.5665, Validation Accuracy:0.1593
Epoch #19: Loss:2.5309, Accuracy:0.1556, Validation Loss:2.5473, Validation Accuracy:0.1642
Epoch #20: Loss:2.5223, Accuracy:0.1667, Validation Loss:2.5399, Validation Accuracy:0.1872
Epoch #21: Loss:2.5110, Accuracy:0.1762, Validation Loss:2.5332, Validation Accuracy:0.1708
Epoch #22: Loss:2.5021, Accuracy:0.1688, Validation Loss:2.5255, Validation Accuracy:0.1790
Epoch #23: Loss:2.4939, Accuracy:0.1684, Validation Loss:2.5152, Validation Accuracy:0.1806
Epoch #24: Loss:2.4803, Accuracy:0.1692, Validation Loss:2.5075, Validation Accuracy:0.1724
Epoch #25: Loss:2.4771, Accuracy:0.1696, Validation Loss:2.4966, Validation Accuracy:0.1921
Epoch #26: Loss:2.4720, Accuracy:0.1741, Validation Loss:2.4931, Validation Accuracy:0.1790
Epoch #27: Loss:2.4670, Accuracy:0.1692, Validation Loss:2.4953, Validation Accuracy:0.1741
