======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf12.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 15:39:20 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': '3', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['01', '02', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000027240605E80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002723CDB7EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0926, Accuracy:0.3684, Validation Loss:1.0803, Validation Accuracy:0.3727
Epoch #2: Loss:1.0771, Accuracy:0.3725, Validation Loss:1.0757, Validation Accuracy:0.3695
Epoch #3: Loss:1.0741, Accuracy:0.3828, Validation Loss:1.0750, Validation Accuracy:0.4039
Epoch #4: Loss:1.0741, Accuracy:0.3951, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #5: Loss:1.0746, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #6: Loss:1.0745, Accuracy:0.3943, Validation Loss:1.0738, Validation Accuracy:0.3941
Epoch #7: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0734, Validation Accuracy:0.3957
Epoch #8: Loss:1.0738, Accuracy:0.3934, Validation Loss:1.0734, Validation Accuracy:0.3941
Epoch #9: Loss:1.0738, Accuracy:0.3930, Validation Loss:1.0733, Validation Accuracy:0.4007
Epoch #10: Loss:1.0735, Accuracy:0.3959, Validation Loss:1.0735, Validation Accuracy:0.4072
Epoch #11: Loss:1.0735, Accuracy:0.3959, Validation Loss:1.0732, Validation Accuracy:0.3924
Epoch #12: Loss:1.0738, Accuracy:0.3930, Validation Loss:1.0735, Validation Accuracy:0.4007
Epoch #13: Loss:1.0736, Accuracy:0.3988, Validation Loss:1.0733, Validation Accuracy:0.3974
Epoch #14: Loss:1.0735, Accuracy:0.3947, Validation Loss:1.0734, Validation Accuracy:0.3957
Epoch #15: Loss:1.0735, Accuracy:0.3963, Validation Loss:1.0734, Validation Accuracy:0.3974
Epoch #16: Loss:1.0732, Accuracy:0.3951, Validation Loss:1.0736, Validation Accuracy:0.3793
Epoch #17: Loss:1.0734, Accuracy:0.3971, Validation Loss:1.0733, Validation Accuracy:0.3892
Epoch #18: Loss:1.0735, Accuracy:0.3975, Validation Loss:1.0732, Validation Accuracy:0.4039
Epoch #19: Loss:1.0733, Accuracy:0.3992, Validation Loss:1.0731, Validation Accuracy:0.4056
Epoch #20: Loss:1.0734, Accuracy:0.3947, Validation Loss:1.0733, Validation Accuracy:0.3941
Epoch #21: Loss:1.0738, Accuracy:0.3963, Validation Loss:1.0734, Validation Accuracy:0.3957
Epoch #22: Loss:1.0735, Accuracy:0.3963, Validation Loss:1.0733, Validation Accuracy:0.4253
Epoch #23: Loss:1.0733, Accuracy:0.3984, Validation Loss:1.0730, Validation Accuracy:0.4220
Epoch #24: Loss:1.0734, Accuracy:0.3988, Validation Loss:1.0730, Validation Accuracy:0.4072
Epoch #25: Loss:1.0736, Accuracy:0.3988, Validation Loss:1.0729, Validation Accuracy:0.4319
Epoch #26: Loss:1.0735, Accuracy:0.3947, Validation Loss:1.0729, Validation Accuracy:0.4039
