======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf13.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 15:54:58 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': 'All', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['yd', 'mb', 'eo', 'ek', 'by', 'eb', 'ck', 'aa', 'ds', 'sk', 'my', 'sg', 'ib', 'eg', 'ce'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x000002510058D278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000025170156EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7070, Accuracy:0.0637, Validation Loss:2.6981, Validation Accuracy:0.0805
Epoch #2: Loss:2.6944, Accuracy:0.0821, Validation Loss:2.6859, Validation Accuracy:0.1084
Epoch #3: Loss:2.6840, Accuracy:0.1097, Validation Loss:2.6788, Validation Accuracy:0.0936
Epoch #4: Loss:2.6793, Accuracy:0.0883, Validation Loss:2.6769, Validation Accuracy:0.1117
Epoch #5: Loss:2.6751, Accuracy:0.0945, Validation Loss:2.6701, Validation Accuracy:0.0854
Epoch #6: Loss:2.6685, Accuracy:0.0895, Validation Loss:2.6654, Validation Accuracy:0.0887
Epoch #7: Loss:2.6635, Accuracy:0.0891, Validation Loss:2.6605, Validation Accuracy:0.0936
Epoch #8: Loss:2.6588, Accuracy:0.0986, Validation Loss:2.6551, Validation Accuracy:0.1067
Epoch #9: Loss:2.6534, Accuracy:0.1109, Validation Loss:2.6489, Validation Accuracy:0.1264
Epoch #10: Loss:2.6463, Accuracy:0.1277, Validation Loss:2.6409, Validation Accuracy:0.1494
Epoch #11: Loss:2.6380, Accuracy:0.1388, Validation Loss:2.6311, Validation Accuracy:0.1511
Epoch #12: Loss:2.6279, Accuracy:0.1409, Validation Loss:2.6188, Validation Accuracy:0.1511
Epoch #13: Loss:2.6159, Accuracy:0.1400, Validation Loss:2.6060, Validation Accuracy:0.1461
Epoch #14: Loss:2.6010, Accuracy:0.1417, Validation Loss:2.5886, Validation Accuracy:0.1494
Epoch #15: Loss:2.5858, Accuracy:0.1413, Validation Loss:2.5735, Validation Accuracy:0.1658
Epoch #16: Loss:2.5696, Accuracy:0.1507, Validation Loss:2.5587, Validation Accuracy:0.1642
Epoch #17: Loss:2.5558, Accuracy:0.1511, Validation Loss:2.5418, Validation Accuracy:0.1708
Epoch #18: Loss:2.5413, Accuracy:0.1520, Validation Loss:2.5293, Validation Accuracy:0.1609
Epoch #19: Loss:2.5271, Accuracy:0.1540, Validation Loss:2.5092, Validation Accuracy:0.1609
Epoch #20: Loss:2.5184, Accuracy:0.1561, Validation Loss:2.5040, Validation Accuracy:0.1478
Epoch #21: Loss:2.5207, Accuracy:0.1478, Validation Loss:2.5066, Validation Accuracy:0.1511
Epoch #22: Loss:2.5044, Accuracy:0.1561, Validation Loss:2.4797, Validation Accuracy:0.1576
Epoch #23: Loss:2.4964, Accuracy:0.1577, Validation Loss:2.4799, Validation Accuracy:0.1691
Epoch #24: Loss:2.4906, Accuracy:0.1602, Validation Loss:2.4610, Validation Accuracy:0.1806
Epoch #25: Loss:2.4841, Accuracy:0.1655, Validation Loss:2.4623, Validation Accuracy:0.1872
Epoch #26: Loss:2.4819, Accuracy:0.1688, Validation Loss:2.4570, Validation Accuracy:0.1806
Epoch #27: Loss:2.4796, Accuracy:0.1696, Validation Loss:2.4600, Validation Accuracy:0.1773
