======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf15.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.29 17:16:16 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': 'All', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['02', '01', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001D6856D6E48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001D6D9F47EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 19,599
Trainable params: 19,599
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.1132, Accuracy:0.3006, Validation Loss:1.1030, Validation Accuracy:0.3941
Epoch #2: Loss:1.0981, Accuracy:0.3943, Validation Loss:1.0931, Validation Accuracy:0.3941
Epoch #3: Loss:1.0900, Accuracy:0.3943, Validation Loss:1.0871, Validation Accuracy:0.3941
Epoch #4: Loss:1.0837, Accuracy:0.3943, Validation Loss:1.0806, Validation Accuracy:0.3941
Epoch #5: Loss:1.0788, Accuracy:0.3943, Validation Loss:1.0769, Validation Accuracy:0.3941
Epoch #6: Loss:1.0756, Accuracy:0.3943, Validation Loss:1.0756, Validation Accuracy:0.3941
Epoch #7: Loss:1.0746, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #8: Loss:1.0744, Accuracy:0.3943, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #9: Loss:1.0745, Accuracy:0.3943, Validation Loss:1.0750, Validation Accuracy:0.3924
Epoch #10: Loss:1.0749, Accuracy:0.3885, Validation Loss:1.0751, Validation Accuracy:0.4056
Epoch #11: Loss:1.0749, Accuracy:0.3951, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #12: Loss:1.0745, Accuracy:0.3943, Validation Loss:1.0747, Validation Accuracy:0.3941
Epoch #13: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #14: Loss:1.0743, Accuracy:0.3943, Validation Loss:1.0747, Validation Accuracy:0.3941
Epoch #15: Loss:1.0745, Accuracy:0.3943, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #16: Loss:1.0742, Accuracy:0.3951, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #17: Loss:1.0742, Accuracy:0.3938, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #18: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #19: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #20: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0747, Validation Accuracy:0.3941
Epoch #21: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #22: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #23: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #24: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #25: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #26: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #27: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #28: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #29: Loss:1.0742, Accuracy:0.3938, Validation Loss:1.0743, Validation Accuracy:0.3908
Epoch #30: Loss:1.0740, Accuracy:0.3930, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #31: Loss:1.0737, Accuracy:0.3938, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #32: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #33: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #34: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #35: Loss:1.0738, Accuracy:0.3979, Validation Loss:1.0746, Validation Accuracy:0.3990
Epoch #36: Loss:1.0739, Accuracy:0.4049, Validation Loss:1.0743, Validation Accuracy:0.4023
Epoch #37: Loss:1.0738, Accuracy:0.3975, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #38: Loss:1.0738, Accuracy:0.3934, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #39: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #40: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #41: Loss:1.0738, Accuracy:0.3914, Validation Loss:1.0745, Validation Accuracy:0.3924
Epoch #42: Loss:1.0740, Accuracy:0.3996, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #43: Loss:1.0738, Accuracy:0.3963, Validation Loss:1.0742, Validation Accuracy:0.3924
Epoch #44: Loss:1.0738, Accuracy:0.3947, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #45: Loss:1.0736, Accuracy:0.3938, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #46: Loss:1.0737, Accuracy:0.3959, Validation Loss:1.0744, Validation Accuracy:0.3957
Epoch #47: Loss:1.0739, Accuracy:0.3955, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #48: Loss:1.0740, Accuracy:0.3938, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #49: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #50: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #51: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #52: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0751, Validation Accuracy:0.3941
Epoch #53: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0749, Validation Accuracy:0.3941
Epoch #54: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3941
Epoch #55: Loss:1.0744, Accuracy:0.3934, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #56: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #57: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #58: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #59: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3957
Epoch #60: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3957
Epoch #61: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #62: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #63: Loss:1.0736, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3777
Epoch #64: Loss:1.0737, Accuracy:0.4078, Validation Loss:1.0741, Validation Accuracy:0.3810
Epoch #65: Loss:1.0737, Accuracy:0.4049, Validation Loss:1.0740, Validation Accuracy:0.3957
Epoch #66: Loss:1.0736, Accuracy:0.3943, Validation Loss:1.0740, Validation Accuracy:0.3941
Epoch #67: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0739, Validation Accuracy:0.3957
Epoch #68: Loss:1.0737, Accuracy:0.3947, Validation Loss:1.0739, Validation Accuracy:0.3957
Epoch #69: Loss:1.0736, Accuracy:0.3947, Validation Loss:1.0738, Validation Accuracy:0.3957
Epoch #70: Loss:1.0735, Accuracy:0.3947, Validation Loss:1.0739, Validation Accuracy:0.3957
Epoch #71: Loss:1.0735, Accuracy:0.3947, Validation Loss:1.0740, Validation Accuracy:0.3957
Epoch #72: Loss:1.0737, Accuracy:0.3926, Validation Loss:1.0740, Validation Accuracy:0.3760
Epoch #73: Loss:1.0734, Accuracy:0.4099, Validation Loss:1.0740, Validation Accuracy:0.3941
Epoch #74: Loss:1.0733, Accuracy:0.3951, Validation Loss:1.0741, Validation Accuracy:0.3957
Epoch #75: Loss:1.0733, Accuracy:0.3943, Validation Loss:1.0740, Validation Accuracy:0.3957
Epoch #76: Loss:1.0733, Accuracy:0.3947, Validation Loss:1.0739, Validation Accuracy:0.3941
Epoch #77: Loss:1.0735, Accuracy:0.3971, Validation Loss:1.0738, Validation Accuracy:0.3810
Epoch #78: Loss:1.0733, Accuracy:0.3938, Validation Loss:1.0740, Validation Accuracy:0.3908
Epoch #79: Loss:1.0736, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #80: Loss:1.0732, Accuracy:0.3951, Validation Loss:1.0737, Validation Accuracy:0.3924
Epoch #81: Loss:1.0733, Accuracy:0.3873, Validation Loss:1.0743, Validation Accuracy:0.3892
