======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf25.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 00:26:31 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': 'AllShfRnd', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['by', 'ce', 'mb', 'sg', 'eo', 'eb', 'yd', 'my', 'ds', 'ek', 'sk', 'ck', 'ib', 'aa', 'eg'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7991, 28)
Test Batch: (609, 7991, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000013897FEE278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000013895506EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7057, Accuracy:0.0653, Validation Loss:2.6972, Validation Accuracy:0.0969
Epoch #2: Loss:2.6946, Accuracy:0.1060, Validation Loss:2.6880, Validation Accuracy:0.1182
Epoch #3: Loss:2.6864, Accuracy:0.1195, Validation Loss:2.6809, Validation Accuracy:0.1117
Epoch #4: Loss:2.6803, Accuracy:0.1076, Validation Loss:2.6756, Validation Accuracy:0.1051
Epoch #5: Loss:2.6743, Accuracy:0.1117, Validation Loss:2.6688, Validation Accuracy:0.1461
Epoch #6: Loss:2.6678, Accuracy:0.1072, Validation Loss:2.6637, Validation Accuracy:0.0985
Epoch #7: Loss:2.6622, Accuracy:0.1142, Validation Loss:2.6578, Validation Accuracy:0.1182
Epoch #8: Loss:2.6554, Accuracy:0.1248, Validation Loss:2.6508, Validation Accuracy:0.1445
Epoch #9: Loss:2.6466, Accuracy:0.1318, Validation Loss:2.6411, Validation Accuracy:0.1396
Epoch #10: Loss:2.6364, Accuracy:0.1331, Validation Loss:2.6304, Validation Accuracy:0.1412
Epoch #11: Loss:2.6234, Accuracy:0.1326, Validation Loss:2.6172, Validation Accuracy:0.1412
Epoch #12: Loss:2.6077, Accuracy:0.1331, Validation Loss:2.6021, Validation Accuracy:0.1412
Epoch #13: Loss:2.5894, Accuracy:0.1536, Validation Loss:2.5837, Validation Accuracy:0.1560
Epoch #14: Loss:2.5703, Accuracy:0.1639, Validation Loss:2.5645, Validation Accuracy:0.1675
Epoch #15: Loss:2.5520, Accuracy:0.1634, Validation Loss:2.5492, Validation Accuracy:0.1626
Epoch #16: Loss:2.5447, Accuracy:0.1593, Validation Loss:2.6026, Validation Accuracy:0.1297
Epoch #17: Loss:2.5677, Accuracy:0.1499, Validation Loss:2.5463, Validation Accuracy:0.1445
Epoch #18: Loss:2.5366, Accuracy:0.1577, Validation Loss:2.5369, Validation Accuracy:0.1461
Epoch #19: Loss:2.5131, Accuracy:0.1630, Validation Loss:2.5270, Validation Accuracy:0.1642
Epoch #20: Loss:2.5185, Accuracy:0.1602, Validation Loss:2.5138, Validation Accuracy:0.1642
Epoch #21: Loss:2.5029, Accuracy:0.1676, Validation Loss:2.5150, Validation Accuracy:0.1560
Epoch #22: Loss:2.5005, Accuracy:0.1647, Validation Loss:2.5064, Validation Accuracy:0.1675
Epoch #23: Loss:2.4932, Accuracy:0.1713, Validation Loss:2.5024, Validation Accuracy:0.1658
Epoch #24: Loss:2.4907, Accuracy:0.1704, Validation Loss:2.5007, Validation Accuracy:0.1609
Epoch #25: Loss:2.4877, Accuracy:0.1667, Validation Loss:2.4971, Validation Accuracy:0.1708
Epoch #26: Loss:2.4840, Accuracy:0.1782, Validation Loss:2.4940, Validation Accuracy:0.1626
Epoch #27: Loss:2.4788, Accuracy:0.1749, Validation Loss:2.4934, Validation Accuracy:0.1626
