======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf28.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 02:28:43 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': '0Ov', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['eb', 'sg', 'eo', 'eg', 'ek', 'ck', 'sk', 'ib', 'mb', 'by', 'yd', 'aa', 'my', 'ds', 'ce'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x0000017594E2E278>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000175ADBA6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 19,755
Trainable params: 19,755
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7001, Accuracy:0.0784, Validation Loss:2.6931, Validation Accuracy:0.0887
Epoch #2: Loss:2.6892, Accuracy:0.0891, Validation Loss:2.6830, Validation Accuracy:0.0903
Epoch #3: Loss:2.6804, Accuracy:0.0903, Validation Loss:2.6750, Validation Accuracy:0.0952
Epoch #4: Loss:2.6709, Accuracy:0.0969, Validation Loss:2.6642, Validation Accuracy:0.1133
Epoch #5: Loss:2.6606, Accuracy:0.1088, Validation Loss:2.6536, Validation Accuracy:0.1149
Epoch #6: Loss:2.6520, Accuracy:0.1146, Validation Loss:2.6458, Validation Accuracy:0.1149
Epoch #7: Loss:2.6425, Accuracy:0.1216, Validation Loss:2.6351, Validation Accuracy:0.1248
Epoch #8: Loss:2.6311, Accuracy:0.1228, Validation Loss:2.6212, Validation Accuracy:0.1314
Epoch #9: Loss:2.6166, Accuracy:0.1343, Validation Loss:2.6056, Validation Accuracy:0.1363
Epoch #10: Loss:2.5994, Accuracy:0.1396, Validation Loss:2.5880, Validation Accuracy:0.1527
Epoch #11: Loss:2.5853, Accuracy:0.1503, Validation Loss:2.5723, Validation Accuracy:0.1511
Epoch #12: Loss:2.5669, Accuracy:0.1528, Validation Loss:2.5511, Validation Accuracy:0.1445
Epoch #13: Loss:2.5499, Accuracy:0.1565, Validation Loss:2.5388, Validation Accuracy:0.1494
Epoch #14: Loss:2.5346, Accuracy:0.1573, Validation Loss:2.5224, Validation Accuracy:0.1560
Epoch #15: Loss:2.5223, Accuracy:0.1520, Validation Loss:2.5088, Validation Accuracy:0.1494
Epoch #16: Loss:2.5141, Accuracy:0.1589, Validation Loss:2.5021, Validation Accuracy:0.1544
Epoch #17: Loss:2.5066, Accuracy:0.1544, Validation Loss:2.4985, Validation Accuracy:0.1609
Epoch #18: Loss:2.5015, Accuracy:0.1540, Validation Loss:2.4984, Validation Accuracy:0.1626
Epoch #19: Loss:2.4975, Accuracy:0.1618, Validation Loss:2.4879, Validation Accuracy:0.1609
Epoch #20: Loss:2.4873, Accuracy:0.1651, Validation Loss:2.4855, Validation Accuracy:0.1527
Epoch #21: Loss:2.4844, Accuracy:0.1717, Validation Loss:2.4757, Validation Accuracy:0.1626
Epoch #22: Loss:2.4793, Accuracy:0.1729, Validation Loss:2.4777, Validation Accuracy:0.1609
Epoch #23: Loss:2.4751, Accuracy:0.1708, Validation Loss:2.4774, Validation Accuracy:0.1544
Epoch #24: Loss:2.4744, Accuracy:0.1717, Validation Loss:2.4857, Validation Accuracy:0.1642
Epoch #25: Loss:2.4914, Accuracy:0.1721, Validation Loss:2.5039, Validation Accuracy:0.1609
Epoch #26: Loss:2.4800, Accuracy:0.1684, Validation Loss:2.4776, Validation Accuracy:0.1560
Epoch #27: Loss:2.4711, Accuracy:0.1713, Validation Loss:2.4721, Validation Accuracy:0.1609
