======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf29.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 03:09:18 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nFreqs', 'channelMode': '0Ov', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['01', '03', '02', '04', '05'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nFreqs------
---LSTM Classifier---
Train Batch: (2435, 7988, 28)
Test Batch: (609, 7988, 28)
Optimizer: <keras.optimizers.Adam object at 0x000001DF0172BE80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001DF64396EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            10760     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 19,625
Trainable params: 19,625
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6112, Accuracy:0.2041, Validation Loss:1.6085, Validation Accuracy:0.2315
Epoch #2: Loss:1.6083, Accuracy:0.2320, Validation Loss:1.6073, Validation Accuracy:0.2332
Epoch #3: Loss:1.6070, Accuracy:0.2320, Validation Loss:1.6058, Validation Accuracy:0.2332
Epoch #4: Loss:1.6063, Accuracy:0.2329, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #5: Loss:1.6056, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #6: Loss:1.6052, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #7: Loss:1.6049, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #8: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #9: Loss:1.6039, Accuracy:0.2329, Validation Loss:1.6049, Validation Accuracy:0.2332
Epoch #10: Loss:1.6036, Accuracy:0.2329, Validation Loss:1.6048, Validation Accuracy:0.2332
Epoch #11: Loss:1.6034, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #12: Loss:1.6030, Accuracy:0.2316, Validation Loss:1.6046, Validation Accuracy:0.2315
Epoch #13: Loss:1.6027, Accuracy:0.2324, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #14: Loss:1.6021, Accuracy:0.2423, Validation Loss:1.6043, Validation Accuracy:0.2299
Epoch #15: Loss:1.6019, Accuracy:0.2402, Validation Loss:1.6046, Validation Accuracy:0.2365
Epoch #16: Loss:1.6013, Accuracy:0.2431, Validation Loss:1.6044, Validation Accuracy:0.2348
Epoch #17: Loss:1.6009, Accuracy:0.2435, Validation Loss:1.6037, Validation Accuracy:0.2332
Epoch #18: Loss:1.6010, Accuracy:0.2415, Validation Loss:1.6042, Validation Accuracy:0.2348
Epoch #19: Loss:1.6008, Accuracy:0.2435, Validation Loss:1.6038, Validation Accuracy:0.2282
Epoch #20: Loss:1.6009, Accuracy:0.2456, Validation Loss:1.6041, Validation Accuracy:0.2365
Epoch #21: Loss:1.6008, Accuracy:0.2456, Validation Loss:1.6057, Validation Accuracy:0.2348
Epoch #22: Loss:1.6012, Accuracy:0.2448, Validation Loss:1.6058, Validation Accuracy:0.2315
Epoch #23: Loss:1.6008, Accuracy:0.2468, Validation Loss:1.6052, Validation Accuracy:0.2332
Epoch #24: Loss:1.6003, Accuracy:0.2444, Validation Loss:1.6065, Validation Accuracy:0.2233
Epoch #25: Loss:1.6006, Accuracy:0.2456, Validation Loss:1.6067, Validation Accuracy:0.2332
Epoch #26: Loss:1.6008, Accuracy:0.2431, Validation Loss:1.6063, Validation Accuracy:0.2332
Epoch #27: Loss:1.6013, Accuracy:0.2423, Validation Loss:1.6051, Validation Accuracy:0.2348
Epoch #28: Loss:1.6016, Accuracy:0.2407, Validation Loss:1.6042, Validation Accuracy:0.2348
Epoch #29: Loss:1.6036, Accuracy:0.2353, Validation Loss:1.6043, Validation Accuracy:0.2348
Epoch #30: Loss:1.6021, Accuracy:0.2415, Validation Loss:1.6044, Validation Accuracy:0.2315
Epoch #31: Loss:1.6025, Accuracy:0.2427, Validation Loss:1.6053, Validation Accuracy:0.2332
Epoch #32: Loss:1.6028, Accuracy:0.2407, Validation Loss:1.6049, Validation Accuracy:0.2299
Epoch #33: Loss:1.6018, Accuracy:0.2390, Validation Loss:1.6041, Validation Accuracy:0.2315
Epoch #34: Loss:1.6013, Accuracy:0.2411, Validation Loss:1.6034, Validation Accuracy:0.2348
Epoch #35: Loss:1.6021, Accuracy:0.2415, Validation Loss:1.6035, Validation Accuracy:0.2299
Epoch #36: Loss:1.6017, Accuracy:0.2444, Validation Loss:1.6038, Validation Accuracy:0.2315
Epoch #37: Loss:1.6011, Accuracy:0.2448, Validation Loss:1.6031, Validation Accuracy:0.2332
Epoch #38: Loss:1.6007, Accuracy:0.2439, Validation Loss:1.6035, Validation Accuracy:0.2381
Epoch #39: Loss:1.6010, Accuracy:0.2452, Validation Loss:1.6038, Validation Accuracy:0.2315
Epoch #40: Loss:1.6007, Accuracy:0.2448, Validation Loss:1.6039, Validation Accuracy:0.2299
Epoch #41: Loss:1.6005, Accuracy:0.2464, Validation Loss:1.6036, Validation Accuracy:0.2348
Epoch #42: Loss:1.6001, Accuracy:0.2435, Validation Loss:1.6038, Validation Accuracy:0.2348
Epoch #43: Loss:1.6001, Accuracy:0.2435, Validation Loss:1.6040, Validation Accuracy:0.2332
Epoch #44: Loss:1.5999, Accuracy:0.2452, Validation Loss:1.6039, Validation Accuracy:0.2282
Epoch #45: Loss:1.5997, Accuracy:0.2452, Validation Loss:1.6031, Validation Accuracy:0.2299
Epoch #46: Loss:1.6005, Accuracy:0.2456, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #47: Loss:1.6006, Accuracy:0.2439, Validation Loss:1.6032, Validation Accuracy:0.2299
Epoch #48: Loss:1.6007, Accuracy:0.2444, Validation Loss:1.6044, Validation Accuracy:0.2200
Epoch #49: Loss:1.6008, Accuracy:0.2435, Validation Loss:1.6041, Validation Accuracy:0.2315
Epoch #50: Loss:1.6000, Accuracy:0.2464, Validation Loss:1.6042, Validation Accuracy:0.2348
Epoch #51: Loss:1.5999, Accuracy:0.2468, Validation Loss:1.6039, Validation Accuracy:0.2365
Epoch #52: Loss:1.5998, Accuracy:0.2456, Validation Loss:1.6037, Validation Accuracy:0.2332
Epoch #53: Loss:1.5995, Accuracy:0.2452, Validation Loss:1.6040, Validation Accuracy:0.2332
Epoch #54: Loss:1.5993, Accuracy:0.2468, Validation Loss:1.6043, Validation Accuracy:0.2332
Epoch #55: Loss:1.5995, Accuracy:0.2460, Validation Loss:1.6038, Validation Accuracy:0.2332
Epoch #56: Loss:1.5994, Accuracy:0.2460, Validation Loss:1.6038, Validation Accuracy:0.2332
Epoch #57: Loss:1.5991, Accuracy:0.2472, Validation Loss:1.6043, Validation Accuracy:0.2315
Epoch #58: Loss:1.5993, Accuracy:0.2476, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #59: Loss:1.5995, Accuracy:0.2480, Validation Loss:1.6042, Validation Accuracy:0.2299
Epoch #60: Loss:1.5988, Accuracy:0.2464, Validation Loss:1.6037, Validation Accuracy:0.2299
Epoch #61: Loss:1.5989, Accuracy:0.2480, Validation Loss:1.6048, Validation Accuracy:0.2217
Epoch #62: Loss:1.5987, Accuracy:0.2468, Validation Loss:1.6049, Validation Accuracy:0.2200
Epoch #63: Loss:1.5984, Accuracy:0.2472, Validation Loss:1.6044, Validation Accuracy:0.2250
Epoch #64: Loss:1.5986, Accuracy:0.2452, Validation Loss:1.6037, Validation Accuracy:0.2299
Epoch #65: Loss:1.5985, Accuracy:0.2464, Validation Loss:1.6047, Validation Accuracy:0.2282
Epoch #66: Loss:1.5989, Accuracy:0.2444, Validation Loss:1.6050, Validation Accuracy:0.2381
Epoch #67: Loss:1.5998, Accuracy:0.2431, Validation Loss:1.6045, Validation Accuracy:0.2266
Epoch #68: Loss:1.5995, Accuracy:0.2456, Validation Loss:1.6045, Validation Accuracy:0.2365
Epoch #69: Loss:1.6001, Accuracy:0.2448, Validation Loss:1.6043, Validation Accuracy:0.2348
Epoch #70: Loss:1.5991, Accuracy:0.2456, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #71: Loss:1.5994, Accuracy:0.2497, Validation Loss:1.6045, Validation Accuracy:0.2250
Epoch #72: Loss:1.5995, Accuracy:0.2476, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #73: Loss:1.5992, Accuracy:0.2456, Validation Loss:1.6042, Validation Accuracy:0.2332
Epoch #74: Loss:1.5986, Accuracy:0.2456, Validation Loss:1.6046, Validation Accuracy:0.2365
Epoch #75: Loss:1.5984, Accuracy:0.2456, Validation Loss:1.6044, Validation Accuracy:0.2299
Epoch #76: Loss:1.5980, Accuracy:0.2480, Validation Loss:1.6044, Validation Accuracy:0.2315
Epoch #77: Loss:1.5980, Accuracy:0.2480, Validation Loss:1.6045, Validation Accuracy:0.2282
Epoch #78: Loss:1.5979, Accuracy:0.2485, Validation Loss:1.6051, Validation Accuracy:0.2348
Epoch #79: Loss:1.5976, Accuracy:0.2468, Validation Loss:1.6053, Validation Accuracy:0.2282
Epoch #80: Loss:1.5981, Accuracy:0.2460, Validation Loss:1.6054, Validation Accuracy:0.2299
Epoch #81: Loss:1.5977, Accuracy:0.2476, Validation Loss:1.6052, Validation Accuracy:0.2282
Epoch #82: Loss:1.5974, Accuracy:0.2472, Validation Loss:1.6052, Validation Accuracy:0.2282
Epoch #83: Loss:1.5978, Accuracy:0.2472, Validation Loss:1.6048, Validation Accuracy:0.2299
Epoch #84: Loss:1.5983, Accuracy:0.2485, Validation Loss:1.6050, Validation Accuracy:0.2299
Epoch #85: Loss:1.5978, Accuracy:0.2493, Validation Loss:1.6044, Validation Accuracy:0.2365
Epoch #86: Loss:1.5980, Accuracy:0.2444, Validation Loss:1.6042, Validation Accuracy:0.2332
Epoch #87: Loss:1.5977, Accuracy:0.2489, Validation Loss:1.6048, Validation Accuracy:0.2365
Epoch #88: Loss:1.5978, Accuracy:0.2485, Validation Loss:1.6044, Validation Accuracy:0.2414
