======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf3.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 05:30:30 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': '0', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['03', '01', '02'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000023235D64E80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000002322F576EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0866, Accuracy:0.3943, Validation Loss:1.0788, Validation Accuracy:0.3941
Epoch #2: Loss:1.0779, Accuracy:0.3943, Validation Loss:1.0762, Validation Accuracy:0.3941
Epoch #3: Loss:1.0771, Accuracy:0.3943, Validation Loss:1.0750, Validation Accuracy:0.3941
Epoch #4: Loss:1.0748, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #5: Loss:1.0748, Accuracy:0.3955, Validation Loss:1.0748, Validation Accuracy:0.3957
Epoch #6: Loss:1.0744, Accuracy:0.3951, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #7: Loss:1.0743, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #8: Loss:1.0743, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #9: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #10: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #11: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #12: Loss:1.0741, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #13: Loss:1.0743, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #14: Loss:1.0742, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #15: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #16: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #17: Loss:1.0739, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #18: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #19: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #20: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #21: Loss:1.0736, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #22: Loss:1.0735, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #23: Loss:1.0736, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #24: Loss:1.0734, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #25: Loss:1.0734, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #26: Loss:1.0731, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #27: Loss:1.0730, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #28: Loss:1.0729, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #29: Loss:1.0725, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #30: Loss:1.0725, Accuracy:0.3943, Validation Loss:1.0741, Validation Accuracy:0.3941
Epoch #31: Loss:1.0721, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #32: Loss:1.0723, Accuracy:0.3938, Validation Loss:1.0741, Validation Accuracy:0.3908
Epoch #33: Loss:1.0718, Accuracy:0.3938, Validation Loss:1.0740, Validation Accuracy:0.3941
Epoch #34: Loss:1.0720, Accuracy:0.3943, Validation Loss:1.0742, Validation Accuracy:0.4023
Epoch #35: Loss:1.0714, Accuracy:0.3947, Validation Loss:1.0738, Validation Accuracy:0.3908
Epoch #36: Loss:1.0711, Accuracy:0.3938, Validation Loss:1.0738, Validation Accuracy:0.3974
Epoch #37: Loss:1.0708, Accuracy:0.3959, Validation Loss:1.0739, Validation Accuracy:0.3941
Epoch #38: Loss:1.0707, Accuracy:0.3951, Validation Loss:1.0734, Validation Accuracy:0.3892
Epoch #39: Loss:1.0714, Accuracy:0.3938, Validation Loss:1.0733, Validation Accuracy:0.3924
Epoch #40: Loss:1.0699, Accuracy:0.4057, Validation Loss:1.0747, Validation Accuracy:0.3842
Epoch #41: Loss:1.0701, Accuracy:0.3967, Validation Loss:1.0725, Validation Accuracy:0.3908
Epoch #42: Loss:1.0701, Accuracy:0.3963, Validation Loss:1.0731, Validation Accuracy:0.3826
Epoch #43: Loss:1.0686, Accuracy:0.4045, Validation Loss:1.0741, Validation Accuracy:0.3826
Epoch #44: Loss:1.0680, Accuracy:0.4016, Validation Loss:1.0742, Validation Accuracy:0.3924
Epoch #45: Loss:1.0678, Accuracy:0.3959, Validation Loss:1.0738, Validation Accuracy:0.3810
Epoch #46: Loss:1.0667, Accuracy:0.3959, Validation Loss:1.0737, Validation Accuracy:0.3859
Epoch #47: Loss:1.0673, Accuracy:0.4037, Validation Loss:1.0733, Validation Accuracy:0.3941
Epoch #48: Loss:1.0689, Accuracy:0.4066, Validation Loss:1.0724, Validation Accuracy:0.3875
Epoch #49: Loss:1.0690, Accuracy:0.3975, Validation Loss:1.0726, Validation Accuracy:0.3941
Epoch #50: Loss:1.0656, Accuracy:0.4119, Validation Loss:1.0727, Validation Accuracy:0.3875
Epoch #51: Loss:1.0648, Accuracy:0.4053, Validation Loss:1.0722, Validation Accuracy:0.3777
Epoch #52: Loss:1.0673, Accuracy:0.4008, Validation Loss:1.0719, Validation Accuracy:0.3957
Epoch #53: Loss:1.0636, Accuracy:0.4201, Validation Loss:1.0749, Validation Accuracy:0.3908
Epoch #54: Loss:1.0633, Accuracy:0.4021, Validation Loss:1.0735, Validation Accuracy:0.3941
Epoch #55: Loss:1.0621, Accuracy:0.4197, Validation Loss:1.0737, Validation Accuracy:0.3941
Epoch #56: Loss:1.0617, Accuracy:0.4181, Validation Loss:1.0738, Validation Accuracy:0.3875
Epoch #57: Loss:1.0595, Accuracy:0.4115, Validation Loss:1.0747, Validation Accuracy:0.3875
Epoch #58: Loss:1.0590, Accuracy:0.4152, Validation Loss:1.0767, Validation Accuracy:0.4072
Epoch #59: Loss:1.0592, Accuracy:0.4242, Validation Loss:1.0761, Validation Accuracy:0.3924
Epoch #60: Loss:1.0565, Accuracy:0.4238, Validation Loss:1.0763, Validation Accuracy:0.4072
Epoch #61: Loss:1.0550, Accuracy:0.4082, Validation Loss:1.0767, Validation Accuracy:0.3990
Epoch #62: Loss:1.0531, Accuracy:0.4271, Validation Loss:1.0786, Validation Accuracy:0.4039
Epoch #63: Loss:1.0524, Accuracy:0.4320, Validation Loss:1.0908, Validation Accuracy:0.3842
Epoch #64: Loss:1.0550, Accuracy:0.4275, Validation Loss:1.0795, Validation Accuracy:0.4039
Epoch #65: Loss:1.0489, Accuracy:0.4353, Validation Loss:1.0816, Validation Accuracy:0.3924
Epoch #66: Loss:1.0466, Accuracy:0.4390, Validation Loss:1.0835, Validation Accuracy:0.3990
Epoch #67: Loss:1.0475, Accuracy:0.4320, Validation Loss:1.0886, Validation Accuracy:0.3727
Epoch #68: Loss:1.0459, Accuracy:0.4320, Validation Loss:1.0910, Validation Accuracy:0.3974
Epoch #69: Loss:1.0441, Accuracy:0.4353, Validation Loss:1.0894, Validation Accuracy:0.3842
Epoch #70: Loss:1.0433, Accuracy:0.4427, Validation Loss:1.0973, Validation Accuracy:0.3859
Epoch #71: Loss:1.0414, Accuracy:0.4452, Validation Loss:1.0947, Validation Accuracy:0.3859
Epoch #72: Loss:1.0397, Accuracy:0.4349, Validation Loss:1.0972, Validation Accuracy:0.3727
Epoch #73: Loss:1.0345, Accuracy:0.4493, Validation Loss:1.1081, Validation Accuracy:0.3678
Epoch #74: Loss:1.0356, Accuracy:0.4550, Validation Loss:1.1050, Validation Accuracy:0.3793
Epoch #75: Loss:1.0342, Accuracy:0.4563, Validation Loss:1.1069, Validation Accuracy:0.3711
Epoch #76: Loss:1.0308, Accuracy:0.4591, Validation Loss:1.1064, Validation Accuracy:0.3826
Epoch #77: Loss:1.0267, Accuracy:0.4591, Validation Loss:1.1181, Validation Accuracy:0.3678
Epoch #78: Loss:1.0244, Accuracy:0.4645, Validation Loss:1.1173, Validation Accuracy:0.3596
Epoch #79: Loss:1.0225, Accuracy:0.4616, Validation Loss:1.1238, Validation Accuracy:0.3563
Epoch #80: Loss:1.0268, Accuracy:0.4604, Validation Loss:1.1177, Validation Accuracy:0.3744
Epoch #81: Loss:1.0228, Accuracy:0.4657, Validation Loss:1.1192, Validation Accuracy:0.3678
Epoch #82: Loss:1.0168, Accuracy:0.4657, Validation Loss:1.1285, Validation Accuracy:0.3284
Epoch #83: Loss:1.0161, Accuracy:0.4669, Validation Loss:1.1310, Validation Accuracy:0.3514
Epoch #84: Loss:1.0122, Accuracy:0.4739, Validation Loss:1.1322, Validation Accuracy:0.3530
Epoch #85: Loss:1.0127, Accuracy:0.4821, Validation Loss:1.1370, Validation Accuracy:0.3383
Epoch #86: Loss:1.0104, Accuracy:0.4743, Validation Loss:1.1403, Validation Accuracy:0.3875
Epoch #87: Loss:1.0078, Accuracy:0.4772, Validation Loss:1.1500, Validation Accuracy:0.3235
Epoch #88: Loss:1.0092, Accuracy:0.4756, Validation Loss:1.1436, Validation Accuracy:0.3596
Epoch #89: Loss:1.0080, Accuracy:0.4940, Validation Loss:1.1562, Validation Accuracy:0.3695
Epoch #90: Loss:1.0186, Accuracy:0.4776, Validation Loss:1.1352, Validation Accuracy:0.3760
Epoch #91: Loss:1.0218, Accuracy:0.4583, Validation Loss:1.1319, Validation Accuracy:0.3711
Epoch #92: Loss:1.0126, Accuracy:0.4661, Validation Loss:1.1286, Validation Accuracy:0.3875
Epoch #93: Loss:1.0030, Accuracy:0.4867, Validation Loss:1.1317, Validation Accuracy:0.3580
Epoch #94: Loss:0.9994, Accuracy:0.4908, Validation Loss:1.1474, Validation Accuracy:0.3612
Epoch #95: Loss:0.9951, Accuracy:0.4867, Validation Loss:1.1488, Validation Accuracy:0.3612
Epoch #96: Loss:0.9910, Accuracy:0.4961, Validation Loss:1.1600, Validation Accuracy:0.3580
Epoch #97: Loss:0.9923, Accuracy:0.5002, Validation Loss:1.1773, Validation Accuracy:0.3580
Epoch #98: Loss:0.9987, Accuracy:0.4903, Validation Loss:1.1649, Validation Accuracy:0.3596
