======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf7.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 06:33:14 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': '2', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ds', 'ck', 'sg', 'mb', 'yd', 'eo', 'sk', 'ce', 'by', 'ek', 'ib', 'aa', 'eb', 'eg', 'my'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001704096D240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001703B156EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7155, Accuracy:0.0780, Validation Loss:2.7067, Validation Accuracy:0.0690
Epoch #2: Loss:2.7030, Accuracy:0.0768, Validation Loss:2.6969, Validation Accuracy:0.0837
Epoch #3: Loss:2.6947, Accuracy:0.0920, Validation Loss:2.6908, Validation Accuracy:0.0903
Epoch #4: Loss:2.6899, Accuracy:0.0817, Validation Loss:2.6857, Validation Accuracy:0.0821
Epoch #5: Loss:2.6847, Accuracy:0.0813, Validation Loss:2.6811, Validation Accuracy:0.0821
Epoch #6: Loss:2.6802, Accuracy:0.0817, Validation Loss:2.6761, Validation Accuracy:0.0854
Epoch #7: Loss:2.6758, Accuracy:0.1055, Validation Loss:2.6710, Validation Accuracy:0.1314
Epoch #8: Loss:2.6705, Accuracy:0.1158, Validation Loss:2.6656, Validation Accuracy:0.1100
Epoch #9: Loss:2.6651, Accuracy:0.1072, Validation Loss:2.6591, Validation Accuracy:0.1067
Epoch #10: Loss:2.6587, Accuracy:0.1088, Validation Loss:2.6514, Validation Accuracy:0.1084
Epoch #11: Loss:2.6508, Accuracy:0.1179, Validation Loss:2.6422, Validation Accuracy:0.1445
Epoch #12: Loss:2.6415, Accuracy:0.1384, Validation Loss:2.6305, Validation Accuracy:0.1642
Epoch #13: Loss:2.6295, Accuracy:0.1515, Validation Loss:2.6169, Validation Accuracy:0.1527
Epoch #14: Loss:2.6157, Accuracy:0.1569, Validation Loss:2.6012, Validation Accuracy:0.1544
Epoch #15: Loss:2.6000, Accuracy:0.1634, Validation Loss:2.5841, Validation Accuracy:0.1576
Epoch #16: Loss:2.5839, Accuracy:0.1671, Validation Loss:2.5673, Validation Accuracy:0.1658
Epoch #17: Loss:2.5697, Accuracy:0.1598, Validation Loss:2.5572, Validation Accuracy:0.1544
Epoch #18: Loss:2.5565, Accuracy:0.1515, Validation Loss:2.5409, Validation Accuracy:0.1494
Epoch #19: Loss:2.5446, Accuracy:0.1524, Validation Loss:2.5320, Validation Accuracy:0.1511
Epoch #20: Loss:2.5333, Accuracy:0.1507, Validation Loss:2.5207, Validation Accuracy:0.1560
Epoch #21: Loss:2.5278, Accuracy:0.1565, Validation Loss:2.5171, Validation Accuracy:0.1511
Epoch #22: Loss:2.5212, Accuracy:0.1593, Validation Loss:2.5007, Validation Accuracy:0.1741
Epoch #23: Loss:2.5104, Accuracy:0.1647, Validation Loss:2.4956, Validation Accuracy:0.1658
Epoch #24: Loss:2.5048, Accuracy:0.1647, Validation Loss:2.4874, Validation Accuracy:0.1741
Epoch #25: Loss:2.4992, Accuracy:0.1659, Validation Loss:2.4829, Validation Accuracy:0.1576
Epoch #26: Loss:2.4942, Accuracy:0.1680, Validation Loss:2.4764, Validation Accuracy:0.1642
Epoch #27: Loss:2.4914, Accuracy:0.1667, Validation Loss:2.4717, Validation Accuracy:0.1773
