======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf8.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 06:48:55 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': '2', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['05', '03', '01', '04', '02'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000027708E38198>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000277045D6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6079, Accuracy:0.2226, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #2: Loss:1.6062, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #3: Loss:1.6053, Accuracy:0.2329, Validation Loss:1.6041, Validation Accuracy:0.2332
Epoch #4: Loss:1.6050, Accuracy:0.2329, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #5: Loss:1.6046, Accuracy:0.2329, Validation Loss:1.6031, Validation Accuracy:0.2332
Epoch #6: Loss:1.6043, Accuracy:0.2329, Validation Loss:1.6028, Validation Accuracy:0.2332
Epoch #7: Loss:1.6041, Accuracy:0.2329, Validation Loss:1.6026, Validation Accuracy:0.2332
Epoch #8: Loss:1.6040, Accuracy:0.2329, Validation Loss:1.6019, Validation Accuracy:0.2332
Epoch #9: Loss:1.6036, Accuracy:0.2341, Validation Loss:1.6014, Validation Accuracy:0.2430
Epoch #10: Loss:1.6035, Accuracy:0.2378, Validation Loss:1.6011, Validation Accuracy:0.2414
Epoch #11: Loss:1.6031, Accuracy:0.2390, Validation Loss:1.6007, Validation Accuracy:0.2430
Epoch #12: Loss:1.6029, Accuracy:0.2366, Validation Loss:1.6004, Validation Accuracy:0.2414
Epoch #13: Loss:1.6026, Accuracy:0.2374, Validation Loss:1.6000, Validation Accuracy:0.2430
Epoch #14: Loss:1.6021, Accuracy:0.2415, Validation Loss:1.5996, Validation Accuracy:0.2496
Epoch #15: Loss:1.6019, Accuracy:0.2411, Validation Loss:1.5992, Validation Accuracy:0.2496
Epoch #16: Loss:1.6015, Accuracy:0.2407, Validation Loss:1.5990, Validation Accuracy:0.2512
Epoch #17: Loss:1.6016, Accuracy:0.2407, Validation Loss:1.5989, Validation Accuracy:0.2512
Epoch #18: Loss:1.6007, Accuracy:0.2415, Validation Loss:1.5986, Validation Accuracy:0.2529
Epoch #19: Loss:1.6004, Accuracy:0.2423, Validation Loss:1.5985, Validation Accuracy:0.2529
Epoch #20: Loss:1.6002, Accuracy:0.2435, Validation Loss:1.5984, Validation Accuracy:0.2545
Epoch #21: Loss:1.5999, Accuracy:0.2427, Validation Loss:1.5986, Validation Accuracy:0.2545
Epoch #22: Loss:1.5996, Accuracy:0.2423, Validation Loss:1.5986, Validation Accuracy:0.2529
Epoch #23: Loss:1.5999, Accuracy:0.2394, Validation Loss:1.5987, Validation Accuracy:0.2562
Epoch #24: Loss:1.5994, Accuracy:0.2423, Validation Loss:1.5995, Validation Accuracy:0.2545
Epoch #25: Loss:1.5988, Accuracy:0.2427, Validation Loss:1.5994, Validation Accuracy:0.2479
Epoch #26: Loss:1.5988, Accuracy:0.2366, Validation Loss:1.5995, Validation Accuracy:0.2545
