======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf10.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 07:20:16 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': '3', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['sk', 'eb', 'mb', 'eo', 'ek', 'yd', 'ib', 'sg', 'by', 'ck', 'my', 'ce', 'ds', 'eg', 'aa'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000023FA427D240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000023FA0A06EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7017, Accuracy:0.0743, Validation Loss:2.6916, Validation Accuracy:0.0525
Epoch #2: Loss:2.6889, Accuracy:0.0698, Validation Loss:2.6816, Validation Accuracy:0.0936
Epoch #3: Loss:2.6807, Accuracy:0.0879, Validation Loss:2.6738, Validation Accuracy:0.0903
Epoch #4: Loss:2.6735, Accuracy:0.0768, Validation Loss:2.6665, Validation Accuracy:0.0657
Epoch #5: Loss:2.6669, Accuracy:0.0669, Validation Loss:2.6584, Validation Accuracy:0.0706
Epoch #6: Loss:2.6593, Accuracy:0.0665, Validation Loss:2.6493, Validation Accuracy:0.0772
Epoch #7: Loss:2.6509, Accuracy:0.0624, Validation Loss:2.6390, Validation Accuracy:0.0706
Epoch #8: Loss:2.6412, Accuracy:0.0661, Validation Loss:2.6271, Validation Accuracy:0.0690
Epoch #9: Loss:2.6302, Accuracy:0.0805, Validation Loss:2.6127, Validation Accuracy:0.1002
Epoch #10: Loss:2.6165, Accuracy:0.0998, Validation Loss:2.5951, Validation Accuracy:0.1363
Epoch #11: Loss:2.6013, Accuracy:0.1368, Validation Loss:2.5752, Validation Accuracy:0.1675
Epoch #12: Loss:2.5859, Accuracy:0.1614, Validation Loss:2.5555, Validation Accuracy:0.1708
Epoch #13: Loss:2.5716, Accuracy:0.1618, Validation Loss:2.5374, Validation Accuracy:0.1724
Epoch #14: Loss:2.5582, Accuracy:0.1618, Validation Loss:2.5231, Validation Accuracy:0.1691
Epoch #15: Loss:2.5519, Accuracy:0.1626, Validation Loss:2.5104, Validation Accuracy:0.1708
Epoch #16: Loss:2.5403, Accuracy:0.1589, Validation Loss:2.5054, Validation Accuracy:0.1675
Epoch #17: Loss:2.5322, Accuracy:0.1634, Validation Loss:2.4917, Validation Accuracy:0.1724
Epoch #18: Loss:2.5249, Accuracy:0.1630, Validation Loss:2.4876, Validation Accuracy:0.1724
Epoch #19: Loss:2.5201, Accuracy:0.1610, Validation Loss:2.4760, Validation Accuracy:0.1773
Epoch #20: Loss:2.5118, Accuracy:0.1598, Validation Loss:2.4743, Validation Accuracy:0.1691
Epoch #21: Loss:2.5081, Accuracy:0.1655, Validation Loss:2.4625, Validation Accuracy:0.1773
Epoch #22: Loss:2.5016, Accuracy:0.1655, Validation Loss:2.4585, Validation Accuracy:0.1741
Epoch #23: Loss:2.4958, Accuracy:0.1651, Validation Loss:2.4527, Validation Accuracy:0.1757
Epoch #24: Loss:2.4916, Accuracy:0.1643, Validation Loss:2.4509, Validation Accuracy:0.1741
Epoch #25: Loss:2.4882, Accuracy:0.1708, Validation Loss:2.4464, Validation Accuracy:0.1757
Epoch #26: Loss:2.4852, Accuracy:0.1688, Validation Loss:2.4470, Validation Accuracy:0.1757
Epoch #27: Loss:2.4821, Accuracy:0.1696, Validation Loss:2.4377, Validation Accuracy:0.1773
Epoch #28: Loss:2.4801, Accuracy:0.1713, Validation Loss:2.4361, Validation Accuracy:0.1839
Epoch #29: Loss:2.4759, Accuracy:0.1717, Validation Loss:2.4412, Validation Accuracy:0.1773
Epoch #30: Loss:2.4763, Accuracy:0.1733, Validation Loss:2.4321, Validation Accuracy:0.1839
Epoch #31: Loss:2.4744, Accuracy:0.1717, Validation Loss:2.4302, Validation Accuracy:0.1806
Epoch #32: Loss:2.4703, Accuracy:0.1725, Validation Loss:2.4313, Validation Accuracy:0.1823
Epoch #33: Loss:2.4695, Accuracy:0.1713, Validation Loss:2.4264, Validation Accuracy:0.1806
Epoch #34: Loss:2.4700, Accuracy:0.1704, Validation Loss:2.4287, Validation Accuracy:0.1954
Epoch #35: Loss:2.4697, Accuracy:0.1762, Validation Loss:2.4320, Validation Accuracy:0.1806
Epoch #36: Loss:2.4651, Accuracy:0.1745, Validation Loss:2.4235, Validation Accuracy:0.1888
Epoch #37: Loss:2.4640, Accuracy:0.1729, Validation Loss:2.4223, Validation Accuracy:0.1839
