======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf11.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 07:35:58 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': '3', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['05', '03', '02', '04', '01'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000018AB190BE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000018AAA166EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6199, Accuracy:0.1881, Validation Loss:1.6110, Validation Accuracy:0.1938
Epoch #2: Loss:1.6089, Accuracy:0.2115, Validation Loss:1.6067, Validation Accuracy:0.2332
Epoch #3: Loss:1.6065, Accuracy:0.2329, Validation Loss:1.6064, Validation Accuracy:0.2332
Epoch #4: Loss:1.6065, Accuracy:0.2329, Validation Loss:1.6061, Validation Accuracy:0.2332
Epoch #5: Loss:1.6059, Accuracy:0.2329, Validation Loss:1.6054, Validation Accuracy:0.2332
Epoch #6: Loss:1.6055, Accuracy:0.2329, Validation Loss:1.6050, Validation Accuracy:0.2332
Epoch #7: Loss:1.6051, Accuracy:0.2329, Validation Loss:1.6047, Validation Accuracy:0.2332
Epoch #8: Loss:1.6050, Accuracy:0.2329, Validation Loss:1.6045, Validation Accuracy:0.2332
Epoch #9: Loss:1.6048, Accuracy:0.2329, Validation Loss:1.6042, Validation Accuracy:0.2332
Epoch #10: Loss:1.6045, Accuracy:0.2329, Validation Loss:1.6040, Validation Accuracy:0.2332
Epoch #11: Loss:1.6042, Accuracy:0.2329, Validation Loss:1.6038, Validation Accuracy:0.2332
Epoch #12: Loss:1.6041, Accuracy:0.2329, Validation Loss:1.6036, Validation Accuracy:0.2332
Epoch #13: Loss:1.6040, Accuracy:0.2329, Validation Loss:1.6033, Validation Accuracy:0.2332
Epoch #14: Loss:1.6038, Accuracy:0.2329, Validation Loss:1.6031, Validation Accuracy:0.2332
Epoch #15: Loss:1.6036, Accuracy:0.2329, Validation Loss:1.6027, Validation Accuracy:0.2332
Epoch #16: Loss:1.6033, Accuracy:0.2329, Validation Loss:1.6025, Validation Accuracy:0.2332
Epoch #17: Loss:1.6031, Accuracy:0.2329, Validation Loss:1.6022, Validation Accuracy:0.2332
Epoch #18: Loss:1.6031, Accuracy:0.2329, Validation Loss:1.6020, Validation Accuracy:0.2332
Epoch #19: Loss:1.6028, Accuracy:0.2329, Validation Loss:1.6016, Validation Accuracy:0.2332
Epoch #20: Loss:1.6024, Accuracy:0.2329, Validation Loss:1.6013, Validation Accuracy:0.2332
Epoch #21: Loss:1.6021, Accuracy:0.2329, Validation Loss:1.6010, Validation Accuracy:0.2332
Epoch #22: Loss:1.6019, Accuracy:0.2329, Validation Loss:1.6007, Validation Accuracy:0.2332
Epoch #23: Loss:1.6016, Accuracy:0.2337, Validation Loss:1.6004, Validation Accuracy:0.2463
Epoch #24: Loss:1.6013, Accuracy:0.2390, Validation Loss:1.6002, Validation Accuracy:0.2447
Epoch #25: Loss:1.6013, Accuracy:0.2423, Validation Loss:1.6000, Validation Accuracy:0.2463
Epoch #26: Loss:1.6012, Accuracy:0.2382, Validation Loss:1.5997, Validation Accuracy:0.2447
