======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf13.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 08:07:16 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': 'Front', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['sg', 'ek', 'mb', 'ce', 'my', 'by', 'ib', 'yd', 'sk', 'eo', 'aa', 'eg', 'eb', 'ds', 'ck'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001B851FDD240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001B84E766EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7051, Accuracy:0.0949, Validation Loss:2.6954, Validation Accuracy:0.0821
Epoch #2: Loss:2.6914, Accuracy:0.0813, Validation Loss:2.6860, Validation Accuracy:0.0821
Epoch #3: Loss:2.6826, Accuracy:0.0875, Validation Loss:2.6778, Validation Accuracy:0.1002
Epoch #4: Loss:2.6739, Accuracy:0.1097, Validation Loss:2.6695, Validation Accuracy:0.1281
Epoch #5: Loss:2.6652, Accuracy:0.1310, Validation Loss:2.6605, Validation Accuracy:0.1363
Epoch #6: Loss:2.6549, Accuracy:0.1339, Validation Loss:2.6504, Validation Accuracy:0.1363
Epoch #7: Loss:2.6431, Accuracy:0.1355, Validation Loss:2.6386, Validation Accuracy:0.1544
Epoch #8: Loss:2.6296, Accuracy:0.1515, Validation Loss:2.6244, Validation Accuracy:0.1445
Epoch #9: Loss:2.6136, Accuracy:0.1466, Validation Loss:2.6081, Validation Accuracy:0.1511
Epoch #10: Loss:2.5954, Accuracy:0.1470, Validation Loss:2.5899, Validation Accuracy:0.1593
Epoch #11: Loss:2.5756, Accuracy:0.1556, Validation Loss:2.5707, Validation Accuracy:0.1576
Epoch #12: Loss:2.5554, Accuracy:0.1634, Validation Loss:2.5513, Validation Accuracy:0.1642
Epoch #13: Loss:2.5363, Accuracy:0.1626, Validation Loss:2.5348, Validation Accuracy:0.1609
Epoch #14: Loss:2.5231, Accuracy:0.1634, Validation Loss:2.5223, Validation Accuracy:0.1757
Epoch #15: Loss:2.5119, Accuracy:0.1688, Validation Loss:2.5113, Validation Accuracy:0.1724
Epoch #16: Loss:2.5009, Accuracy:0.1643, Validation Loss:2.5044, Validation Accuracy:0.1724
Epoch #17: Loss:2.4947, Accuracy:0.1688, Validation Loss:2.4988, Validation Accuracy:0.1658
Epoch #18: Loss:2.4888, Accuracy:0.1733, Validation Loss:2.4950, Validation Accuracy:0.1790
Epoch #19: Loss:2.4850, Accuracy:0.1713, Validation Loss:2.4910, Validation Accuracy:0.1675
Epoch #20: Loss:2.4820, Accuracy:0.1684, Validation Loss:2.4865, Validation Accuracy:0.1708
Epoch #21: Loss:2.4759, Accuracy:0.1717, Validation Loss:2.4827, Validation Accuracy:0.1708
Epoch #22: Loss:2.4737, Accuracy:0.1754, Validation Loss:2.4812, Validation Accuracy:0.1790
Epoch #23: Loss:2.4711, Accuracy:0.1713, Validation Loss:2.4775, Validation Accuracy:0.1806
Epoch #24: Loss:2.4686, Accuracy:0.1754, Validation Loss:2.4760, Validation Accuracy:0.1773
Epoch #25: Loss:2.4673, Accuracy:0.1688, Validation Loss:2.4739, Validation Accuracy:0.1741
Epoch #26: Loss:2.4672, Accuracy:0.1766, Validation Loss:2.4710, Validation Accuracy:0.1773
Epoch #27: Loss:2.4633, Accuracy:0.1741, Validation Loss:2.4691, Validation Accuracy:0.1757
