======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf15.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 08:38:37 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': 'Front', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['01', '02', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001D85C494E80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001D853D36EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0848, Accuracy:0.3713, Validation Loss:1.0753, Validation Accuracy:0.3727
Epoch #2: Loss:1.0746, Accuracy:0.3799, Validation Loss:1.0757, Validation Accuracy:0.3941
Epoch #3: Loss:1.0750, Accuracy:0.3943, Validation Loss:1.0753, Validation Accuracy:0.3941
Epoch #4: Loss:1.0745, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #5: Loss:1.0740, Accuracy:0.3943, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #6: Loss:1.0740, Accuracy:0.3885, Validation Loss:1.0745, Validation Accuracy:0.4023
Epoch #7: Loss:1.0738, Accuracy:0.4045, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #8: Loss:1.0736, Accuracy:0.3971, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #9: Loss:1.0737, Accuracy:0.3943, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #10: Loss:1.0738, Accuracy:0.3955, Validation Loss:1.0744, Validation Accuracy:0.3908
Epoch #11: Loss:1.0736, Accuracy:0.3926, Validation Loss:1.0743, Validation Accuracy:0.3908
Epoch #12: Loss:1.0734, Accuracy:0.3934, Validation Loss:1.0742, Validation Accuracy:0.3990
Epoch #13: Loss:1.0733, Accuracy:0.3955, Validation Loss:1.0742, Validation Accuracy:0.4039
Epoch #14: Loss:1.0733, Accuracy:0.4025, Validation Loss:1.0744, Validation Accuracy:0.3990
Epoch #15: Loss:1.0731, Accuracy:0.4025, Validation Loss:1.0740, Validation Accuracy:0.4056
Epoch #16: Loss:1.0730, Accuracy:0.3979, Validation Loss:1.0739, Validation Accuracy:0.4023
Epoch #17: Loss:1.0733, Accuracy:0.3988, Validation Loss:1.0740, Validation Accuracy:0.4007
Epoch #18: Loss:1.0730, Accuracy:0.4021, Validation Loss:1.0742, Validation Accuracy:0.4007
Epoch #19: Loss:1.0730, Accuracy:0.4074, Validation Loss:1.0740, Validation Accuracy:0.4039
Epoch #20: Loss:1.0725, Accuracy:0.4090, Validation Loss:1.0738, Validation Accuracy:0.4039
Epoch #21: Loss:1.0727, Accuracy:0.3984, Validation Loss:1.0737, Validation Accuracy:0.3990
Epoch #22: Loss:1.0723, Accuracy:0.3947, Validation Loss:1.0737, Validation Accuracy:0.4056
Epoch #23: Loss:1.0721, Accuracy:0.4021, Validation Loss:1.0737, Validation Accuracy:0.4122
Epoch #24: Loss:1.0720, Accuracy:0.4078, Validation Loss:1.0735, Validation Accuracy:0.3990
Epoch #25: Loss:1.0720, Accuracy:0.4025, Validation Loss:1.0733, Validation Accuracy:0.4039
Epoch #26: Loss:1.0716, Accuracy:0.4115, Validation Loss:1.0733, Validation Accuracy:0.4154
Epoch #27: Loss:1.0716, Accuracy:0.4062, Validation Loss:1.0733, Validation Accuracy:0.3957
Epoch #28: Loss:1.0713, Accuracy:0.4066, Validation Loss:1.0734, Validation Accuracy:0.4105
Epoch #29: Loss:1.0713, Accuracy:0.4160, Validation Loss:1.0731, Validation Accuracy:0.4089
Epoch #30: Loss:1.0712, Accuracy:0.4057, Validation Loss:1.0732, Validation Accuracy:0.3974
Epoch #31: Loss:1.0709, Accuracy:0.4107, Validation Loss:1.0734, Validation Accuracy:0.4072
Epoch #32: Loss:1.0706, Accuracy:0.4123, Validation Loss:1.0732, Validation Accuracy:0.3990
Epoch #33: Loss:1.0709, Accuracy:0.4062, Validation Loss:1.0732, Validation Accuracy:0.4039
Epoch #34: Loss:1.0710, Accuracy:0.4074, Validation Loss:1.0747, Validation Accuracy:0.4105
Epoch #35: Loss:1.0702, Accuracy:0.4136, Validation Loss:1.0737, Validation Accuracy:0.3892
Epoch #36: Loss:1.0698, Accuracy:0.4168, Validation Loss:1.0735, Validation Accuracy:0.4138
Epoch #37: Loss:1.0685, Accuracy:0.4197, Validation Loss:1.0735, Validation Accuracy:0.4072
Epoch #38: Loss:1.0683, Accuracy:0.4144, Validation Loss:1.0737, Validation Accuracy:0.4056
Epoch #39: Loss:1.0675, Accuracy:0.4242, Validation Loss:1.0743, Validation Accuracy:0.4122
Epoch #40: Loss:1.0662, Accuracy:0.4263, Validation Loss:1.0749, Validation Accuracy:0.4007
Epoch #41: Loss:1.0665, Accuracy:0.4214, Validation Loss:1.0759, Validation Accuracy:0.4007
Epoch #42: Loss:1.0663, Accuracy:0.4259, Validation Loss:1.0769, Validation Accuracy:0.3859
Epoch #43: Loss:1.0648, Accuracy:0.4292, Validation Loss:1.0770, Validation Accuracy:0.3924
Epoch #44: Loss:1.0635, Accuracy:0.4341, Validation Loss:1.0778, Validation Accuracy:0.3859
Epoch #45: Loss:1.0624, Accuracy:0.4279, Validation Loss:1.0791, Validation Accuracy:0.3941
Epoch #46: Loss:1.0618, Accuracy:0.4353, Validation Loss:1.0816, Validation Accuracy:0.3842
Epoch #47: Loss:1.0628, Accuracy:0.4337, Validation Loss:1.0847, Validation Accuracy:0.3924
Epoch #48: Loss:1.0638, Accuracy:0.4324, Validation Loss:1.0855, Validation Accuracy:0.3760
Epoch #49: Loss:1.0630, Accuracy:0.4300, Validation Loss:1.0821, Validation Accuracy:0.3908
Epoch #50: Loss:1.0609, Accuracy:0.4267, Validation Loss:1.0834, Validation Accuracy:0.3892
Epoch #51: Loss:1.0601, Accuracy:0.4271, Validation Loss:1.0831, Validation Accuracy:0.3875
Epoch #52: Loss:1.0607, Accuracy:0.4324, Validation Loss:1.0797, Validation Accuracy:0.3842
Epoch #53: Loss:1.0610, Accuracy:0.4345, Validation Loss:1.0794, Validation Accuracy:0.3875
Epoch #54: Loss:1.0578, Accuracy:0.4394, Validation Loss:1.0823, Validation Accuracy:0.3924
Epoch #55: Loss:1.0590, Accuracy:0.4370, Validation Loss:1.0827, Validation Accuracy:0.3760
Epoch #56: Loss:1.0582, Accuracy:0.4341, Validation Loss:1.0826, Validation Accuracy:0.3810
Epoch #57: Loss:1.0571, Accuracy:0.4423, Validation Loss:1.0825, Validation Accuracy:0.3810
Epoch #58: Loss:1.0557, Accuracy:0.4439, Validation Loss:1.0840, Validation Accuracy:0.3826
Epoch #59: Loss:1.0546, Accuracy:0.4489, Validation Loss:1.0851, Validation Accuracy:0.3678
Epoch #60: Loss:1.0566, Accuracy:0.4509, Validation Loss:1.0843, Validation Accuracy:0.3727
Epoch #61: Loss:1.0557, Accuracy:0.4382, Validation Loss:1.0858, Validation Accuracy:0.3957
Epoch #62: Loss:1.0564, Accuracy:0.4370, Validation Loss:1.0860, Validation Accuracy:0.3892
Epoch #63: Loss:1.0546, Accuracy:0.4394, Validation Loss:1.0880, Validation Accuracy:0.4007
Epoch #64: Loss:1.0536, Accuracy:0.4505, Validation Loss:1.0873, Validation Accuracy:0.3875
Epoch #65: Loss:1.0554, Accuracy:0.4398, Validation Loss:1.0866, Validation Accuracy:0.4072
Epoch #66: Loss:1.0557, Accuracy:0.4448, Validation Loss:1.0855, Validation Accuracy:0.3810
Epoch #67: Loss:1.0504, Accuracy:0.4439, Validation Loss:1.0881, Validation Accuracy:0.3892
Epoch #68: Loss:1.0488, Accuracy:0.4554, Validation Loss:1.0896, Validation Accuracy:0.3760
Epoch #69: Loss:1.0492, Accuracy:0.4513, Validation Loss:1.0868, Validation Accuracy:0.4023
Epoch #70: Loss:1.0492, Accuracy:0.4600, Validation Loss:1.0886, Validation Accuracy:0.3908
Epoch #71: Loss:1.0439, Accuracy:0.4628, Validation Loss:1.0954, Validation Accuracy:0.3842
Epoch #72: Loss:1.0451, Accuracy:0.4624, Validation Loss:1.0909, Validation Accuracy:0.3727
Epoch #73: Loss:1.0424, Accuracy:0.4608, Validation Loss:1.0946, Validation Accuracy:0.3793
Epoch #74: Loss:1.0403, Accuracy:0.4694, Validation Loss:1.0937, Validation Accuracy:0.3842
Epoch #75: Loss:1.0371, Accuracy:0.4752, Validation Loss:1.0956, Validation Accuracy:0.3842
Epoch #76: Loss:1.0351, Accuracy:0.4727, Validation Loss:1.0998, Validation Accuracy:0.3826
Epoch #77: Loss:1.0356, Accuracy:0.4747, Validation Loss:1.1010, Validation Accuracy:0.3892
Epoch #78: Loss:1.0336, Accuracy:0.4731, Validation Loss:1.1075, Validation Accuracy:0.3957
