======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf17.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 09:56:40 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nMags', 'channelMode': 'Split', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
12176 Files with 5 Label(s): ['03', '04', '01', '02', '05'].
Padding:................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 12176 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
9740 steps for training, 2436 steps for test
Splitting Train and Test Data...
------Model for nMags------
---LSTM Classifier---
Train Batch: (9740, 7991, 7)
Test Batch: (2436, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x0000024FD0B11E48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x0000024FCE1C6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6109, Accuracy:0.2093, Validation Loss:1.6063, Validation Accuracy:0.2328
Epoch #2: Loss:1.6056, Accuracy:0.2330, Validation Loss:1.6053, Validation Accuracy:0.2328
Epoch #3: Loss:1.6054, Accuracy:0.2330, Validation Loss:1.6052, Validation Accuracy:0.2328
Epoch #4: Loss:1.6052, Accuracy:0.2354, Validation Loss:1.6046, Validation Accuracy:0.2328
Epoch #5: Loss:1.6039, Accuracy:0.2330, Validation Loss:1.6036, Validation Accuracy:0.2328
Epoch #6: Loss:1.6035, Accuracy:0.2330, Validation Loss:1.6029, Validation Accuracy:0.2328
Epoch #7: Loss:1.6031, Accuracy:0.2379, Validation Loss:1.6021, Validation Accuracy:0.2336
Epoch #8: Loss:1.6019, Accuracy:0.2406, Validation Loss:1.6010, Validation Accuracy:0.2414
Epoch #9: Loss:1.6009, Accuracy:0.2429, Validation Loss:1.6003, Validation Accuracy:0.2430
Epoch #10: Loss:1.6002, Accuracy:0.2435, Validation Loss:1.5999, Validation Accuracy:0.2422
Epoch #11: Loss:1.6009, Accuracy:0.2403, Validation Loss:1.5998, Validation Accuracy:0.2430
Epoch #12: Loss:1.5996, Accuracy:0.2447, Validation Loss:1.5991, Validation Accuracy:0.2430
Epoch #13: Loss:1.5989, Accuracy:0.2448, Validation Loss:1.5988, Validation Accuracy:0.2422
Epoch #14: Loss:1.5997, Accuracy:0.2448, Validation Loss:1.5999, Validation Accuracy:0.2434
Epoch #15: Loss:1.5994, Accuracy:0.2429, Validation Loss:1.5992, Validation Accuracy:0.2438
Epoch #16: Loss:1.5992, Accuracy:0.2445, Validation Loss:1.5995, Validation Accuracy:0.2434
Epoch #17: Loss:1.5986, Accuracy:0.2449, Validation Loss:1.5987, Validation Accuracy:0.2471
Epoch #18: Loss:1.5979, Accuracy:0.2436, Validation Loss:1.5981, Validation Accuracy:0.2467
Epoch #19: Loss:1.5977, Accuracy:0.2452, Validation Loss:1.5984, Validation Accuracy:0.2467
Epoch #20: Loss:1.5980, Accuracy:0.2407, Validation Loss:1.5982, Validation Accuracy:0.2418
Epoch #21: Loss:1.5975, Accuracy:0.2439, Validation Loss:1.5988, Validation Accuracy:0.2484
Epoch #22: Loss:1.5969, Accuracy:0.2419, Validation Loss:1.5983, Validation Accuracy:0.2422
Epoch #23: Loss:1.5970, Accuracy:0.2445, Validation Loss:1.5980, Validation Accuracy:0.2479
Epoch #24: Loss:1.5963, Accuracy:0.2414, Validation Loss:1.5982, Validation Accuracy:0.2479
Epoch #25: Loss:1.5963, Accuracy:0.2441, Validation Loss:1.5985, Validation Accuracy:0.2443
Epoch #26: Loss:1.5957, Accuracy:0.2446, Validation Loss:1.5981, Validation Accuracy:0.2434
Epoch #27: Loss:1.5957, Accuracy:0.2421, Validation Loss:1.5978, Validation Accuracy:0.2430
Epoch #28: Loss:1.5957, Accuracy:0.2428, Validation Loss:1.5976, Validation Accuracy:0.2434
Epoch #29: Loss:1.5946, Accuracy:0.2443, Validation Loss:1.5967, Validation Accuracy:0.2504
Epoch #30: Loss:1.5943, Accuracy:0.2432, Validation Loss:1.5973, Validation Accuracy:0.2443
Epoch #31: Loss:1.5951, Accuracy:0.2429, Validation Loss:1.5979, Validation Accuracy:0.2525
Epoch #32: Loss:1.5991, Accuracy:0.2348, Validation Loss:1.5981, Validation Accuracy:0.2414
Epoch #33: Loss:1.5954, Accuracy:0.2440, Validation Loss:1.5968, Validation Accuracy:0.2537
Epoch #34: Loss:1.5939, Accuracy:0.2437, Validation Loss:1.5965, Validation Accuracy:0.2521
Epoch #35: Loss:1.5924, Accuracy:0.2436, Validation Loss:1.5954, Validation Accuracy:0.2533
Epoch #36: Loss:1.5921, Accuracy:0.2418, Validation Loss:1.5968, Validation Accuracy:0.2533
Epoch #37: Loss:1.5920, Accuracy:0.2490, Validation Loss:1.5940, Validation Accuracy:0.2455
Epoch #38: Loss:1.5911, Accuracy:0.2437, Validation Loss:1.5952, Validation Accuracy:0.2488
Epoch #39: Loss:1.5893, Accuracy:0.2496, Validation Loss:1.5944, Validation Accuracy:0.2385
Epoch #40: Loss:1.5889, Accuracy:0.2530, Validation Loss:1.5927, Validation Accuracy:0.2607
Epoch #41: Loss:1.5866, Accuracy:0.2542, Validation Loss:1.5932, Validation Accuracy:0.2619
Epoch #42: Loss:1.5874, Accuracy:0.2512, Validation Loss:1.5997, Validation Accuracy:0.2508
