======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf22.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 12:48:35 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nPhases', 'channelMode': '1', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['sg', 'sk', 'eo', 'yd', 'eg', 'ck', 'ds', 'ib', 'my', 'ce', 'aa', 'eb', 'ek', 'by', 'mb'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nPhases------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001EE4E18D240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001EE49946EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7106, Accuracy:0.0378, Validation Loss:2.7070, Validation Accuracy:0.0312
Epoch #2: Loss:2.7007, Accuracy:0.0595, Validation Loss:2.6956, Validation Accuracy:0.0821
Epoch #3: Loss:2.6912, Accuracy:0.0928, Validation Loss:2.6885, Validation Accuracy:0.0854
Epoch #4: Loss:2.6835, Accuracy:0.1084, Validation Loss:2.6824, Validation Accuracy:0.1002
Epoch #5: Loss:2.6779, Accuracy:0.1158, Validation Loss:2.6766, Validation Accuracy:0.1067
Epoch #6: Loss:2.6711, Accuracy:0.1269, Validation Loss:2.6718, Validation Accuracy:0.1166
Epoch #7: Loss:2.6664, Accuracy:0.1298, Validation Loss:2.6665, Validation Accuracy:0.1084
Epoch #8: Loss:2.6593, Accuracy:0.1388, Validation Loss:2.6591, Validation Accuracy:0.1363
Epoch #9: Loss:2.6510, Accuracy:0.1421, Validation Loss:2.6508, Validation Accuracy:0.1330
Epoch #10: Loss:2.6415, Accuracy:0.1396, Validation Loss:2.6387, Validation Accuracy:0.1297
Epoch #11: Loss:2.6297, Accuracy:0.1339, Validation Loss:2.6265, Validation Accuracy:0.1297
Epoch #12: Loss:2.6151, Accuracy:0.1351, Validation Loss:2.6117, Validation Accuracy:0.1297
Epoch #13: Loss:2.5991, Accuracy:0.1368, Validation Loss:2.5948, Validation Accuracy:0.1429
Epoch #14: Loss:2.5826, Accuracy:0.1421, Validation Loss:2.5958, Validation Accuracy:0.1478
Epoch #15: Loss:2.5816, Accuracy:0.1368, Validation Loss:2.5725, Validation Accuracy:0.1314
Epoch #16: Loss:2.5624, Accuracy:0.1606, Validation Loss:2.5704, Validation Accuracy:0.1642
Epoch #17: Loss:2.5591, Accuracy:0.1544, Validation Loss:2.5478, Validation Accuracy:0.1642
Epoch #18: Loss:2.5428, Accuracy:0.1405, Validation Loss:2.5474, Validation Accuracy:0.1281
Epoch #19: Loss:2.5312, Accuracy:0.1458, Validation Loss:2.5349, Validation Accuracy:0.1560
Epoch #20: Loss:2.5220, Accuracy:0.1487, Validation Loss:2.5207, Validation Accuracy:0.1412
Epoch #21: Loss:2.5117, Accuracy:0.1470, Validation Loss:2.5118, Validation Accuracy:0.1527
Epoch #22: Loss:2.5051, Accuracy:0.1544, Validation Loss:2.5071, Validation Accuracy:0.1708
Epoch #23: Loss:2.5017, Accuracy:0.1585, Validation Loss:2.4960, Validation Accuracy:0.1576
Epoch #24: Loss:2.4990, Accuracy:0.1561, Validation Loss:2.4922, Validation Accuracy:0.1790
Epoch #25: Loss:2.4935, Accuracy:0.1630, Validation Loss:2.4868, Validation Accuracy:0.1757
Epoch #26: Loss:2.4900, Accuracy:0.1606, Validation Loss:2.4817, Validation Accuracy:0.1790
Epoch #27: Loss:2.4843, Accuracy:0.1725, Validation Loss:2.4790, Validation Accuracy:0.1724
