======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf23.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 13:04:23 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nPhases', 'channelMode': '1', 'classificationMode': 'Posture5', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 5 Label(s): ['02', '03', '05', '01', '04'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 5 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nPhases------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001C39AE6BE48>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001C397606EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 5)                 65        
=================================================================
Total params: 11,561
Trainable params: 11,561
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.6091, Accuracy:0.2246, Validation Loss:1.6066, Validation Accuracy:0.2365
Epoch #2: Loss:1.6052, Accuracy:0.2402, Validation Loss:1.6051, Validation Accuracy:0.2332
Epoch #3: Loss:1.6050, Accuracy:0.2316, Validation Loss:1.6055, Validation Accuracy:0.2381
Epoch #4: Loss:1.6051, Accuracy:0.2300, Validation Loss:1.6062, Validation Accuracy:0.2430
Epoch #5: Loss:1.6057, Accuracy:0.2300, Validation Loss:1.6055, Validation Accuracy:0.2365
Epoch #6: Loss:1.6046, Accuracy:0.2292, Validation Loss:1.6056, Validation Accuracy:0.2332
Epoch #7: Loss:1.6047, Accuracy:0.2329, Validation Loss:1.6055, Validation Accuracy:0.2299
Epoch #8: Loss:1.6044, Accuracy:0.2324, Validation Loss:1.6057, Validation Accuracy:0.2348
Epoch #9: Loss:1.6043, Accuracy:0.2341, Validation Loss:1.6056, Validation Accuracy:0.2348
Epoch #10: Loss:1.6038, Accuracy:0.2341, Validation Loss:1.6057, Validation Accuracy:0.2332
Epoch #11: Loss:1.6033, Accuracy:0.2329, Validation Loss:1.6063, Validation Accuracy:0.2332
Epoch #12: Loss:1.6028, Accuracy:0.2329, Validation Loss:1.6066, Validation Accuracy:0.2332
Epoch #13: Loss:1.6024, Accuracy:0.2378, Validation Loss:1.6068, Validation Accuracy:0.2315
Epoch #14: Loss:1.6020, Accuracy:0.2407, Validation Loss:1.6072, Validation Accuracy:0.2299
Epoch #15: Loss:1.6015, Accuracy:0.2398, Validation Loss:1.6072, Validation Accuracy:0.2315
Epoch #16: Loss:1.6014, Accuracy:0.2398, Validation Loss:1.6079, Validation Accuracy:0.2299
Epoch #17: Loss:1.6011, Accuracy:0.2386, Validation Loss:1.6075, Validation Accuracy:0.2233
Epoch #18: Loss:1.6022, Accuracy:0.2370, Validation Loss:1.6083, Validation Accuracy:0.2282
Epoch #19: Loss:1.6015, Accuracy:0.2398, Validation Loss:1.6090, Validation Accuracy:0.2315
Epoch #20: Loss:1.6015, Accuracy:0.2407, Validation Loss:1.6093, Validation Accuracy:0.2315
Epoch #21: Loss:1.6009, Accuracy:0.2419, Validation Loss:1.6083, Validation Accuracy:0.2332
Epoch #22: Loss:1.6005, Accuracy:0.2370, Validation Loss:1.6089, Validation Accuracy:0.2135
Epoch #23: Loss:1.6009, Accuracy:0.2304, Validation Loss:1.6090, Validation Accuracy:0.2167
Epoch #24: Loss:1.6003, Accuracy:0.2374, Validation Loss:1.6097, Validation Accuracy:0.2332
Epoch #25: Loss:1.5997, Accuracy:0.2419, Validation Loss:1.6105, Validation Accuracy:0.2365
Epoch #26: Loss:1.5993, Accuracy:0.2415, Validation Loss:1.6107, Validation Accuracy:0.2233
