======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf28.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 14:23:00 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nPhases', 'channelMode': '3', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['ck', 'ib', 'ce', 'my', 'sg', 'aa', 'yd', 'ek', 'eg', 'mb', 'sk', 'eb', 'ds', 'by', 'eo'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nPhases------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x00000185D7E7E240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x00000185D55D6EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7092, Accuracy:0.0575, Validation Loss:2.7029, Validation Accuracy:0.0608
Epoch #2: Loss:2.6993, Accuracy:0.0608, Validation Loss:2.6940, Validation Accuracy:0.0624
Epoch #3: Loss:2.6916, Accuracy:0.0608, Validation Loss:2.6871, Validation Accuracy:0.0575
Epoch #4: Loss:2.6841, Accuracy:0.0587, Validation Loss:2.6796, Validation Accuracy:0.1018
Epoch #5: Loss:2.6770, Accuracy:0.1055, Validation Loss:2.6724, Validation Accuracy:0.1067
Epoch #6: Loss:2.6701, Accuracy:0.1109, Validation Loss:2.6654, Validation Accuracy:0.1051
Epoch #7: Loss:2.6628, Accuracy:0.1138, Validation Loss:2.6581, Validation Accuracy:0.1051
Epoch #8: Loss:2.6556, Accuracy:0.1199, Validation Loss:2.6504, Validation Accuracy:0.1199
Epoch #9: Loss:2.6477, Accuracy:0.1179, Validation Loss:2.6411, Validation Accuracy:0.1199
Epoch #10: Loss:2.6366, Accuracy:0.1236, Validation Loss:2.6322, Validation Accuracy:0.1232
Epoch #11: Loss:2.6266, Accuracy:0.1248, Validation Loss:2.6195, Validation Accuracy:0.1215
Epoch #12: Loss:2.6138, Accuracy:0.1339, Validation Loss:2.6065, Validation Accuracy:0.1379
Epoch #13: Loss:2.6008, Accuracy:0.1466, Validation Loss:2.5963, Validation Accuracy:0.1642
Epoch #14: Loss:2.5898, Accuracy:0.1598, Validation Loss:2.5801, Validation Accuracy:0.1642
Epoch #15: Loss:2.5767, Accuracy:0.1552, Validation Loss:2.5658, Validation Accuracy:0.1642
Epoch #16: Loss:2.5610, Accuracy:0.1606, Validation Loss:2.5571, Validation Accuracy:0.1741
Epoch #17: Loss:2.5485, Accuracy:0.1598, Validation Loss:2.6186, Validation Accuracy:0.1264
Epoch #18: Loss:2.5641, Accuracy:0.1520, Validation Loss:2.5396, Validation Accuracy:0.1757
Epoch #19: Loss:2.5301, Accuracy:0.1610, Validation Loss:2.5252, Validation Accuracy:0.1691
Epoch #20: Loss:2.5211, Accuracy:0.1598, Validation Loss:2.5154, Validation Accuracy:0.1724
Epoch #21: Loss:2.5112, Accuracy:0.1606, Validation Loss:2.5149, Validation Accuracy:0.1741
Epoch #22: Loss:2.5063, Accuracy:0.1610, Validation Loss:2.5034, Validation Accuracy:0.1708
Epoch #23: Loss:2.5012, Accuracy:0.1614, Validation Loss:2.4962, Validation Accuracy:0.1724
Epoch #24: Loss:2.4929, Accuracy:0.1610, Validation Loss:2.4956, Validation Accuracy:0.1741
Epoch #25: Loss:2.4890, Accuracy:0.1651, Validation Loss:2.4871, Validation Accuracy:0.1741
Epoch #26: Loss:2.4829, Accuracy:0.1634, Validation Loss:2.4843, Validation Accuracy:0.1872
Epoch #27: Loss:2.4808, Accuracy:0.1655, Validation Loss:2.4813, Validation Accuracy:0.1741
