======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf31.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 15:10:15 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nPhases', 'channelMode': 'Front', 'classificationMode': 'Speaker', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 15 Label(s): ['aa', 'yd', 'ck', 'eo', 'ek', 'ds', 'sg', 'eb', 'ib', 'ce', 'eg', 'my', 'mb', 'sk', 'by'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 15 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nPhases------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001AD94F6D240>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001AD90726EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 15)                195       
=================================================================
Total params: 11,691
Trainable params: 11,691
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.7000, Accuracy:0.0850, Validation Loss:2.6938, Validation Accuracy:0.0854
Epoch #2: Loss:2.6898, Accuracy:0.0850, Validation Loss:2.6847, Validation Accuracy:0.0854
Epoch #3: Loss:2.6814, Accuracy:0.0809, Validation Loss:2.6763, Validation Accuracy:0.0772
Epoch #4: Loss:2.6738, Accuracy:0.0809, Validation Loss:2.6691, Validation Accuracy:0.0870
Epoch #5: Loss:2.6680, Accuracy:0.0895, Validation Loss:2.6671, Validation Accuracy:0.0936
Epoch #6: Loss:2.6661, Accuracy:0.1080, Validation Loss:2.6629, Validation Accuracy:0.1018
Epoch #7: Loss:2.6618, Accuracy:0.1043, Validation Loss:2.6574, Validation Accuracy:0.1182
Epoch #8: Loss:2.6565, Accuracy:0.1248, Validation Loss:2.6521, Validation Accuracy:0.1412
Epoch #9: Loss:2.6512, Accuracy:0.1331, Validation Loss:2.6454, Validation Accuracy:0.1478
Epoch #10: Loss:2.6449, Accuracy:0.1351, Validation Loss:2.6384, Validation Accuracy:0.1429
Epoch #11: Loss:2.6377, Accuracy:0.1326, Validation Loss:2.6302, Validation Accuracy:0.1461
Epoch #12: Loss:2.6298, Accuracy:0.1511, Validation Loss:2.6195, Validation Accuracy:0.1675
Epoch #13: Loss:2.6192, Accuracy:0.1610, Validation Loss:2.6057, Validation Accuracy:0.1658
Epoch #14: Loss:2.6076, Accuracy:0.1606, Validation Loss:2.5895, Validation Accuracy:0.1675
Epoch #15: Loss:2.5948, Accuracy:0.1610, Validation Loss:2.5723, Validation Accuracy:0.1675
Epoch #16: Loss:2.5785, Accuracy:0.1606, Validation Loss:2.5534, Validation Accuracy:0.1675
Epoch #17: Loss:2.5673, Accuracy:0.1618, Validation Loss:2.5474, Validation Accuracy:0.1642
Epoch #18: Loss:2.5878, Accuracy:0.1441, Validation Loss:2.5692, Validation Accuracy:0.1478
Epoch #19: Loss:2.5797, Accuracy:0.1437, Validation Loss:2.5474, Validation Accuracy:0.1741
Epoch #20: Loss:2.5608, Accuracy:0.1626, Validation Loss:2.5172, Validation Accuracy:0.1691
Epoch #21: Loss:2.5392, Accuracy:0.1606, Validation Loss:2.5065, Validation Accuracy:0.1675
Epoch #22: Loss:2.5285, Accuracy:0.1589, Validation Loss:2.4867, Validation Accuracy:0.1675
Epoch #23: Loss:2.5170, Accuracy:0.1610, Validation Loss:2.4796, Validation Accuracy:0.1691
Epoch #24: Loss:2.5101, Accuracy:0.1663, Validation Loss:2.4652, Validation Accuracy:0.1658
Epoch #25: Loss:2.5016, Accuracy:0.1684, Validation Loss:2.4610, Validation Accuracy:0.1790
Epoch #26: Loss:2.4957, Accuracy:0.1721, Validation Loss:2.4531, Validation Accuracy:0.1757
Epoch #27: Loss:2.4902, Accuracy:0.1696, Validation Loss:2.4476, Validation Accuracy:0.1806
Epoch #28: Loss:2.4863, Accuracy:0.1696, Validation Loss:2.4415, Validation Accuracy:0.1806
Epoch #29: Loss:2.4840, Accuracy:0.1708, Validation Loss:2.4443, Validation Accuracy:0.1806
Epoch #30: Loss:2.4804, Accuracy:0.1696, Validation Loss:2.4385, Validation Accuracy:0.1757
Epoch #31: Loss:2.4784, Accuracy:0.1684, Validation Loss:2.4380, Validation Accuracy:0.1741
Epoch #32: Loss:2.4776, Accuracy:0.1749, Validation Loss:2.4346, Validation Accuracy:0.1741
Epoch #33: Loss:2.4752, Accuracy:0.1721, Validation Loss:2.4342, Validation Accuracy:0.1790
Epoch #34: Loss:2.4746, Accuracy:0.1737, Validation Loss:2.4301, Validation Accuracy:0.1757
Epoch #35: Loss:2.4715, Accuracy:0.1754, Validation Loss:2.4338, Validation Accuracy:0.1790
Epoch #36: Loss:2.4752, Accuracy:0.1741, Validation Loss:2.4275, Validation Accuracy:0.1741
Epoch #37: Loss:2.4738, Accuracy:0.1725, Validation Loss:2.4359, Validation Accuracy:0.1823
Epoch #38: Loss:2.4723, Accuracy:0.1721, Validation Loss:2.4265, Validation Accuracy:0.1757
Epoch #39: Loss:2.4680, Accuracy:0.1745, Validation Loss:2.4264, Validation Accuracy:0.1806
Epoch #40: Loss:2.4668, Accuracy:0.1762, Validation Loss:2.4223, Validation Accuracy:0.1741
Epoch #41: Loss:2.4653, Accuracy:0.1729, Validation Loss:2.4273, Validation Accuracy:0.1790
Epoch #42: Loss:2.4648, Accuracy:0.1762, Validation Loss:2.4206, Validation Accuracy:0.1773
Epoch #43: Loss:2.4641, Accuracy:0.1717, Validation Loss:2.4228, Validation Accuracy:0.1790
Epoch #44: Loss:2.4631, Accuracy:0.1778, Validation Loss:2.4192, Validation Accuracy:0.1806
Epoch #45: Loss:2.4627, Accuracy:0.1725, Validation Loss:2.4254, Validation Accuracy:0.1806
Epoch #46: Loss:2.4633, Accuracy:0.1741, Validation Loss:2.4187, Validation Accuracy:0.1872
Epoch #47: Loss:2.4643, Accuracy:0.1745, Validation Loss:2.4276, Validation Accuracy:0.1823
Epoch #48: Loss:2.4659, Accuracy:0.1729, Validation Loss:2.4190, Validation Accuracy:0.1806
Epoch #49: Loss:2.4636, Accuracy:0.1729, Validation Loss:2.4188, Validation Accuracy:0.1790
Epoch #50: Loss:2.4618, Accuracy:0.1758, Validation Loss:2.4197, Validation Accuracy:0.1790
Epoch #51: Loss:2.4604, Accuracy:0.1688, Validation Loss:2.4154, Validation Accuracy:0.1806
Epoch #52: Loss:2.4585, Accuracy:0.1737, Validation Loss:2.4195, Validation Accuracy:0.1790
Epoch #53: Loss:2.4597, Accuracy:0.1704, Validation Loss:2.4133, Validation Accuracy:0.1806
Epoch #54: Loss:2.4587, Accuracy:0.1737, Validation Loss:2.4175, Validation Accuracy:0.1839
Epoch #55: Loss:2.4573, Accuracy:0.1729, Validation Loss:2.4148, Validation Accuracy:0.1806
Epoch #56: Loss:2.4573, Accuracy:0.1749, Validation Loss:2.4162, Validation Accuracy:0.1856
Epoch #57: Loss:2.4558, Accuracy:0.1758, Validation Loss:2.4141, Validation Accuracy:0.1806
Epoch #58: Loss:2.4579, Accuracy:0.1758, Validation Loss:2.4167, Validation Accuracy:0.1839
Epoch #59: Loss:2.4581, Accuracy:0.1704, Validation Loss:2.4142, Validation Accuracy:0.1790
Epoch #60: Loss:2.4568, Accuracy:0.1774, Validation Loss:2.4192, Validation Accuracy:0.1806
Epoch #61: Loss:2.4552, Accuracy:0.1737, Validation Loss:2.4122, Validation Accuracy:0.1806
Epoch #62: Loss:2.4557, Accuracy:0.1791, Validation Loss:2.4153, Validation Accuracy:0.1757
