======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf33.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.30 15:41:47 =======================================
Parameters: {'inputFolder': 'C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/', 'featureMode': 'nPhases', 'channelMode': 'Front', 'classificationMode': 'Posture3', 'trainingEpoch': 300, 'stepSize': 1, 'sampRate': 8, 'batchSize': 512, 'learningRate': 0.001, 'lossFunction': 'CatCrosEnt', 'optimizer': 'Adam', 'clsModel': 'LSTM'}
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['01', '02', '03'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for nPhases------
---LSTM Classifier---
Train Batch: (2435, 7991, 7)
Test Batch: (609, 7991, 7)
Optimizer: <keras.optimizers.Adam object at 0x000001C495624E80>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001C48EE66EA0>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            2696      
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 11,535
Trainable params: 11,535
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.0825, Accuracy:0.3955, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #2: Loss:1.0746, Accuracy:0.3951, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #3: Loss:1.0743, Accuracy:0.3926, Validation Loss:1.0753, Validation Accuracy:0.3957
Epoch #4: Loss:1.0746, Accuracy:0.3967, Validation Loss:1.0750, Validation Accuracy:0.3941
Epoch #5: Loss:1.0745, Accuracy:0.3943, Validation Loss:1.0745, Validation Accuracy:0.3941
Epoch #6: Loss:1.0738, Accuracy:0.3943, Validation Loss:1.0746, Validation Accuracy:0.3924
Epoch #7: Loss:1.0739, Accuracy:0.3984, Validation Loss:1.0743, Validation Accuracy:0.3974
Epoch #8: Loss:1.0739, Accuracy:0.3975, Validation Loss:1.0743, Validation Accuracy:0.3974
Epoch #9: Loss:1.0737, Accuracy:0.3975, Validation Loss:1.0741, Validation Accuracy:0.3892
Epoch #10: Loss:1.0737, Accuracy:0.3979, Validation Loss:1.0744, Validation Accuracy:0.3957
Epoch #11: Loss:1.0736, Accuracy:0.4004, Validation Loss:1.0745, Validation Accuracy:0.3974
Epoch #12: Loss:1.0736, Accuracy:0.3926, Validation Loss:1.0744, Validation Accuracy:0.3957
Epoch #13: Loss:1.0736, Accuracy:0.3979, Validation Loss:1.0744, Validation Accuracy:0.3941
Epoch #14: Loss:1.0736, Accuracy:0.3951, Validation Loss:1.0743, Validation Accuracy:0.3941
Epoch #15: Loss:1.0736, Accuracy:0.3992, Validation Loss:1.0742, Validation Accuracy:0.3957
Epoch #16: Loss:1.0737, Accuracy:0.3955, Validation Loss:1.0744, Validation Accuracy:0.4039
Epoch #17: Loss:1.0736, Accuracy:0.3959, Validation Loss:1.0745, Validation Accuracy:0.3990
Epoch #18: Loss:1.0738, Accuracy:0.3963, Validation Loss:1.0745, Validation Accuracy:0.3974
Epoch #19: Loss:1.0738, Accuracy:0.3979, Validation Loss:1.0743, Validation Accuracy:0.3974
Epoch #20: Loss:1.0737, Accuracy:0.3975, Validation Loss:1.0743, Validation Accuracy:0.3990
Epoch #21: Loss:1.0736, Accuracy:0.3988, Validation Loss:1.0743, Validation Accuracy:0.4023
Epoch #22: Loss:1.0737, Accuracy:0.3979, Validation Loss:1.0744, Validation Accuracy:0.4056
Epoch #23: Loss:1.0735, Accuracy:0.3992, Validation Loss:1.0742, Validation Accuracy:0.4056
Epoch #24: Loss:1.0733, Accuracy:0.3975, Validation Loss:1.0742, Validation Accuracy:0.3974
Epoch #25: Loss:1.0735, Accuracy:0.3975, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #26: Loss:1.0734, Accuracy:0.3975, Validation Loss:1.0743, Validation Accuracy:0.3974
Epoch #27: Loss:1.0736, Accuracy:0.3947, Validation Loss:1.0745, Validation Accuracy:0.4056
Epoch #28: Loss:1.0735, Accuracy:0.3963, Validation Loss:1.0744, Validation Accuracy:0.4072
Epoch #29: Loss:1.0735, Accuracy:0.3979, Validation Loss:1.0744, Validation Accuracy:0.4089
Epoch #30: Loss:1.0733, Accuracy:0.3984, Validation Loss:1.0743, Validation Accuracy:0.4023
Epoch #31: Loss:1.0735, Accuracy:0.3963, Validation Loss:1.0747, Validation Accuracy:0.4007
Epoch #32: Loss:1.0733, Accuracy:0.3971, Validation Loss:1.0745, Validation Accuracy:0.4023
Epoch #33: Loss:1.0734, Accuracy:0.3992, Validation Loss:1.0748, Validation Accuracy:0.3941
Epoch #34: Loss:1.0734, Accuracy:0.4004, Validation Loss:1.0744, Validation Accuracy:0.3990
Epoch #35: Loss:1.0734, Accuracy:0.3984, Validation Loss:1.0744, Validation Accuracy:0.4105
Epoch #36: Loss:1.0732, Accuracy:0.3988, Validation Loss:1.0743, Validation Accuracy:0.4072
Epoch #37: Loss:1.0731, Accuracy:0.3984, Validation Loss:1.0740, Validation Accuracy:0.4023
Epoch #38: Loss:1.0732, Accuracy:0.3988, Validation Loss:1.0738, Validation Accuracy:0.4023
Epoch #39: Loss:1.0731, Accuracy:0.3971, Validation Loss:1.0737, Validation Accuracy:0.4039
Epoch #40: Loss:1.0732, Accuracy:0.4012, Validation Loss:1.0735, Validation Accuracy:0.4023
Epoch #41: Loss:1.0731, Accuracy:0.4004, Validation Loss:1.0737, Validation Accuracy:0.4007
Epoch #42: Loss:1.0733, Accuracy:0.4004, Validation Loss:1.0735, Validation Accuracy:0.4056
Epoch #43: Loss:1.0729, Accuracy:0.4053, Validation Loss:1.0736, Validation Accuracy:0.4023
Epoch #44: Loss:1.0730, Accuracy:0.4008, Validation Loss:1.0735, Validation Accuracy:0.4023
Epoch #45: Loss:1.0733, Accuracy:0.3992, Validation Loss:1.0731, Validation Accuracy:0.3990
Epoch #46: Loss:1.0732, Accuracy:0.3975, Validation Loss:1.0728, Validation Accuracy:0.3941
Epoch #47: Loss:1.0734, Accuracy:0.4016, Validation Loss:1.0726, Validation Accuracy:0.3941
Epoch #48: Loss:1.0740, Accuracy:0.3893, Validation Loss:1.0726, Validation Accuracy:0.3974
Epoch #49: Loss:1.0735, Accuracy:0.4025, Validation Loss:1.0724, Validation Accuracy:0.3990
Epoch #50: Loss:1.0732, Accuracy:0.4008, Validation Loss:1.0719, Validation Accuracy:0.4007
Epoch #51: Loss:1.0731, Accuracy:0.3967, Validation Loss:1.0716, Validation Accuracy:0.4023
Epoch #52: Loss:1.0729, Accuracy:0.3963, Validation Loss:1.0717, Validation Accuracy:0.4023
Epoch #53: Loss:1.0730, Accuracy:0.3967, Validation Loss:1.0718, Validation Accuracy:0.4138
Epoch #54: Loss:1.0731, Accuracy:0.3943, Validation Loss:1.0717, Validation Accuracy:0.3990
Epoch #55: Loss:1.0728, Accuracy:0.3938, Validation Loss:1.0718, Validation Accuracy:0.4007
Epoch #56: Loss:1.0729, Accuracy:0.3947, Validation Loss:1.0720, Validation Accuracy:0.4007
Epoch #57: Loss:1.0730, Accuracy:0.3959, Validation Loss:1.0719, Validation Accuracy:0.4007
Epoch #58: Loss:1.0729, Accuracy:0.3979, Validation Loss:1.0718, Validation Accuracy:0.4023
Epoch #59: Loss:1.0730, Accuracy:0.4025, Validation Loss:1.0717, Validation Accuracy:0.3941
Epoch #60: Loss:1.0731, Accuracy:0.3967, Validation Loss:1.0722, Validation Accuracy:0.3974
Epoch #61: Loss:1.0727, Accuracy:0.3975, Validation Loss:1.0715, Validation Accuracy:0.3957
Epoch #62: Loss:1.0729, Accuracy:0.4025, Validation Loss:1.0718, Validation Accuracy:0.4039
Epoch #63: Loss:1.0730, Accuracy:0.4037, Validation Loss:1.0721, Validation Accuracy:0.3908
Epoch #64: Loss:1.0730, Accuracy:0.3996, Validation Loss:1.0720, Validation Accuracy:0.3990
Epoch #65: Loss:1.0730, Accuracy:0.3992, Validation Loss:1.0721, Validation Accuracy:0.4023
Epoch #66: Loss:1.0729, Accuracy:0.3979, Validation Loss:1.0725, Validation Accuracy:0.4039
Epoch #67: Loss:1.0730, Accuracy:0.4012, Validation Loss:1.0724, Validation Accuracy:0.4039
Epoch #68: Loss:1.0727, Accuracy:0.4012, Validation Loss:1.0719, Validation Accuracy:0.3974
Epoch #69: Loss:1.0728, Accuracy:0.3984, Validation Loss:1.0719, Validation Accuracy:0.4023
Epoch #70: Loss:1.0730, Accuracy:0.3984, Validation Loss:1.0721, Validation Accuracy:0.4039
Epoch #71: Loss:1.0731, Accuracy:0.3959, Validation Loss:1.0720, Validation Accuracy:0.4007
Epoch #72: Loss:1.0728, Accuracy:0.4008, Validation Loss:1.0721, Validation Accuracy:0.3941
Epoch #73: Loss:1.0725, Accuracy:0.4041, Validation Loss:1.0723, Validation Accuracy:0.4056
Epoch #74: Loss:1.0725, Accuracy:0.4123, Validation Loss:1.0715, Validation Accuracy:0.3957
Epoch #75: Loss:1.0727, Accuracy:0.3967, Validation Loss:1.0722, Validation Accuracy:0.3957
Epoch #76: Loss:1.0728, Accuracy:0.4000, Validation Loss:1.0717, Validation Accuracy:0.4269
Epoch #77: Loss:1.0730, Accuracy:0.4045, Validation Loss:1.0721, Validation Accuracy:0.4171
Epoch #78: Loss:1.0729, Accuracy:0.4041, Validation Loss:1.0733, Validation Accuracy:0.3908
Epoch #79: Loss:1.0735, Accuracy:0.3951, Validation Loss:1.0732, Validation Accuracy:0.4039
Epoch #80: Loss:1.0732, Accuracy:0.3979, Validation Loss:1.0732, Validation Accuracy:0.3859
Epoch #81: Loss:1.0735, Accuracy:0.3914, Validation Loss:1.0735, Validation Accuracy:0.4007
Epoch #82: Loss:1.0740, Accuracy:0.3930, Validation Loss:1.0751, Validation Accuracy:0.3810
Epoch #83: Loss:1.0735, Accuracy:0.3910, Validation Loss:1.0736, Validation Accuracy:0.3892
Epoch #84: Loss:1.0732, Accuracy:0.3971, Validation Loss:1.0735, Validation Accuracy:0.3990
Epoch #85: Loss:1.0730, Accuracy:0.3992, Validation Loss:1.0738, Validation Accuracy:0.3957
Epoch #86: Loss:1.0728, Accuracy:0.3992, Validation Loss:1.0735, Validation Accuracy:0.4023
Epoch #87: Loss:1.0732, Accuracy:0.3955, Validation Loss:1.0738, Validation Accuracy:0.3974
Epoch #88: Loss:1.0732, Accuracy:0.4004, Validation Loss:1.0735, Validation Accuracy:0.4023
Epoch #89: Loss:1.0731, Accuracy:0.3963, Validation Loss:1.0733, Validation Accuracy:0.3974
Epoch #90: Loss:1.0731, Accuracy:0.3984, Validation Loss:1.0731, Validation Accuracy:0.4007
Epoch #91: Loss:1.0731, Accuracy:0.3971, Validation Loss:1.0732, Validation Accuracy:0.4007
Epoch #92: Loss:1.0733, Accuracy:0.3971, Validation Loss:1.0732, Validation Accuracy:0.4023
Epoch #93: Loss:1.0730, Accuracy:0.3992, Validation Loss:1.0730, Validation Accuracy:0.4039
Epoch #94: Loss:1.0730, Accuracy:0.3971, Validation Loss:1.0732, Validation Accuracy:0.4072
Epoch #95: Loss:1.0734, Accuracy:0.3959, Validation Loss:1.0733, Validation Accuracy:0.3924
Epoch #96: Loss:1.0734, Accuracy:0.4021, Validation Loss:1.0732, Validation Accuracy:0.4007
Epoch #97: Loss:1.0734, Accuracy:0.3992, Validation Loss:1.0734, Validation Accuracy:0.4023
Epoch #98: Loss:1.0733, Accuracy:0.3996, Validation Loss:1.0736, Validation Accuracy:0.4039
Epoch #99: Loss:1.0731, Accuracy:0.3988, Validation Loss:1.0738, Validation Accuracy:0.3924
Epoch #100: Loss:1.0732, Accuracy:0.3984, Validation Loss:1.0739, Validation Accuracy:0.3941
Epoch #101: Loss:1.0731, Accuracy:0.3988, Validation Loss:1.0736, Validation Accuracy:0.4039
Epoch #102: Loss:1.0730, Accuracy:0.3979, Validation Loss:1.0735, Validation Accuracy:0.4007
Epoch #103: Loss:1.0729, Accuracy:0.4004, Validation Loss:1.0730, Validation Accuracy:0.4056
Epoch #104: Loss:1.0728, Accuracy:0.4004, Validation Loss:1.0729, Validation Accuracy:0.4056
Epoch #105: Loss:1.0730, Accuracy:0.3918, Validation Loss:1.0729, Validation Accuracy:0.3924
Epoch #106: Loss:1.0729, Accuracy:0.3959, Validation Loss:1.0722, Validation Accuracy:0.4007
Epoch #107: Loss:1.0726, Accuracy:0.3996, Validation Loss:1.0723, Validation Accuracy:0.4023
Epoch #108: Loss:1.0727, Accuracy:0.3984, Validation Loss:1.0721, Validation Accuracy:0.4056
Epoch #109: Loss:1.0728, Accuracy:0.4012, Validation Loss:1.0719, Validation Accuracy:0.4023
Epoch #110: Loss:1.0727, Accuracy:0.3988, Validation Loss:1.0718, Validation Accuracy:0.3908
Epoch #111: Loss:1.0730, Accuracy:0.3988, Validation Loss:1.0718, Validation Accuracy:0.4039
Epoch #112: Loss:1.0729, Accuracy:0.3992, Validation Loss:1.0721, Validation Accuracy:0.3957
Epoch #113: Loss:1.0728, Accuracy:0.4000, Validation Loss:1.0728, Validation Accuracy:0.3908
Epoch #114: Loss:1.0729, Accuracy:0.3984, Validation Loss:1.0725, Validation Accuracy:0.4089
Epoch #115: Loss:1.0728, Accuracy:0.3992, Validation Loss:1.0729, Validation Accuracy:0.3957
Epoch #116: Loss:1.0727, Accuracy:0.3975, Validation Loss:1.0726, Validation Accuracy:0.4007
Epoch #117: Loss:1.0730, Accuracy:0.4008, Validation Loss:1.0728, Validation Accuracy:0.3957
Epoch #118: Loss:1.0728, Accuracy:0.4016, Validation Loss:1.0720, Validation Accuracy:0.4039
Epoch #119: Loss:1.0729, Accuracy:0.4045, Validation Loss:1.0742, Validation Accuracy:0.3941
Epoch #120: Loss:1.0740, Accuracy:0.3947, Validation Loss:1.0736, Validation Accuracy:0.4007
Epoch #121: Loss:1.0733, Accuracy:0.4008, Validation Loss:1.0736, Validation Accuracy:0.3908
Epoch #122: Loss:1.0736, Accuracy:0.3848, Validation Loss:1.0738, Validation Accuracy:0.3859
Epoch #123: Loss:1.0736, Accuracy:0.3947, Validation Loss:1.0733, Validation Accuracy:0.3990
Epoch #124: Loss:1.0731, Accuracy:0.3984, Validation Loss:1.0727, Validation Accuracy:0.4105
Epoch #125: Loss:1.0730, Accuracy:0.3963, Validation Loss:1.0733, Validation Accuracy:0.4007
Epoch #126: Loss:1.0729, Accuracy:0.4033, Validation Loss:1.0726, Validation Accuracy:0.4023
Epoch #127: Loss:1.0726, Accuracy:0.3979, Validation Loss:1.0728, Validation Accuracy:0.4023
Epoch #128: Loss:1.0729, Accuracy:0.4000, Validation Loss:1.0728, Validation Accuracy:0.4023
